id_ref,phase,start,end,path,description,en,is,image
56,S12.2,1740,1740,,"South of Structure XI and forming an H-block with it via the connecting passage [421], is another building of similar size, 7.6m long by c. 3.3m wide, though this may be a later modification, especially to the western arm of the northern wall which may have originally been set flush with the eastern arm, thus making the room only c. 3m wide initially. The 1722 inventory implies the passage [421] was shortened by one bay, which would accord with this change. The eastern arm of the northern wall has a dog-leg just east of the entrance. Its southern wall and edge were completely truncated (either in the 19th or 20th century), but the remaining walls ([1637]/[1411]/[1261]/[1249]/[447]) were more or less intact if somewhat disturbed.   The interior was well preserved and included a fairly thick charcoal floor [1329]/[1396] and postpads [1414] for roof-supporting timbers. No primary turf levelling layer was excavated and possibly earlier phases of this room remain unexcavated. The pads survived best at the two ends of the room, creating a near continuous sill plate; only a few pads along the long walls remained in situ, specifically three in the northeastern section, spaced about 1.1m apart. It is likely 8 pairs of posts spanned the width of the room. Several timber planks [1340] also occurred within the floor, which are almost certainly the remains of floorboards. There were two distinct phases of floor, but they were excavated as one; evidence of repairs is suggested by the insertion of probable secondary postpads [1375] with turf levelling beneath [1382] along the northwestern part of the room. As such, this phase probably covers a fairly long time period. The TPQ from these floors returned a date of c.1730/1740, but by far most of the material dates to the later 17th century suggesting a long-term accumulation.  In the corner formed by the dog-leg along the northern wall was a sunken pit for a small barrel or cask [438] – just to the right of the entrance as one leaves the room or left as one enters. This seems to have replaced an earlier inglenook, though no real traces of this survives (see S.XI.1). The pit [440] was circular c. 0.5m in diameter and 0.45m deep, backfilled with a mixture of turf debris, peatash and charcoal [439]. At the base of the cut, fragments of the base of a stave vessel had survived in situ but were very badly preserved and could not be retrieved. A turf layer occurred in the dog-leg ([1395]) around the barrel pit with a mixed floor layer above ([1253]). A TPQ from the turf layer returned a date of 1723. If this dog-legged niche is the inglenook, then it is likely the barrel pit is a later insertion. Indeed, just east of the centre of the room was another, but less identifiable feature; sealed by the floor layer was an irregular depression c. 20 cm deep and 20 cm in diameter [1381], filled with floor material/charcoal with peatash lenses and stones. Finds were not common, but included coal – the latter particularly unusual, and rare in Iceland for the 17th century. This is tentatively interpreted as the remains of a robbed out fireplace and could indicate the stoking pit for or robbed foundation of a stove – likely connected to the inglenook mentioned in the 1698 inventory. One fragment of stove tile was found in the collapse/abandonment layers infilling the room suggesting this would have been a tiled stove.  The 1698 inventory calls this building the Middle Living Quarters (Miðbaðstofa) and is very similar to the adjacent building (Structure XI). It was five bays long, with panelled walls and a wooden floor. Access was via a double door (presumably from the connecting corridor), one with lock and the other just a latch; inside it was divided into two rooms. In one was a round table and benches with two glass windows while in the other was a small four-poster bed with a table, bench, shelves and one window. There was a spiral staircase leading up to a loft which extended over the whole building and had three beds, a small table and a glass window in each gable. By 1722, the building has been renovated and is now six bays long; however no divisions are mentioned, its only internal furnishings being a bed, table and bench; it had three glass windows and one door with a lock. There is no mention of the loft which presumably is no longer present. Archaeologically, no divisions were discerned in the floors of this building but since the primary phase had wooden floor boards, these are unlikely to have left any trace.  Infilling the room were a series of turf collapse/dumping layers ([413], [422], [429], [1292]). They returned a TPQ of 1740.",Living Quarters,Miðbaðdstofa,
57,S18.5,1740,1760,"m 31.836058,63.861431 -0.820354,-5.774034 8.803034,-2.776583 12.747043,-2.902794 2.113992,-0.441727 -0.03155,6.121104 -2.713482,0.315521 -1.609156,0.978117 z","The floor was re-surfaced again [1885], in the same manner – with two sides of flagstones ([1886], [1888]) and a central aisle of trampled ash [1887]. Dating of the finds is 18th century with a TPQ from of 1732 from a clay pipe.  The 1744 inventory points to the building starting to deteriorate; the main door into the building now has a lock on it. By 1747, the building had been repaired. The 1759 inventory describes the building as newly renovated but otherwise unchanged. The drawing from 1745/6 labels this structure as the Large Store (Storabur) and depicts it with circular windows – presumably covered with intestinal lining rather than glass, based on similar ethnohistoric examples from Iceland called skjágluggar.",Pantry,búr,t
58,S30.3,1740,1750,"m 72.599007,3.9043721 -7.607946,-1.338642 -1.673304,4.9752853 5.644607,1.4278848 1.137846,-3.3689152 -0.334661,-0.9593601 2.298002,0.4685247 z","In this phase the structure was made narrower and shifted further north; its walls were brought inward to make a smaller internal space. It now extended only 1.6m (north-south) into our excavation area and was 2.9m wide (east-west); based on the description, it was of similar or slightly longer than originally, most of it (including the door) falling beyond the limit of excavation to the north. The walls ([854]/[882]) survived to a height of c. 0.4-0.6m. Its primary associated floor was an iron panned, dark organic layer [139] with animal dung and wood chips, although the very basal part of the layer was cleaner, suggesting it may have had a different primary function. A TPQ of 1720 was consistently associated with both the new walls and the floor, but this phase is likely to be a little later and probably is contemporary with the re-building of Structure XXII (see S22.3) in the second quarter of the eighteenth century.  The 1744 inventory describes a newly renovated/re-built structure, now two and half bays long with one bed, one bench, a table with a drawer and two glass windows (one being broken); it still has two doors but only the outer one has a lock. By 1747, the whole school was being renovated and the School master‘s quarters were subsequently moved to the loft above the school room. This room had probably already been demolished by 1747 as it is not depicted on the drawing of 1745/6.  Marking the abandonment of the building and infilling it was turf wall/roof collapse ([128]). A TPQ of 1730/1740 was associated with the collapse/infill.",School Master's House,skólameistari hús,t
59,S8.2,1750,1800,"m 45.529666,33.003487 5.90024,0.757251 -1.072772,10.191324 -0.410175,0.126208 -0.915011,5.111438 -5.868689,0.220866 0.788803,-6.121106 -0.713931,-0.452929 0.490834,-2.320314 1.316331,-2.074894 0.535459,-3.48047 z","Infilling the building was a series of turf debris dumps ([2424], [092/2416], [2380], [2356], [2349], [2348], [2343]), which appear to represent the use of demolished wall material to infill the room and raise its level. Although some 19th century material occurs in these deposits, they are considered intrusive or due to erroneous excavation of later deposits – a not unlikely event given the often poor boundary resolution of contexts on the site. Associated with this infill was some re-building of walls. The northern wall ([1441]/[1462]/[1898]) was set back slightly by 0.4m from the original line while the western wall ([1453]/[1712]) was re-built producing a slightly longer building, 8.3m long and 3.1m wide. The southern end of the building seems to have barely survived – disturbed remnants of the southern end of the west wall ([431], [417]) were identified, and little of the south-eastern wall. Presumably if the south wall was gabled, this continued to be the case. Dating associated with these structural changes returned a TPQ of c. 1750. With this re-building also went a slight shift in the axis of orientation, as the structure rotated a few degrees clockwise. The door on the eastern wall was also moved southward by c. 1m. The original passage was blocked up [2321], which also served as the northern wall to the new passage. A TPQ of 1733 was associated with this blocking. The new entrance passage [731] was 1m wide and 1.9m long and led, as before, down to the main axial corridor, via seven substantial stone steps; the difference in levels between the corridor and this building at this time was c.1.2m.   No accumulated ash or other type of floor layers were found associated with this phase. The main constructed floor layer ([090]/[374]) was composed of iron-panned turf with occasional stone flags and returned a TPQ of c. 1750. It seems likely that the building was more substantially flagged but most of the flagstones were subseuqently robbed – or it had wooden floorboards, though these are not mentioned in the inventory. The best preserved area was by the threshold of the steps in the central aisle of the room where small flagstones remained in situ ([335], [334]). A TPQ of c. 1750 came from these flagstones. There is a suggestion that these flags belong to a central aisle which bisected the structure, aligned with the doorway; remains of a possible stone sill ran along the southern edge of this aisle and two probable postpads flank its western end. This would then have divided the structure into two rooms and a central aisle as also indicated in the inventory.  In the northern room [1133], some flagstones survive in situ against the northern wall. There was also a large stone c. 0.5m square, worked on its sides and with its upper surface smoothed and concave, embedded in the main floor layer, close to its centre but to the eastern side. It is unclear if this stone is in situ or was dumped in after abandonment, although its morphology and location might indicate the former. If so, its original use could have been as a work surface, perhaps as a grinding surface, although it would have stood low on the ground, only about 0.25m above the floor, suggesting a kneeling or crouching position if working with it. In the middle of the western wall of this northern room was a possible opening; there is a gap in the wall stones and running through this gap is a flagged surface [274] which would seem to connect this room to Structure IX to the west. The central aisle [1227] was rather poorly preserved, due to a later pit [324] and an excavation trench [185] from the 1980s, both of which cut through the middle of this aisle. Above the flagstones in the aisle was a lens of greyish silt ([348]/[349]) which had late 18th century finds. The southern room [1298] had no identifiable features at all – no flagstones, only turf deposits ([369]/[1431], [361], [356]), which are probably just part of the original levelling floor layer; it is possible it may have had floorboards, or simply that all traces of activity or features have been removed, a not unlikely scenario given the truncation to the southern wall of the building in this phase.  The 1764 inventory mentions that a new building has replaced the Nursery; it was much larger, six bays long however it also strangely states that it can be reconverted back to its original size. The new building had three glass windows on each gable, it was panelled all around and divided into two rooms with four beds, benches, tables and lockable doors. There was a loft over the whole building, containing one bed. It is described as a considerable improvement over the earlier Nursery. No name is given to this new building but on the 1784 map, the northern room is called the miller‘s room (malarakamers) while the southern room the Priest‘s room (Prestakamers). It is likely the people living here changed over time, but they doubtless remained private bed chambers throughout. Sometime between 1764 and 1784, this building was connected to Structure IX to the west via the central passage, as indicated on the 1784 plan. The building does not seem to have been damaged by the 1784 earthquake, no mention of it occurs in the 1784 report and in one from 1785 it is is described as being in good condition. Here it is still called the Nursery (Barnhusid), but incorporating the Priest‘s chambers (Prestens Kamer)",Nursery/Private Chambers,barnhús/prestakamers,t
60,S13.2,1750,1800,"m 55.752544,16.15467 0.883457,-6.121105 0.252418,-3.5969386 -0.820354,-3.186761 4.638156,1.0727708 -1.325186,3.6284905 -0.315521,3.0921043 1.703811,-0.283968 4.291083,0.410177 4.417293,1.167427 -0.09465,1.861574 -3.029001,0.03155 -3.439178,-0.851907 -2.461064,0.252417 -2.113989,-0.725698 -0.7257,9.05545 -0.323408,8.195654 -0.149873,1.222645 -0.205086,0.149873 -0.668171,12.60213 -0.356971,0.713944 0.847807,4.46214 -0.178485,1.427885 0.892426,0.0056 1.427885,7.713922 -0.368125,0.189643 0.412747,2.967323 0.747408,3.42469 -3.792818,0.145021 -0.591232,-5.432656 -0.568923,-10.374473 c 0,0 -0.546613,-2.945011 -0.535459,-3.000788 0.01117,-0.05578 0.278885,-0.925896 0.278885,-0.925896 l -0.423903,-1.639835 -3.491624,0.06693 0.156173,-1.963341 3.859752,-0.07809 0.312349,-12.404746 0.613545,-7.295598 -0.211953,-0.635855 -0.01116,-0.814341 0.535456,-2.777681 z","This phase is marked by the re-building/repair of the central drain. At the same time, the corridor walls were integrated with the eastern walls of Structures IV and V (but at slightly different times) with a passage into Structure IV and new passages constructed into Structure VIII and the newly added Structure XVI. The walls may also have been repaired or even rebuilt in places, especially along the eastern side and almost certainly on both sides toward the south end where they meet Structures XVIII and XIX. At their best, they survived to a height of c. 0.55m, but at the southern limit of excavation, its walls reached c. 1.5m. A sinuous drain [1117] ran the length of the passage, but all traces of the original floor/capstones [1137] to the drain had gone save in a few places: large flagstones survived under a later blocking wall at the southern end of the passage; further flags survived at the northern exit ([126]), and on the eastern edge of the side passage [974], where the haybarn (Structure II) truncated the passage and at the southern end [1473]. The drain would seem to be at the same level as the drain installed in the new dormitory (Structure XX, S20.4) dated to c. 1740-1750. 18th century finds were associated with these remnant surfaces. It is likely that similar sized flags occurred throughout the passage but were robbed after its abandonment. The drain sides themselves consisted of solid stone blocks and turf [1034], and this was excavated in six 5m segments. It is likely there was a drain here earlier which was re-built, although little survived of this (except perhaps a primary fill in the northern section) and the TPQ from these side stones returned a date of 1730/1740. However, the earlier drain would most likely have just been repaired using the same stones. In the side passage [106], most of the drain side stones seem to have been robbed [1106], only a short section was extant at the west end [1114] and east end [1094]. Some other turf and stone floor deposits also survived at the very eastern end ([983], [985], [987]). The drain fill [784] was excavated in 1m segments and returned a TPQ of 1767. At the northern end of the corridor only and in the side passage [106], a primary fill [793] was also excavated. This returned a TPQ of 1720. It is possible this primary fill belongs to an original/earlier drain which only ran between the side passage and the northern section of the corridor though given the drain in passage 1780, it is more likely the earlier drain ran the whole length of the corridor.  The sides of the drain were overlain by small flagstones and turf ([669]/[1125], [686]), used to level the surface beneath the flagstones and these were similarly excavated in 1m segments to control for artefact recovery. A wide range of dates came from this layer which probably indicates its usage/maintenance over a long time period but a consistent TPQ is c. 1740. The drain seems to have been retained and in use for as long as the corridor, and although it shows no clear evidence of modification, the capstones [1137], which also doubled as the floor, had possibly been raised and the sub-floor leveling layer [669] added to over time – especially if the corridor was narrowed. Certainly both part of the sub-floor leveling layer [669] and the sides of the drain [1034] continued beneath the extant walls [1283] of the corridor but abutted a lower course [1152], set back from the upper wall.   The 1759 inventory mentions the corridor as needing repairs and by 1764 it is in need of further maintenance. The 1785 report on the earthquake damages assesses the corridor as being in usable condition; it may well have been recently renovated. The 1745/6 drawing shows the main corridor with a pitched roof as one might expect; the southern door is clearly a larger space, like a vestibule, and indeed the corridor is clearly double the width here from the archaeological plan. The 1784 plan shows the corridor as one continuous space; in both drawings, the north and south entrances are labelled as North door (nordurdyr) and Man‘s door (kalldyr) respectively.",Main Corridor,Göng,t
61,S17.6,1750,1770,"m 2.0193338,62.410035 0.2524167,1.514499 -1.54605243,0.189314 0.18931255,2.524165 1.57760448,-0.0631 0.031552,1.766917 1.7038128,0.220866 5.9948971,-1.672262 1.703813,0.410178 4.480397,-0.978117 0.126208,-0.410175 1.609157,-0.220867 1.577604,0.220867 1.893126,-0.662594 3.596938,0.220864 0.75725,-0.694145 -0.347073,-0.851908 -0.283969,-1.104323 4.66971,-0.883457 0.599491,-0.662594 c 0,0 -0.06311,-1.735365 -0.189315,-1.735365 -0.126206,0 -5.048334,1.135875 -5.048334,1.135875 l -0.31552,-1.672262 -1.19898,-0.978114 -8.487512,1.546053 -1.5145,-0.28397 z","In this phase the structural timbers supporting the roof were all re-set again – the post pads [2293] on which they rested were all re-levelled and raised over fresh turf levelling ([2355], [2288], [2482]) which extended into the passage [2327]; this could indicate repairs to the roof or that the base of the posts had rotted and needed to be cut and raised higher (a common and well-known practice historically). Possibly the lack of a functioning drain may have made increased dampness in the floor. Eight postpads survived on the south side and nine on the north side – one from the south side probably being robbed/disturbed. The pads are spaced on average c. 1.5m apart. Close dating came from the turf levelling under these postpads with a TPQ of 1744.   At the same time, fresh ash deposits were laid over the central aisle of the floor. The floor ([2334]/[2249]/[2242], [2141], [2203]) extended through the eastern half and into parts of the western end of the room as well as into the passage [2304]. Finds from the floor all dated to the 18th century. The base of a stave vessel <9933> was embedded in this floor, in the north-east corner next to fireplace [3032]; it was very poorly preserved but made from pine. Both fireplaces probably remained in use at this time. Fireplace [3032] was badly disturbed as already mentioned, and a series of mixed deposits ([2600], [2460], [2451], [2455], [2231], [2213]) in the northeast corner are probably all disturbed hearth or hearth-related layers, consequent to the repairs of the room. A TPQ of 1730-40 came from these disturbed hearth deposits.  A micromorphology sample (s.304) was taken through these floors for thin-sectioning and analysis, also catching the upper floors of the previous phase [2391]. About sixteen different lenses were identified. At least seven or eight thin distinct blackish brown floor surfaces with a massive to platy structure with organic rich turf strips layed down between them. In one or two places uneven surfaces seem to have been patched up with larger charcoal fragments, ash and woodchips. Within the upper sequence only low quantities of very small fragments of bone (<1 mm) were recorded. The 1759 inventory mentions the building has recently been repaired but is otherwise unchanged. In 1764 the first mention is made of a partition dividing the room which has a door with a lock – as does the main door into the building. No obvious signs of such a partition were seen archaeologically except perhaps the lack of new floors at the westernmost part of the building, suggesting a possible partition here, although the inventory implies a division in the middle which suggests it separates the ovens into two rooms.",Meat Store,kjötskemma,t
62,S20.4,1750,1770,"m 76.79342,10.151367 -0.758566,6.470102 15.037411,2.788837 0.111554,-0.423903 0.937048,0.267728 0.535458,-1.829477 2.87808,0.713942 0.245417,-1.650991 -2.431865,-0.914738 0.156173,-2.588041 -16.844576,-2.833459 z","In this phase the structure appears to have been largely re-built with new walls; however, given the degree of truncation from the later haybarn, only 1.6m of its eastern end survived. This has resulted in much fewer finds and consequently, less scope for close dating. Dating of this and subsequent phases are thus largely speculative. The new structure was of similar width to the last, c. 3.6m wide, the main change appearing to have been moving the northern and southern walls further south by 0.5m. However, it may have been somewhat longer as the eastern end extended much further east now, resulting in an estimated building length of c. 10m. The whole level of the room was also raised, although little evidence of this seems to have survived except for turf packing ([253], [263]), which seems to have been deliberately laid into the top of the drain [308]. This would have made the structure at the same level as the main axial corridor and it is likely that the new drain [113]  would have connected up with drain [1117] in that corridor. Indeed, the re-build of this structure is broadly contemporary with that of the corridor (see S13.2).   Where present, the inner wall face [1043] of the building survived to a height of c. 0.3-0.45m; the outer wall face was more fragmentary but a section on the north side survived [099], built over possibly dismantled earlier wall [122]. The southern wall [758] was only preserved on its inner face, the outer part truncated by the 20th century barn and silo although an outer edge seems to have survived, recorded as part of  [748]. The walls seem to have been c.3m thick. Along the inside edge of the wall at regular intervals at the base were large, flat-topped stone blocks interpreted as post pads. The room had a centrally placed opening 1.05m wide on its eastern side for access with the adjacent school room Structure XXI.   The primary floor layers associated with this newly- re-modelled structure were dark, organic-rich layers with birch twigs and bark, some decomposed hay, and occasional flagstones ([102], [095]). The TPQ from these floors was 1700. These were associated with a new drain [113]. The original cut of the drain [117] was 1m wide and 0.3m deep, lined with stone blocks [115] c.0.2m square and flat stone capping flags [114]. The stones had been disturbed and partially robbed out. The fill of the drain [116] was almost waterlogged and organically rich and associated with a TPQ of 1700. Like the earlier drain, it ran from east to west and although largely truncated, it probably fed into drain [1117] in the side passage [106] of the axial corridor (Structure XIII).  The 1747 inventory describes the building as in the process of being re-built – along with the school masters rooms and the adjacent passage. By 1759 the new layout is evident, but appears largely the same: five box beds on each side of the room, each with a hinged door. The beds were set between posts which probably acted as roof-bearing posts so the size remained five bays. The 1764 inventory states that the building was re-built using old and new timber six years earlier (in 1758) and made slightly narrower. It otherwise kept the same layout with five box beds on each side of the rooms. However complaints written in 1763 mention that the dormitory is too small, with only ten beds – clearly insufficient for student numbers. ",School Dormitory,skólaskáli,t
63,S21.3,1750,1770,"m 99.55033,27.419847 -0.557768,0.06693 -4.350586,-0.847807 1.292153,-10.034684 0.173538,-0.03155 0.386096,-3.833327 0.624699,-4.2390325 5.711538,0.7139424 -1.49481,6.9386271 0.0669,0.959359 2.38724,-0.06693 0.6247,0.825495 -0.0669,1.294021 -0.89243,0.223107 -2.81115,-0.513146 -0.2231,0.535456 -0.892432,7.07249 z","In this phase, the building was re-modelling in a major way. The walls and fireplace were re-built. The long walls on the east and west sides ([859], [841], [872], [776]) survived to a height of 0.55m in the north but only 0.15m at the south, while the northern and southern walls probably had timber gables as indicated by a row of stones at each end [783] serving as a wall plate. The southwestern corner had been truncated by a silo associated with the haybarn in the twentieth century. The newly re-built structure was now much longer, but also much narrower, at 9.4m long and 3.1-2.8m wide, noticeably sloping down from the north by 0.25m, with stone blocks [774] serving as post pad stones placed regularly (c. 1.4m between each, at the centre point) along the sides of the walls marking out seven bays. The fireplace [153] was only half as deep as before (c. 0.6m). New walls were constructed in a U-shape ([511/1086]) with flagstone base and the cavity left by the back part of the original fireplace was infilled with turf [510]. The new fireplace had an internal area similar to the original, of 1.2m by 0.5m. This also had remnants of firings ([143/503]. A TPQ of 1733 is associated with the re-construction of the fireplace.  The primary floor associated with this re-build was turf [149]/[848], associated with just two localized and small patches of charcoal/ash floors ([817/159], [846]) which may even be disturbed earlier floors. In general, there were no clear accumulated ash floors associated with this room, which probably indicates it had wooden floor-boards which is supported by the inventory. A TPQ of 1720 was associated with the turf floor [149].   These changes probably relate to the re-building that was underway during the 1747 inventory; the 1759 report describes the new layout, which remains seven bays long, but the building now has a loft where the schoolmaster and assistant (rector and konrector) reside which was furnished with beds, tables, windows and a lockable door.  There was no obvious sign archaeologically where access to this loft may have been, but it would have been via a simple ladder, given no mention of a staircase is made in the inventory. The house was built from Norwegian timber, had eight glass windows, panelled walls and a timber floor as well as benches. By 1764 however, the building was already deteriorating and lost two of its windows. In 1763 there is a documented complaint about the state of the school, which is described as cold and draughty – the gables had gaps letting in the wind and tables were missing. Again, there is no mention of the inglenook.",School Room,skóli,t
64,S22.4,1750,1780,,"In the final occupation phase of the structure, the floors were re-surfaced again. Turf levelling was laid ([853], [858]) over which more ash floors had been deposited [843].  No dating came from this upper floor.  The 1744 inventory describes the same basic structure but the internal furnishings have changed somewhat; there is now only one bed, a table, chairs and small bench-seat, but the room also has a wooden floor. It has clearly been renovated.  On the 1745/6 plan the building is shown without any details; it is simply called a dormitory or sleeping quarters (svefnhus). It does however depict a central entrance with the length of the room equal on either side; this however is hard to square with the archaeological evidence and the inventory which describes a three-bay structure. The teachers room (locats húse) is still mentioned in the 1747 inventory in connection to the passage/corridor, but the building itself is not described. Possibly it was already in the process of being dismantled or empty. This is during a period when the whole school was being refurbished. By 1759, all mention of this building seems to have ceased suggesting it went out of use. By this time, both the school master and teacher (now called the rector and conrector) had moved into the loft above the school room (see Structure XXI). The abandonment/demolition of the building is marked by a series of turf collapse layers  ([971], [950]) within the entrance to the building, amidst which a Frederik IV gold coin dated to 1714 was found. The footprint of this building was later built over when Structure XXIX was erected. ",Assistant Teachers Quarters,locats hús,
65,S30.4,1750,1750,,"In this phase the structure was made narrower and shifted further north; its walls were brought inward to make a smaller internal space. It now extended only 1.6m (north-south) into our excavation area and was 2.9m wide (east-west); based on the description, it was of similar or slightly longer than originally, most of it (including the door) falling beyond the limit of excavation to the north. The walls ([854]/[882]) survived to a height of c. 0.4-0.6m. Its primary associated floor was an iron panned, dark organic layer [139] with animal dung and wood chips, although the very basal part of the layer was cleaner, suggesting it may have had a different primary function. A TPQ of 1720 was consistently associated with both the new walls and the floor, but this phase is likely to be a little later and probably is contemporary with the re-building of Structure XXII (see S22.3) in the second quarter of the eighteenth century.  The 1744 inventory describes a newly renovated/re-built structure, now two and half bays long with one bed, one bench, a table with a drawer and two glass windows (one being broken); it still has two doors but only the outer one has a lock. By 1747, the whole school was being renovated and the School master‘s quarters were subsequently moved to the loft above the school room. This room had probably already been demolished by 1747 as it is not depicted on the drawing of 1745/6.  Marking the abandonment of the building and infilling it was turf wall/roof collapse ([128]). A TPQ of 1730/1740 was associated with the collapse/infill. ",School Master's House,skólameistari hús,
66,MC.3,1750,1900,,,Midden Zone C,Öskuhaugur C,
67,S3.1,1760,1880,"m 9.0135214,0.22310697 19.9457646,-0.13386418 -1.561751,5.53305271 -3.837439,-1.2940202 h -3.034255 c 0,0 -8.478065,-1.6063703 -8.790414,-1.6063703 -0.31235,0 -3.1234981,0.1338643 -3.1234981,0.1338643 l -0.5354566,-0.2677285 z","Only a small portion of the southern part of this room occurred within the excavated area and much of it had been truncated by the cellar foundation [1098] for the 20th century farmhouse (see Structure XXXV). Even what had survived was very badly disturbed and stratigraphic relations between and identification of layers were very difficult to discern, resulting in no confident phasing. The main feature in the room consisted of a drain [2560] which ran from (and cut slightly into) the southern wall ([1706]/[2547]/[1126]/[1136]) of the building. The drain was defined chiefly by a cut [2126], but all side stones and fills had clearly been removed/disturbed as the channel was filled with stone rubble and turf ([2117], [2113]). The drain may have mirrored that in Structure VI to the south (see S6.2), in which case it may have turned east and fed into the drain in the main corridor (Structure VII). If so, it may also date originally to the mid 18th century.   The floor east of the drain was flagged ([1162], [1244], [1155], [1160], [1190]) and associated with turf levelling deposits ([2108], [2107], [1499]), many of them disturbed. These easternmost floors appear to be the most intact, especially [1160] which probably dates to the 18th century and is contemporary with [1456] in the main corridor (Structure VII, phase S7.2). A stone sill threshold [1452] ran across the eastern end of the room, marking a probable timber wall/screed dividing the building from the corridor – based on deposits sealing it, this sill plate dates to the 18th century. To the west of the drain, more fragmentary deposits marked similar, disturbed floors with flagstones and turf ([991], [1135], [1208], [1216], [1195], [1143], [1233], [1235], [1240]). There was little to date the deposits in this room but a TPQ of 1840 came from ceramics and 1860/1880 from a wire nail, both associated with one of the floor layers.   On the whole, most of the layers in this structure probably belong to the latter half of the 18th century and the earlier 19th century. On the 1784 century plan, the room is marked as a food store/pantry (búr) and the 1784 inventory and earlier ones also refer to it as a store room (skálaskemman). The first mention of the structure is in the 1722 inventory where it is described as being in good condition; it is likely to have been built at the same time as Structures IV, V, VI and VII, that is c. 1720 which would have made it fairly new still at the time of the 1722 inventory. The structure is described as six bays (stafgólf) in length and with timber panelling in the walls and ceiling, and with a locked door. The 1744 inventory states that is was recently renovated but apart from an additional door at the front, it otherwise is unchanged. The 1784 plan shows doors at each end of the structure. A drawing from c. 1745/6 labels the building as pantry-living room (búrstofa) with windows at the gable end, though no windows are ever mentioned in the inventories for this structure. This could be because the windows were not from glass.  Despite being renovated, the 1747 inventory already mentions some wear to the walls and by 1759 it is described as in need of renovation. For some reason, the 1764 inventory omits this building though it re-occurs in the 1784 review of the state of the houses after the earthquake; there it is described as still standing but near to collapse and unusable with timber beams broken, the walls cracked and the roof hanging down in places. It is likely the building was re-built or at least repaired as it is depicted on the 1836 plan as a two-roomed building, the eastern one being a kitchen (with a stove) and fuel store and the western/inner room as a dry food and dairy store. It thus seems to have retained its storage function over time. There is no further detailed information about this building but it is likely it was demolished with the other structures after the 1896 earthquake prior to the new farmhouse being built in 1897/8. The excavated remains discussed here are probably from the later period of this documented house, i.e. from c. 1760 and up until the 1840s. Earlier and later traces remain unexcavated and/or truncated.",Pantry/Stores,búr/skemma,t
68,S4.2,1760,1780,"m 33.376803,7.6748798 2.588041,-6.69320913 7.719502,2.49879813 0.669319,0.6693207 8.790416,2.7219052 -0.937051,2.5434195 2.275692,0.4015925 -0.08924,0.6246993 -1.784858,1.160156 -1.427885,-0.490835 -0.847804,2.855769 -3.480469,-1.472506 -1.383263,4.596004 -1.093224,-0.435059 0.825495,-3.982459 -1.706769,-0.64701 -1.530424,-1.045339 -2.650374,-0.978114 -0.915011,-0.7572505 c 0,0 -2.618825,-1.041219 -2.902791,-1.041219 -0.28397,0 -2.1193,-0.5286637 -2.1193,-0.5286637 z","In this phase the eastern gable wall was replaced with turf and stone walls ([1851], [1862], [1893]) and integrated with the main axial corridor (Structure XIII) with a passage between the two. This passage [1266] was long (c. 2.4m long by 0.3m wide) and had a flagstone floor [1367]. Beneath the flagstones were a series of turf levelling layers ([1368, 1373, 1374, 1383]) and a more silty accumulation [1379]. Also in this phase, a drain seems to have been constructed through the middle of the building; the 1744 inventory mentions this drain as a new feature so it is likely that the drain assigned to this phase is a re-build/repair rather than an original construction. The drain [499] connected with a main drain in the western corridor (Structure VII). The drain cut [519/1777] was lined with stones [518] and capped with flagstones [516]. There were multiple drain fills (primary: [1753], [679]) as well as mixing in of floor material ([676], [632]). Dating from clay pipe fragment associated with the side stones gives a TPQ of 1758 for this drain construction, while there is a TPQ for the primary fills of 1767.   Associated with this drain was a series of new floor layers divided now into two rooms. At the eastern end in room [797], a small patch of turf and woodchip levelling layer [715]/[712] was laid with new flagstones [145]/[800] associated with a TPQ of c.1760; the larger western room [798/9] was similarly re-surfaced with turf and some woodchip ([541], [574], [828], [883]) and some paving stones [358]. The westernmost part had the same turf levelling ([827]/[903]) with deposits of turf and stone flags ([680], [711]) and flagstone paving (801], [802]).The stove [934] was still active and possibly underwent some repairs as indicated by the turf and stone construction [575/717] which was sealed by a localized ash dump [624].  Unfortunately, the 1764 inventory omits a description of this building (as with Structure III) so we lack any comparative details.",New Hall/Dining Room & Chambers,skáli/borðstofa,t
