Field1,Inv No,FindNo,Alternate No,Fibre type,No of Fragments,Measurements in mm unless otherwise stated,Diameter of threads in mm (Warp/Weft),spin (Warp),spin (Weft),Thread count             per cm Warp,Thread count             per cm Weft,Weave,Type,Fulling,Fluffy Weft,Quality of Weave,Relationships/sample/ next steps,Color and Comments,Textile Analysis Reports,Source Document,Page No,Present GAG,<Older find or group no?>,Unit,Context No,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
1,SKH07-15752,15752,,Wool,2,39.80mm x28.43mm /25.27mmx18.19mm,,,,,,"Knit, Stockinet",knit,,,,,2 knit fragments stockinet stitch bagged along with one weave.,,Felts and Knits Skalholt 2,,,,,2895,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
1,SKH07-15759,15759,,Wool,5,29.33 x 20.83 / 28.85 x 22.37 / 30.40 x 12.70 / 11.02 x 11.65,,,,,,"Knit, Stockinet",knit,,,,,5 small pieces of knitted fabric - stockinet stitch,,felts and knits,,,,,2901,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
1,SKH07-15761,15761,,Wool,1,91.73 x 39.01,,,,,,"Knit, Stockinet",knit,,,,,Knit Stockinet  stitch wool,,,,,,,2823,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-15770,15770,,Wool,1,31.93mm x14.51mm,,,,,,"Knit, Stockinet",knit,"1 piece of knit, stockinet stitch, wool.",,,,"1 piece of knit, stockinet stitch, wool.",,Felts and Knits Skalholt 2,,,,,2813,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-15779,15779,,Wool,2,81.22 mm x 104 .93 mm/52 .89mm x 22.94 mm,,,,,,"Knit, Stockinet",knit,,,,,2 pieces of stockinet stitch 4mm or 5 mm needles fragmented wool. One piece is the end portion- selvage,,Felts and Knits Skalholt 2,,,,,2781,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
1,SKH07-15786,15786,,Wool,1,26.5 cm x 7.5 cm,,,,,,"Knit, Stockinet",knit,,,,,"Part of an ensemble of weaves (x3) and 1 knit. Stockinet stich, wool",,Felts and Knits Skalholt 2,,,,,2799,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-15793,15793,,Wool,2,58.23 mmx41.84 mm/58.14mm x30.55 mm,,,,,,"Knit, Stockinet",knit,,,,,2 pieces of knitted cloth- stockinet stitch though what is visible is the back side of it. Wool,,Felts and Knits Skalholt 2,,,,,2563,C.2,1720,1830,1720-1830,1720-1840,Courtyard
1,SKH06-09690 c,9690,,Wool,1,86.99x29.42,not stated,not stated,not stated,n/a,n/a,"Knit, Stockinet medium stitch",knit,,,,,Tan;  nothing diagnostic.,,"Skalholt,Sept 2014 SKH06 KS 14-2.docx",25,,,,2267,C.3,1830,1850,1830-1850,1810-1870,Courtyard
1,SKH03-1125,1125,,Wool,3,45.63 mm x 23.62mm / 37.95 mm x28.64 mm32.83mm23.17 mm,,,,,,"Knit, Tabby",knit,,,,,Three knits the rest is tabby weave wool,,Felts and Knits Skalholt 2,,,,,174,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
1,SKH04-4152 d,4152,,Wool,1,n/a,n/a,n/a,n/a,n/a,n/a,"Knit, ultrafine",knit,,,Ultra fine,,Looks like industrial stockings I saw in the Faroes.,,Skalholt final numbers April 2016,22,,,,1278,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH06-64-9824 d,9824,,Wool,1,85.77 x 17.05,n/a,n/a,n/a,n/a,n/a,Knitted ?,knit,,,,,This looks like a knitted decorative border; cannot identify weave or distinguish a warp or a weft; the back does not look like the front; it is very well done; at first seemed like it was tablet woven but I think it is knitted.,,"Textiles, Laboratory Work sheet BOX SKH 2006- KS. 6 continuation","37, 38",,,,2469,S8.1,1720,1750,1720-1750,1720-1750,Nursery
1,SKH07-15725,15725,,Wool,1,28.5 cm x 3.30 mm,,,,,,knitted lace,knit,,,,,"Long strand of knitted lace z spun fibers some are plied, it was knitted in a tube material is wool",,Felts and Knits Skalholt 2,,,,,2652,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
1,SKH05-7167 p,7167,,Wool,5,121.40 x 3.69; 24.34 x 3.95; 55.26 x 2.87; 38.52 x 2.86; 52.67 x 2.37,2.22,Z2s,n/a,n/a,n/a,Loose Threads,thread,,,,,Light Brown; these are fragments of loose plied threads; some look napped; two threads are finer than the others and one has an orange tint.,,SKH05 ks. 14.docx,50,,,,1643,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-7167 q,7167,,Wool,2,38.51 x 2.04; 38.31 x 1.02,2.04,Z2s,n/a,n/a,n/a,Loose Threads,thread,,,,,"Light Brown, Dark Brown / two threads that are plied with one dark-brown thin fiber (0,74mm in size) and a slightly thicker light brown fiber (1,38mm in size) -  they are plied together in z2s spin, which gives an interesting look because of the different",,SKH05 ks. 14.docx,51,,,,1643,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-7167 r,7167,,Wool,6,37.48 x 1.35; 7.79 x 1.24; 12.44 x 1.38; 23.87 x 1.05; 18.84 x 1.61; 16.71 x 1.20,1.24,Z2s,n/a,n/a,n/a,Loose Threads,thread,,,,,"Dark Brown; very small and thin fragments; some of them are plied, others are not but look like the threads that have been plied.",,SKH05 ks. 14.docx,52,,,,1643,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH04-18809b,18809,1011,Wool,1,NA,,NA,NA,NA,NA,loosely spun yarn,yarn,NA,NA,NA,,spinners waste,,,,,,,1011,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
1,SKH02-18987,18987,116,Wool,1,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,Clumps of reddish wool no spin,,,,,,,116,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
1,SKH02-19025,19025,25,Wool,1,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,clump of wool raw and partially spun,,,,,,,29,S20.6,1790,1790,1790,1780-1810,School Dormitory
1,SKH03-1229 c,1229,,Wool,2,"5.5 cm x 2.38 mm (?) / 4 cm x 2.38 mm (?) ""5.5 cm + 4 x 2.38 mm""",n/a,z,n/a,n/a,n/a,n/a,,,,,Part of cloth <SKH03-1229 a or b>,Dark Brown; part of the same piece that is broken; a piece of yarn in two fragments; was once plied and is no longer.,,Textiles Skalholt Analysis sheet 2003 final (1),10 to 12,,,,196,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
1,SKH03-18877,18877,174,Wool,1,20.39mmx 8.03,,na,na,na,na,n/a,,na,na,na,,clump of wool with some corrosion bronze? Green stuck to it; Mix up in find versus context,,,,,,,174,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
1,SKH04-15599,15599,,Wool,2,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,Two yarns from a plied strand.,,,,,,,1276,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH04-15600,15600,,Wool,1,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,fragment of raw wool,,,,,,,1276,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH04-18874,18874,988,Wool,1,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,"Mixed bag of felt spun yarn, raw wool",,,,,,,988,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
1,SKH04-18952,18952,895,Wool,2,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,spun yarns very small,,,,,,,895,S21.1,1650,1690,1650-1690,1630-1690,School Room
1,SKH04-4169 b,4169,,Wool,1,31.5cm x 19.26mm,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,,,,Note that the yarns are all combed in one direction this piece is in one strand.,,Textiles SKH 04 KS 1 (2analysis  sheet),,,,,980,S15.2,1760,1800,1760-1800,1750-1810,Wheystore
1,SKH06-18282,18282,2308,Wool,4,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,tiny fragments of yarn spun and not,,,,,,,2308,S18.3,1690,1700,1690-1700,1690-1720,Pantry
1,SKH06-18311,18311,1929,Wool,1,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,Clump of raw wool that could be the thell; maybe number muddle.,,,,,,,1926,S18.5,1740,1760,1740-1760,1720-1780,Pantry
1,SKH06-18344,18344,2308,Wool,1,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,clumps of yarn,,,,,,,2308,S18.3,1690,1700,1690-1700,1690-1720,Pantry
1,SKH07-15677 b,15677,,Wool,1,31.55x4.28 / 1.23,1.19,z ?,n/a,n/a,n/a,n/a,,,,,,Dark Brown; this strange fragment was with <SKH07-15677a>; the yarn diameter is from the part that would be a strand.,,Skalholt2007 - box 6 Thury,16,,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH07-19177a,19177,2609,Wool,1,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,spun thread,,,,,,,2609,S23.2,1720,1720,1720,1720-1750,Bishops Living Quarters
1,SKH07-19209,19209,2880,Wool,1,NA,,z2s,NA,NA,NA,n/a,,NA,NA,NA,,1 small strand of plied yarn,,,,,,,2880,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
1,SKH07-19218,19218,2694,Wool,3,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,"fragments of plied spun yarn, clump of wool no measurements taken very small fragments, spinners waste.",,,,,,,2694,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH06-18789a,18789,2100,Wool,1,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,,Spun yarns,,,,,,,2100,S17.7,1770,1790,1770-1790,1750-1810,Meat Store
1,SKH07-19194,19194,2684,Wool,1,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,,small clump of wool,,,,,,,2684,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH07-19208,19208,2909,Wool,1,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,,"plied yarns, coarse brown and tan and loose wool",,,,,,,2909,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
1,SKH07-19210,19210,2812,Wool,1,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,,1 tiny clump of raw wool,,,,,,,2812,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-19215,19215,2665,Wool,1,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,,small clump of wool spinners waste,,,,,,,2665,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
1,SKH07-19221c,19221,2904,Wool,4,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,,spun yarn and spinners waste,,,,,,,2904,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH07-19234,19234,2873,Wool,2,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,,two strands one spun plied yarn and one single,,,,,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH07-19291c,19291,2822,Wool,1,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,,Spinners waste misc. spun and plied yarns,,,,,,,2822,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-19383,19383,2846,Wool,1,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,,raw wool,,,,,,,2846,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-19385,19385,2476,Wool,1,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,,raw wool very small black,,,,,,,2476,S8.1,1720,1750,1720-1750,1720-1750,Nursery
1,SKH06-09615 t,9615,,Wool,6,122.06x12.09 / 67.82x12.91 / 40.60x13.32 / 90.16x10.40 / 28.63x12.31 / 55.87x22.35,0.73 / na,Z2s,?,n/a,n/a,none specified; probably Twill 2/2 like the rest.,,,,homespun,6 pieces that may or may not be part of the same piece of cloth.,"Brown;  all are small cuttings; per recap on page 75, ""most pieces of cloth from 9615 are homespun and look like they were produced on warp weighted loom; ""see photos for different cloth types, some of these might not be accurate and would require further",,Textile Skalholt 2006 field season final (1).docx  <SKH-09615 a-d> are on pages 11-14.,74,,,,1861,S31.2,1700,1720,1700-1720,1690-1720,Bishops Dining Room
1,SKH03-1692 b,1692,,Wool,2,68.62x22.93 / 59.91x14.91,0.88 / 1.54,Z2s,plied but what direction?,7,6,not stated,,y,,finer than <SKH03-1692a>,,"Brown; it is hard to tell this cloth apart from <SKH03-1692a> ""and my identification may be off;"" both are excessively matted and fulled and so dirty that identification [of the structure] is tough, e.g., e.g. direction of spin or ply is impossible to asc",,Textiles Skalholt Analysis sheet 2003 final (1),86 to 86,,,,188,LH,1958,1958,1958,1930-1960,Levelling Horizon
1,SKH06-09872 c,9872,,Wool,8,measurements of the fragments are not stated,not analyzed,z and Z2s,n/a,n/a,n/a,not stated,,,,,,No colour given; 8 fragments; some are plied and some are singles.,,"Skalholt,Sept 2014 SKH06 KS 14-2.docx",31,,,,2333,S17.6,1750,1770,1750-1770,1750-1780,Meat Store
1,SKH07-15770 b,15770,,Wool,18,largest: 16 cm x 13.95 mm,0.82 / 0.98,Z2s,s,7 to 8,8,not stated,,,,,,Brown; these are mostly cut hems from garments; my divisions may not be all that accurate because cloth is filthy.,,Textiles Skalholt 2007 (2).docx,"18, 19",,,,2813,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-15775,15775,,Wool,1,20 cm diameter / opening 12cm / width 4 cm,0.50 / 0.80,Z2s,S2z,12,10,not stated,,,,,,"Brown; finely woven collar (see women’s costume in later period). They wore a type of collar /necklace that was usually velvet on top side and embroidered.  Looking at ethnographic examples, it turns out that this one was probably the underlining of one.",,Textiles Skalholt 2007 final (1),5,,,,2736,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
1,SKH06-09642,9642,,Wool,1,70.65x14.24,n/a,z,z,16,23,patterned twill?,,,,,,"Black w/greenish/bluish tint suggesting it was dyed; fabric structure is uncertain in some parts; looks like warp threads are jumping over 4 weft, then direction changes and only weft threads are visible; almost like a type of patterned twill with differe","SKH 2006-9642, “indigotin?” Description: sample with woven section intact and unraveled warp and weft yarns extending outwards; woven surface quite different from all other Icelandic textiles I have examined—they have close interlacings; this sample has v",Textile Skalholt 2006 field season final (1).docx,66,,,,2175,C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
1,SKH05-18771,18771,1586,Wool,2,11.50mmx10.62/8.64mmx6.81,,z2s,s2z,NA,NA,Plain weave,,No,No,fine,,two items a small piece of woven cloth and a clump of wool.,,,,,,,1586,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH06-18910c,18910,2471,Wool,2,28.44mm x10.14mm/30.20mmx14.86mm,,z2s,s2z,9?,9?,Plain weave,,NO,Yes,medium,,simple balanced tabby weave,,,,,,,2471,S8.1,1720,1750,1720-1750,1720-1750,Nursery
1,SKH03-2843 b,2843,,Wool,1,100.02x1.65,1.79 (single strand),Z2s,n/a,n/a,n/a,Plied strand of yarn,yarn,,,,,Dark Brown.,,Textiles Skalholt Analysis sheet 2003 final (1),58 to 59,,,,613,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
1,SKH07-15674,15674,,Wool,1,29.26x9.84 / 1.23,0.9,Z2s,n/a,n/a,n/a,Plied String in Z2S,string,,,very fine yarn/string,,Brown; it is holding together but there it is not clear how much weave there is behind it; could it have intertwined together in the ground?,,Skalholt2007 - box 6 Thury,12,,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH07-15686,15686,,Wool,1,29.90x2.50 / 0.75,1.09,Z2s,n/a,n/a,n/a,Plied String in Z2S,string,Y,,,,Very dark greyish to black; very fine and soft wool; the plying is becoming loose; stuck together in the middle part making the strands form like a cross; seems to be fulled so much in the middle that it is impossible to take the string apart; there could,,Skalholt2007 - box 6 Thury,11,,,,2695,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH05-7167 s,7167,,Wool,1,96.78 x 1.92,1.92,Z2s,n/a,n/a,n/a,Plied thread,thread,,,,,Dark Brown; this is a thread that has been folded in two; it is plied in dark brown wool and looks a bit worn.,,SKH05 ks. 14.docx,53,,,,1643,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH07-15708,15708,,Wool,1,,,,,,,Plied threads,thread,,,,,I Clump of plied threads.,,Felts and Knits Skalholt 2,,,,,2827,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH03-2481,2481,,Wool,1,,,,,,,Plied yarn,yarn,,,,Plied yarn,,,,,,,,366,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH03-2531,2531,,Wool,1,,,,,,,Plied yarn,yarn,,,,,,,,,,,,470,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
1,SKH03-2574,2574,,Wool,1,,,,,,,Plied yarn,yarn,,,,Plied yarn,,,,,,,,514,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
1,SKH03-2786,2786,,Wool,1,,,,,,,Plied yarn,yarn,,,,Plied yarn,,,,,,,,571,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
1,SKH03-3206,3206,,Wool,1,,,,,,,Plied yarn,yarn,,,,Plied yarn,,,,,,,,653,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
1,SKH03-3412,3412,,Wool,1,,,,,,,Plied yarn,yarn,,,,Plied yarn,,,,,,,,639,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH06-15658 d,15658,,Wool,2,n/a,n/a,n/a,n/a,n/a,n/a,Plied Yarn,yarn,,,,,"Plied yarn, 2 pieces, 1 Brown, 1 Black",,,,,,,2239,S18.4,1700,1740,1700-1740,1690-1750,Pantry
1,SKH06-64-15650,15650,,Wool,1,51.77mm x 2.68mm,n/a,Z2s,n/a,n/a,n/a,Plied Yarn,yarn,,,,,plied yarns. They seem to be all attached to one end.,,Skalholt Nov 2015 Michele IMPORTANT,,,,,2337,S18.3,1690,1700,1690-1700,1690-1720,Pantry
1,SKH06-9628,9628,,Wool,5,,,,,,,Plied yarn,yarn,,,,,5 plied yarns of wool,,Felts and Knits Skalholt 2,,,,,2211,S18.4,1700,1740,1700-1740,1690-1750,Pantry
1,SKH06-9629,9629,,Wool,3,,,,,,,Plied yarn,yarn,,,,,Plied yarns black wool.,,Felts and Knits Skalholt 2,,,,,2006,S18.5,1740,1760,1740-1760,1720-1780,Pantry
1,SKH06-9634,9634,,Wool,2,,,,,,,Plied yarn,yarn,,,,,"2 yarns wool, one plied one is not",,Felts and Knits Skalholt 2,,,,,2006,S18.5,1740,1760,1740-1760,1720-1780,Pantry
1,SKH06-9638,9638,,Wool,1,,,,,,,Plied yarn,yarn,,,,,One strand with a knot at the top holding 4 strands of plied yarn tan-wool,,Felts and Knits Skalholt 2,,,,,1960,S18.5,1740,1760,1740-1760,1720-1780,Pantry
1,SKH06-9645,9645,,Wool,1,,,,,,,Plied yarn,yarn,,,,,Multiple strands or threads of what looked like silk but is wool as it turns out. Yarn here is so ultrafine.,,Felts and Knits Skalholt 2,,,,,2069,S18.4,1700,1740,1700-1740,1690-1750,Pantry
1,SKH06-9668,9668,,Wool,1,,,,,,,Plied yarn,yarn,,,,,Multiple strands of plied yarn  which could be part of a cord or else a piece of cloth that has come undone the threads are not plied see photo.,,Felts and Knits Skalholt 2,,,,,2178,S27.1,1700,1720,1700-1720,1690-1720,Passage
1,SKH06-9671,9671,,Wool,1,,,,,,,Plied yarn,yarn,,,,,One plied strand made up of two separate plied strands of yarn,,Felts and Knits Skalholt 2,,,,,1727,C.3,1830,1850,1830-1850,1810-1870,Courtyard
1,SKH06-9716,9716,2260,Wool,1,177mm x 10.14mm,n/a,S2z,n/a,n/a,n/a,Plied Yarn,yarn,,,,,coarse plied yarn kind of looks like roving but is not,,,,,,,2260,S17.6,1750,1770,1750-1770,1750-1780,Meat Store
1,SKH07-15646,15646,,Wool,1,44.77x2.29,2.29,S2z yarn,n/a,n/a,n/a,Plied Yarn,yarn,,,,,"Very Dark Brown, probably fallen out of a woven fragment since there are still loops in the yarn from when it was part of a fragment",,Skalholt2007 - box 6 Thury,6,,,,2851,S17.3,1700,1710,1700-1710,1690-1720,Meat Store
1,SKH07-15649 f,15649,,Wool,1,,not stated,Z2s,not stated,n/a,n/a,Plied yarn,yarn,,,,,No colour given.,,Skalholt Box 6 Feb 2014 MHS-2 recovered.docx,40,,,,2220,S18.4,1700,1740,1700-1740,1690-1750,Pantry
1,SKH07-15713,15713,,Wool,1,,,,,,,Plied yarn,yarn,,,,,1 plied yarn,,Felts and Knits Skalholt 2,,,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH07-15756,15756,,Wool,1,,,,,,,Plied yarn,yarn,,,,,Long piece of plied yarn,,Felts and Knits Skalholt 2,,,,,2866,S17.3,1700,1710,1700-1710,1690-1720,Meat Store
1,SKH07-15758,15758,,Wool,1,,,,,,,Plied yarn,yarn,,,,,1 piece of plied yarn,,Felts and Knits Skalholt 2,,,,,2826,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-15761,15761,,Wool,10,,,,,,,Plied yarn,yarn,,,,,9 pieces of yarn plied and singles.,,Felts and Knits Skalholt 2,,,,,2823,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-18875b,18875,2872,Wool,2,NA,,z2s,NA,NA,NA,plied yarn,yarn,NA,NA,NA,,plied yarns threads,,,,,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH07-15678,15678,,Wool,3,34.69x3.11 / 18.69x2.15 (plied yarns); 59.84x4.10 (felt),n/a,not analyzed,not analyzed,not analyzed,not analyzed,Plied Yarn; Felt from Tabby weave (?); Unidentified Weave,yarn,,,"finish is fine, finely woven",,"No colour given; the felt ""looks like it might have been woven with a faint tabby though the piece is so thin that no measurements can be taken; surface finish is intense so it doesn’t look woven at all""; no thread counts, etc., are possible with the fini",,Skalholt Box 6 Feb 2014 MHS-2 recovered.docx,25,,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH07-12635 d,12635,2847,Wool,1,83.84x21.44,2.11,s,not stated,not stated,n/a,Plied Yarns Felted Together,yarn,,,,,"Brown; plied yarns that are felted together; ""I seem to recall something similar from Greenland check Ostergard;"" there are no wefts holding this together, so this is just 9 rows of S-spun yarns that are felted together.",,Skalholt Box 6 Feb 2014,4,,,,2847,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH04-4158 c,4158,,Wool,1,23.97mmx9.57mm,n/a,n/a,n/a,n/a,n/a,Raw Wool,raw wool,,,,,,,Skalholt final numbers April 2016,11,,,,1278,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH04-4187,4187,,Wool,1,68.01mm x 35.18 mm,n/a,n/a,n/a,n/a,n/a,Raw Wool,raw wool,,,,,,,Skalholt final numbers April 2016,4,,,,1194,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
1,SKH06-18242x]c,18242,2021,Wool,1,NA,,NA,NA,NA,NA,raw wool spinners waste,raw wool,No,NO,NA,,NA,,,,,,,2021,S10.2,1730,1760,1730-1760,1720-1780,Kitchen
1,SKH07-15797,15797,,Wool,1,16 cm x 26.78 mm,n/a,n/a,n/a,n/a,n/a,Resembles pile -woven cloth,,,,,,"Brown; there is some kind of weave in there though it is not visible, and there are long brown hairs on the surface like fur.",,Textiles Skalholt 2007 final (1),29,,,,2944,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
1,SKH04-4168,4168,,Wool,4,30cm x 3cm /34 cm x 4cm /18cm x5cm /12cm x1.5cm,n/a,n/a,n/a,n/a,n/a,Roving,,,,,,,,Skalholt final numbers April 2016,5,,,,1002,S15.2,1760,1800,1760-1800,1750-1810,Wheystore
1,SKH04-4174,4174,,Wool,1,24.5cm x9.68mm,n/a,n/a,n/a,n/a,n/a,Roving,,,,,,Twisted roving its is folded onto itself. Fibres are combed. No dynoscope. But took a photo.,,Textiles Michele Skalholt SKH 04-KS1 (2) recovered,,,,,970,S15.2,1760,1800,1760-1800,1750-1810,Wheystore
1,SKH04-4176,4176,,Wool,7,31cmx25.26mm/18cmx12.77mm/15cmx 7.61mm/110.61mmx 11.84mm/81.69mmx 7.0mm/142.76mmx 8.59mm/101.93mmx9.30mm,n/a,n/a,n/a,n/a,n/a,Roving,,,,,,Roving several strands nothing diagnostic. No dynoscope,,Textiles Michele Skalholt SKH 04-KS1 (2) recovered,,,,,1024,S15.2,1760,1800,1760-1800,1750-1810,Wheystore
1,SKH04-4204 a,4204,,Wool,10,24.5 cm x7.70mm/9.03mmx 16 cm/9.01mm x 141.96mm/9.52mm x 47.5 cm/10.00mm x19cm/15.45mmx17cm/29cmx 9.76mm/ 25 cm x11.03mm/8.42mmx 73 cm/5.80mm x 26 cm,n/a,n/a,n/a,n/a,n/a,Roving,,,,,,,,Skalholt final numbers April 2016,6,,,,1061,S15.2,1760,1800,1760-1800,1750-1810,Wheystore
1,SKH06-09870,9870,,Wool,1,79.38x2.85,n/a,single s-spun yarn,n/a,n/a,n/a,Single s-spun,yarn,,,,,No colour given.,,"Skalholt,Sept 2014 SKH06 KS 14-2.docx",23,,,,2504,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
1,SKH03-2336,2336,,Wool,1,,,,,,,Single yarn,yarn,,,,Single yarn,,,,,,,,419,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH03-2350,2350,,Wool,1,,,,,,,Single yarn,yarn,,,,Single yarn,,,,,,,,427,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH03-2507,2507,,Wool,1,,,,,,,Single yarn,yarn,,,,Single yarn,,,,,,,,391,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH03-3420,3420,,Wool,1,,,,,,,Single yarn,yarn,,,,Single yarn,,,,,,,,553,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH06-09869,9869,,Wool,1,58.36x1.78,n/a,single z-spun yarns,n/a,n/a,n/a,single z-spun yarns,yarn,,,very fine,,No colour given; very fine.,,"Skalholt,Sept 2014 SKH06 KS 14-2.docx",23,,,,2505,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
1,SKH06-18910b,18910,2471,Wool,1,NA,,NA,NA,NA,NA,Spinners waste,spinners waste,NA,NA,NA,,spun yarns and raw wool mix,,,,,,,2471,S8.1,1720,1750,1720-1750,1720-1750,Nursery
1,SKH02-18359,18359,95,Wool,5,NA,,z2s,na,na,na,Spinner's Waste,spinners waste,NA,NA,NA,,4 strands of spun yarn plied and a clump of raw wool - no dynopix. Duplicate number second item of this number was human hair and sheep very small quantity of it; Possible duplicate number and error in numbers,,,,,,,95,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
1,SKH04-18811,18811,988,Wool,2,n/a,,n/a,n/a,n/a,n/a,Spinner's Waste,spinners waste,,,,,,,,,,,,988,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
1,SKH04-4152 kk,4152,,Wool,16,n/a,n/a,n/a,n/a,n/a,n/a,Spinner's Waste,spinners waste,,,,,"Consists of 5 spun yarns, 1 clump of wool and 10 small fragments of very felted edges of cloth - sewing debris; they are all very fulled so that the weave is no longer apparent; no measurements were taken on these fragments as they are all small and relat",,Skalholt final numbers April 2016,32,,,,1278,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
