ID,Find,Context,Quant,Weight (gr),Object Type,Material,Stone Type,Notes,Descriptions,Length (mm),Width (mm),Thickness (mm),Diameter (mm),Origin,Building Phase,Real Date,Period_Date,Attribution
306,3524,395,1,2,Flake,Sedimentary Rock,Flint,,"Gray, waguely laminated, sides dull/irregular to sharp",22,13,8,,Non-Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
307,3525,395,1,0.1,Manuport,Igneous Rock,Obsidian,,"Black, fragment rounded on one side, flat on one side, fragment most likely water eroded and then broken in half",11,6,5,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
308,3526,424,1,1.5,Worked?,Sedimentary Rock,Claystone,,"Red claystone, laminated, very fine layers, blackish red weathering coat easily scraped away, edges subangular except one sharp corner, possibly worked, irregular sides make a wonky rectangle",19,12,8,,Icelandic,S20.1,1650-1670,1630-1690,School Dormitory
309,3527,427,1,2.5,Unworked,Mineral,Quartz,,"Grayish white to transparent, tiny worn crystal fragments visible on one side of fragment, most likely quartz (bergkristall), scratches glass",20,14,6,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
310,3529,402,1,0.1,Flake,Mineral,Jasper,,"Wine red, sharp edges, very small fragment",12,7,5,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
311,3530,444,1,1,Flake,Mineral,Jasper,,"Red to wine red, broken, 3 sides worn, 2 edges subangular, 3 sides unworn, sharp edges",15,8,8,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
312,3531,445,1,0.1,Flake,Sedimentary Rock,Flint,,"Whitish gray, sharp edges",10,5,1,,Non-Icelandic,S20.1,1650-1670,1630-1690,School Dormitory
313,3534,547,1,1.5,Flake,Mineral,Jasper,,"Edges dull/irregular (worn), wine red, black streaks in fragment",22,20,12,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
314,3535,553,1,0.5,Unworked,Sedimentary Rock,Claystone,Green color? Glauconite? Chlorite?,"Light bluish green, one or two small vesicles, yields to a knife blade, very fine grained",17,12,4,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
315,3536,554,1,1.5,Roof Tile,Metamorphic Rock,Black slate,,"sharp edges, thin flake",29,15,1,,Non-Icelandic,S13.3,1800-1830,1780-1840,Main Corridor
316,3537,571,1,2.5,Unworked,Igneous Rock,Volcanic slag/scoria,,"Rauðagjall, bright red, foamy, low density, irregular edges",25,22,14,,Icelandic,S20.1,1650-1670,1630-1690,School Dormitory
317,3538,584,1,0.1,Roof Tile,Metamorphic Rock,Black slate,,"sharp edges, thin flake",15,10,"0,5",,Non-Icelandic,S7.5,1890,1870-1900,Vestibule & Corridor
318,3539,612,5,9.5,Flake,Mineral,Jasper,,"Mixed colors of wine red, grayish brown and whitishred, edges dull/irregular to sharp on larger fragments, sharp on the smallest piece",14-28,8-18,2-12,,Icelandic,S29.1,1780-1800,1780-1810,Infirmary
319,3540,612,2,3,Flake,Sedimentary Rock,Flint,,"Gray, dull/irregular to sharp edges",11-25,9-12,4-8,,Non-Icelandic,S29.1,1780-1800,1780-1810,Infirmary
320,3541,642,1,12.5,Manuport,Mineral,Quartz,,"Does not yield to a knife blade, scratches glass, rounded sides except one flat side with tiny sparkling crystals (most likely quartz), amygdale most likely rounded by water erosion, basalt fragment lodged in quartz, also water eroded, no layering or patt",25,20,20,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
321,3542,653,1,4,Flake,Sedimentary Rock,Flint,,"Whitish gray to gray, dull/irregular to sharp edges","2,5",2,1,,Non-Icelandic,S20.1,1650-1670,1630-1690,School Dormitory
322,3543,716,1,1,Manuport,Igneous Rock,Basalt,"1 slag fragment, see slag analysis","1 fragment dark gray basalt, not artefact",15,10,4,,Icelandic,S20.1,1650-1670,1630-1690,School Dormitory
323,3544,722,1,0.1,Flake,Sedimentary Rock,Flint,,"Dark gray, sharp edges",15,4,4,,Non-Icelandic,S20.3,1700-1750,1690-1750,School Dormitory
324,3545,726,1,0.1,Flake,Mineral,Opal,"Very small fragment, hard to identify w.certainty","Greenish in color, might be common opal, waxy lustre",8,5,1,,Icelandic,S20.1,1650-1670,1630-1690,School Dormitory
325,3546,729,1,0.1,Flake,Sedimentary Rock,Flint,,"Dark gray to black, <1 mm thick white outer surface",17,9,3,,,S20.2,1670-1700,1660-1720,School Dormitory
326,3547,749,8,19.5,Flake,Sedimentary Rock,Flint,,"Whitish gray to dark gray, dull/irregular to sharp edges, 7 flint fragments and 1 clay pipe fragment, 1 flint (largest) fragment with white to whitish gray outer surface",12-30,9-20,3-14,,Non-Icelandic,T1.3,2002-2007,1990-2020,FSÍ Excavation
327,3548,749,1,1706,Fish Hammer,Igneous Rock,"Basalt, olivinebasalt, vesicular",,"Broken in half, hole in middle about 35 mm in diameter, gray, fine grained, vesicles very fine < 2 mm in diameter with one or two bigger vesicles, phenocrysts of olivine (abundant) and feldspar (rarer) < 1mm in diameter",150,90,85,,Icelandic,T1.3,2002-2007,1990-2020,FSÍ Excavation
328,3559,446,1,1.5,Roof Tile,Metamorphic Rock,Black slate,,"Black, thin, fine grained","3,5","1,6",1,,Non-Icelandic,S13.3,1800-1830,1780-1840,Main Corridor
329,3771,1238,1,0.86,"Worked stone, writing implement?",Mineral,Graphite,SKH04,"little stub, no wear on the narrower end, elongated, flat sides and rectangular, dark gray, greasy to the touch, bright greasy lustre, gray streak on paper,",19,4-6,4-5,,Foreign,S5.4,1780-1800,1780-1810,Pantry/Study & Library
330,4319,1011,1,1.7,Manuport,"Igneous Rock, pyroclastic",Tuff (móberg),,"Very small and flat fragment, very fine grained, dark crystals and glass in a white matrix, with bare eyes the stone is gray, grain size makes distinction of crystal/fragment type impossible, yields to fingernail, most likely waterworn, unworked",26,18,3,,Icelandic,S22.1,1670-1700,1660-1720,Assistant Teachers Quarters
331,4989,1263,1,0.3,Manuport,Mineral,"Quartz, white",SKH04,"white, dark veined, mild vitreous lustre, amygdale, sharp edges, matted coating on two sides",10,5-6,3-5,,Icelandic,S4.3,1780-1800,1780-1810,Lodge/Dining Room & Chambers
332,5734,778,1,,Natural,Igneous rock,basalt?,"skh04, discard?","rock coated in ironrich deposit, most likely been in iron rich soil or close to a degrading iron object, unworked and generic, discard? 2.16 gr",22,8-15,3-4,,Icelandic,S29.1,1780-1800,1780-1810,Infirmary
333,6143,1035,1,3,Ashlar fragment?,Sedimentary Rock,Geyserite,,"Silica chemical sediment, fibrous and crusty, does not yield to fingernail",35,15,12,,Icelandic,S7.3,1800-1840,1780-1840,Vestibule & Corridor
334,6166,950,1,4.05,Worked stone?,Sedimentary Rock,"Artificial? Claystone?, grayish red",SKH04,"Dark gray with redish haze in matrix, yields to knife and to fingernail, dark redish brown streak on paper, identical to streak of nib <1196>, very fine grained, almost greasy lustre, most likely some form of iron rich clay sediment formation, likely conn",18,13-15,4-8,,Icelandic,S22.4,1750-1780,1750-1780,Assistant Teachers Quarters
335,6167,952,1,0.87,Roof tile?,Metamorphic Rock,Black Slate,SKH04,"Dark gray, thin, foliated, very fine grained,",18,6-13,3,,Foreign,S5.3,1760-1780,1750-1780,Bishops Dining Room
336,6172,1007,3,,Worked stone,Sedimentary Rock,"Claystone, greenish gray",SKH04,"Gray matrix with tiny black flecks, very fine grained, grainsize too small to determine type, yields to fingernail, elongated thin fragment, seem worked on one side, edges have been whittled/beveled, largest fragment has a small striation over the end, 1",,,,,,S21.2,1690-1750,1690-1750,School Room
337,6174,1011,1,4,Unclear,Artificial,Concrete?,SKH04,"Light gray matrix, fine grained, faint layering visible in matrix at one end, smooth to coarse surface, no luster, elongated fragment, most likely a fragment of concrete, shape looks like it was molded haphazardly",32,18,6-9,,Icelandic?,S22.1,1670-1700,1660-1720,Assistant Teachers Quarters
338,6180,1045,2,1.56,Baking plate fragment,Metamorphic Rock,Steatite? Mica schist,SKH04,"Grayish white to white, fairly dull luster, foliated, very small burgundy and black porphyroblasts in light colored matrix, can be scratched with  fingernail, human made striation, 1.5-2 mm in width, <1 mm deep, could be a fragment of baking plate, fragme",17-18,5-15,2-4,,Foreign,S22.1,1670-1700,1660-1720,Assistant Teachers Quarters
339,6190,1205,1,,,,,,,,,,,,S11.2,1720-1730,1720-1750,Priests Living Quarters
340,6194,1,8,32.4,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",18-63,16-57,"1-3,7",,Non-Icelandic,LH,1958,1930-1960,Levelling Horizon
341,6195,106,1,2.8,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",57,29,"1,2",,Non-Icelandic,S13.1,1690-1750,1690-1750,Main Corridor
342,6196,829,1,7.1,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",45,32,"3,8",,Non-Icelandic,C.4,1850-1890,1840-1900,Courtyard
343,6197,850,4,5.2,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",17-30,9-24,"1,3-2,3",,Non-Icelandic,S35.2,1958,1930-1960,Western Farmhouse
344,6198,854,2,2.2,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",24-33,20-22,"0,9-1,75",,Non-Icelandic,S30.3,1740-1750,1720-1750,School Master's House
345,6199,882,1,2.3,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",44,25,"1,35",,Non-Icelandic,S30.3,1740-1750,1720-1750,School Master's House
346,6200,902,11,11.3,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",14-43,10-39,"1,05-1,4",,Non-Icelandic,S30.2,1720-1740,1720-1750,School Master's House
347,6201,948,1,1.4,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",28,23,"1,5",,Non-Icelandic,S35.2,1958,1930-1960,Western Farmhouse
348,6202,964,1,1.4,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",18,13,2,,Non-Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
349,6203,1009,1,0.4,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",15,14,"1,25",,Non-Icelandic,S21.1,1650-1690,1630-1690,School Room
350,6204,1011,1,0.3,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",20,13,"1,1",,Non-Icelandic,S22.1,1670-1700,1660-1720,Assistant Teachers Quarters
351,6205,1064,3,1.3,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",8-35,6-21,"0,8-1",,Non-Icelandic,S13.2,1750-1800,1750-1810,Main Corridor
352,6206,1161,1,1.1,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",22,19,"1,75",,Non-Icelandic,S6.3,1800-1890,1780-1900,Bishops Living Quarters
353,6207,1236,1,0.5,Roof Tile,Metamorphic Rock,Black Slate,,"Black, thin, fine grained",19,15,"1,35",,Non-Icelandic,S35.2,1958,1930-1960,Western Farmhouse
354,6208,100,6,20.2,Flake,Sedimentary Rock,Flint,,"one black flint, edges dull/irregular, worn; five whitish gray to dark gray flint, mottled and dotted, edges dull/irregular to sharp, worn larger fragments, one flake has one side of rough subrounded outer side of nodule, edges of larger fragments chippe",14-35,12-21,3-11,,Non-Icelandic,S29.2,1840-1900,1840-1900,Outhouse
355,6208,100,1,5.03,Flake,Mineral,Jasper,,"One fragment of jasper, wine red, edges dull/irregular, worn, weak greasy lustre;",25,22,15,,Icelandic,S29.2,1840-1900,1840-1900,Outhouse
356,6209,268,1,4.9,Flake,Sedimentary Rock,Flint,,"Gray, mottled, edges sharp to dull/irregular",33,23,6,,Non-Icelandic,S5.4,1780-1800,1780-1810,Pantry/Study & Library
357,6210,443,1,1.6,Flake,Sedimentary Rock,Flint,,"Gray, dotted, sharp edges",20,15,6,,Non-Icelandic,S5.4,1780-1800,1780-1810,Pantry/Study & Library
358,6211,759,1,4.3,Manuport,Igneous Rock,Obsidian,,"Black, subangular, glassy lustre, concoidal fractures, mild perlite coating on one side",27,12,9,,Icelandic,T1.3,2002-2007,1990-2020,FSÍ Excavation
359,6212,770,1,1.4,Flake,Sedimentary Rock,Flint,,"Light gray with white coat, edges dull/irregular, weathered?",19,14,8,,Non-Icelandic,S4.2,1760-1780,1750-1780,Lodge/Dining Room & Chambers
360,6213,772,1,38.3,Flake,Igneous Rock,Rhyolite,,"Grayish green, mottled, a few small vesicles <2 mm, angular to subangular, massive",84,29,16,,Icelandic,S5.5,1800-1830,1780-1840,Pantry/Study & Library
361,6214,772,2,6.6,Flake,Sedimentary Rock,Flint,,"Gray to grayish dark caramel brown, sides sharp to irregular/dull, mottled",18-36,13-15,5-12,,Foreign,S5.5,1800-1830,1780-1840,Pantry/Study & Library
362,6215,773,2,6.8,Flake,Sedimentary Rock,Flint,,"Light gray to gray, mottled, edges irregular to sharp, one fragment has one rough subrounded outer side of nodule",17-29,14-16,5-12,,Foreign,S5.5,1800-1830,1780-1840,Pantry/Study & Library
363,6216,775,4,13.1,Fuel,Sedimentary Rock,Coal,,"Black, greasy to glassy lustre, faint lenses, irregular but fairly smooth fracture, low density, no vesicles, dull edges, does not stain the fingers",21-29,14-18,6-12,,Foreign,S7.2,1760-1800,1750-1810,Vestibule & Corridor
364,6217,778,52,108.49,Flake,Sedimentary rock,Flint,,"Flint is whitish gray to gray, dotted and mottled, edges irregular/dull to sharp, four fragments show rough irregular to chalky white outer edge of nodule;",10-39,9-25,3-12,,Foreign,S29.1,1780-1800,1780-1810,Infirmary
365,6217,778,2,5.24,Flake,Sedimentary Rock,"Flint?, red and gray",,"red and gray jasper, wery weak to  no lustre, edges dull/irregular to sharp,",18-23,11-20,6-14,,Foreign,S29.1,1780-1800,1780-1810,Infirmary
366,6217,778,1,6.57,Flake,Mineral,"Jasper, green",,"dark green jasper, chipped edges",,,,,Iceland,S29.1,1780-1800,1780-1810,Infirmary
367,6218,788,1,3.5,Flake,Sedimentary Rock,Flint,,"Ligh gray, mottled, sharp edges",28,18,9,,Foreign,S13.2,1750-1800,1750-1810,Main Corridor
368,6219,803,1,6,Flake,Sedimentary Rock,Flint,,"Gray, mottled and dotted, one side rough subrounded outer side of nodule, edges dull/irregular, very worn",27,22,8,,Foreign,S4.1,1720-1760,1720-1780,Lodge/Dining Room & Chambers
369,6220,810,1,9.1,Flake,Sedimentary Rock,Flint,,"Blackish gray, edges dull/irregular, very worn",28,21,14,,Foreign,S13.2,1750-1800,1750-1810,Main Corridor
370,6221,817,1,0.4,Flake,Sedimentary Rock,Flint,,"Gray, sharp edges, dotted",19,11,2,,Foreign,S21.3,1750-1770,1750-1780,School Room
371,6222,828,1,4,Flake,Sedimentary Rock,Flint,,"Gray, mottled and dotted, edges sharp to irregular",21,19,11,,Foreign,S4.2,1760-1780,1750-1780,Lodge/Dining Room & Chambers
372,6224,829,1,16,Building material?,Igneous Rock,Tuff,,"Grayish white matrix, most likely tephra, with subangular dark gray basalt pebbles and sand, 30-40%, yields to a fingernail, rough surface, no clear layers",33,28,26,,Icelandic,C.4,1850-1890,1840-1900,Courtyard
373,6225,830,2,5.5,Flake,Sedimentary Rock,Flint,,"Light gray to brownish gray, mottled and dotted, sides dull/irregular to sharp",13-28,10-19,5-9,,Foreign,S13.2,1750-1800,1750-1810,Main Corridor
374,6226,836,1,0.4,Flake,Sedimentary Rock,Flint,,"Light gray, banded, sharp edges",13,12,5,,Foreign,S13.2,1750-1800,1750-1810,Main Corridor
375,6227,843,4,2.59,Flake,Sedimentary rock,Flint,,"Four light gray to gray, mottled, sharp edges, flint;",12-22,7-15,2-5,,Foreign,S22.3,1730-1750,1720-1750,Assistant Teachers Quarters
376,6227,843,1,1.04,Flake,Mineral,Jasper,,"one red and grayish caramel brown, sharp edges, no lustre, jasper",12,9,8,,Icelandic,S22.3,1730-1750,1720-1750,Assistant Teachers Quarters
377,6228,843,1,0.2,Flake,Mineral,Onyx,,"White, horizontal banding clear, white and gray, sharp edges",15,8,3,,Iceland,S22.3,1730-1750,1720-1750,Assistant Teachers Quarters
378,6229,846,1,2.5,Flake,Sedimentary Rock,Flint,,"Light gray, mottled, sharp edges",20,16,11,,Foreign,S21.3,1750-1770,1750-1780,School Room
379,6230,847,1,2.5,Flake,Sedimentary Rock,Flint,,"Whitish gray, dotted, sides irregular/dull, very worn",20,16,7,,Foreign,S22.1,1670-1700,1660-1720,Assistant Teachers Quarters
380,6231,847,1,28.5,Manuport,Igneous Rock,Obsidian,Tool?,"Greenish black, broken subrounded stone, glassy lustre, faint concoidal fracture, one side very flat and fairly smooth, worked?",35,31,24,,Icelandic,S22.1,1670-1700,1660-1720,Assistant Teachers Quarters
381,6232,853,3,9.8,Flake,Sedimentary Rock,Flint,,"One possibly chert fragment, white, irregular fracture, sharp edges, two flint fragments, light gray to dark gray, mottled and dotted, dull/irregular to sharp edges",17-26,12-19,4-12,,Foreign,S22.3,1730-1750,1720-1750,Assistant Teachers Quarters
382,6233,854,1,3,Flake,Sedimentary Rock,Flint,,"Gray, mottled, edges dull/irregular to sharp",20,13,12,,Foreign,S30.3,1740-1750,1720-1750,School Master's House
383,6234,864,1,0.6,Flake,Sedimentary Rock,Flint,,"Gray, sharp edges",15,10,6,,Foreign,S15.1,1650-1760,1630-1780,Wheystore
384,6235,874,17,34.1,Flake,Sedimentary Rock,Flint,,"Whitish gray to dark gray, mottled and dotted, edges sharp to dull/irregular, two smaller fragments have a surface of white chalky outer surface, one fragment redish pink to gray",8-26,7-23,3-16,,Foreign,S22.2,1700-1730,1690-1750,Assistant Teachers Quarters
385,6236,874,1,5.25,Flake,Mineral,"Quartz, white",,"Whitish gray quartz, sharp edges, dotted, no lustre;",19,19,18,,Icelandic?,S22.2,1700-1730,1690-1750,Assistant Teachers Quarters
386,6236,874,1,4.1,Flake,Mineral,Onyx,,"White onyx fragment with clear horizontal banding, gray and white, sharp edges",22,13,12,,Icelandic,S22.2,1700-1730,1690-1750,Assistant Teachers Quarters
387,6237,874,1,1.5,Flake,Mineral,Jasper,,"Red to wine red, sharp edges, none to weak greasy lustre",19,18,5,,Icelandic,S22.2,1700-1730,1690-1750,Assistant Teachers Quarters
388,6238,877,1,2,Flake,Sedimentary Rock,Flint,,"Gray, dotted, edges sharp to dull/irregular",18,16,6,,Foreign,S4.1,1720-1760,1720-1780,Lodge/Dining Room & Chambers
389,6239,878,1,6.1,Manuport,Igneous Rock,Obsidian,,"Black, opaque, subangular, most likely water eroded, edges dull/smooth",39,15,9,,Icelandic,S21.1,1650-1690,1630-1690,School Room
390,6240,880,1,251.8,Manuport,Igneous Rock,Obsidian,"Very large fragment, material mined for many smaller pieces?","Black, opaque, sharp edges where the obsidian has been fractured, striated, partially subrounded on four sides possibly due to weathering, on weathered side obsidian has no lustre, blackish brown and ""dirty""",72,71,36,,Icelandic,S21.2,1690-1750,1690-1750,School Room
391,6241,889,1,0.5,Fuel,Sedimentary Rock,Coal,,"Black, dull edges, greasy to glassy lustre, faint lenses, does not stain fingers",13,11,7,,Foreign,S15.2,1760-1800,1750-1810,Wheystore
392,6242,889,1,4.2,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, coarse, sides irregular/dull, worn",26,22,8,,Foreign,S15.2,1760-1800,1750-1810,Wheystore
393,6243,892,1,9.8,Flake,Mineral,Jasper + Quartz,,"White with gray banding and pink with white flecks, at least five small pockets of quartz crystals, sharp edges, no lustre, crystals transparent and glassy in lustre, scratches glass, classified as jasper and quartz but might also be flint or chert",21,19,18,,Icelandic?,S13.2,1750-1800,1750-1810,Main Corridor
394,6244,892,2,11.4,Gunflint + Flake,Sedimentary Rock,Flint,,"Flint flake grayish black, very worn, sides dull/irregular, one side the subrounded outer side of nodule, strike-a-light, gunflint is caramel brown and transluscent with one black fleck,  flat unknapped underside, other sides knapped, worn, gunflint is 3",F: 33 G: 22,F: 21 G: 16-19,F: 13 G: 5,,Foreign,S13.2,1750-1800,1750-1810,Main Corridor
395,6245,893,2,1.5,Flake,Sedimentary Rock,Flint,,"Whitish gray and transluscent to light gray, dotted and mottled, sharp edges",15-17,12-13,4-5,,Foreign,S13.2,1750-1800,1750-1810,Main Corridor
396,6246,895,2,10.4,Worked,Sedimentary Rock,Chemical sediment,Purpose of smooth sides unknown,"Whitish light brown, low density, don´t seem to be fibrous, matrix glittery and very fine grained, larger fragment seems to be more vesicular while the smaller has very few vesicles, vesicles very small, one side smooth and flat on larger fragment, one si",25-31,24-27,10-16,,Icelandic,S21.1,1650-1690,1630-1690,School Room
397,6247,895,2,1.2,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges, mottled",16,8-10,5,,Foreign,S21.1,1650-1690,1630-1690,School Room
398,6249,902,1,5.8,Manuport,Mineral,Chalcedony,,"gray, transluscent, waxy lustre, larger fragment has clear mammilary habit on surface, don´t yield to a knife, scratch glass",32,22,13,,Icelandic,S30.2,1720-1740,1720-1750,School Master's House
399,6249,902,1,3.67,Manuport,Mineral,Quartz,,"gray, transluscent, waxy lustre, smaller fragment has faint possible concentric lenses, don´t yield to a knife, scratch glass",17,14,6,,Icelandic,S30.2,1720-1740,1720-1750,School Master's House
400,6250,902,6,63.25,Flake,Sedimentary rock,Flint,,"6 flint fragments, light gray to dark gray and one pink to brown to white, mottled and dotted, edges dull/irregular and chipped to sharp, one fragment shows clear subrounded rough outer surface of nodule;",15-40,15-33,2-12,,Foreign,S30.2,1720-1740,1720-1750,School Master's House
401,6250,902,1,1.57,Flake,Mineral,"Jasper, red",,"one red frag of jasper, red, edges of red jasper sharp",15,11,10,,Icelandic,S30.2,1720-1740,1720-1750,School Master's House
402,6250,902,1,7.56,Flake,Mineral,"jasper, green",,"one dark green, edges of green jasper very worn, irregular/dull",24,22,11,,,S30.2,1720-1740,1720-1750,School Master's House
403,6251,911,9,5.4,Flake,Sedimentary Rock,Sandstone,,"Heavily weathered gray sandstone, red weathering coat, thin lense",10-25,6-12,2-4,,Icelandic,S7.4,1840-1890,1840-1900,Vestibule & Corridor
404,6252,913,3,4.2,Flake,Igneous Rock,Obsidian,"Removed for analysis, 2 flakes left","black, opaque, faintly transluscent at edges, vitreous lustre, sharp edges, concoidal fracture, larger fragment is worn and has chipped edges, smaller is sharp and unchipped",16-40,4-10,3-9,,Icelandic,S21.1,1650-1690,1630-1690,School Room
405,6253,927,1,8.3,Flake,Sedimentary Rock,Flint,,"Dark gray, mottled, dotted and lensed, edges dull/irregular to sharp (rare)",23,22,16,,Non-Icelandic,S13.2,1750-1800,1750-1810,Main Corridor
406,6254,930,1,2.2,Flake,Sedimentary rock,Flint,,"Flint fragment light gray, transluscent, dotted and mottled, sharp to irregular edges; no clear chipping",20,16,5,,Non-Icelandic,S22.2,1700-1730,1690-1750,Assistant Teachers Quarters
407,6254,930,1,34.82,Manuport,Mineral,Agate,,"Large fragment of agate, clear concentric bands, white and gray, rough surface of rock where amygdale was formed clear on the outside, in center of agate tiny sparkly transparent quartz crystals, druse",46,31,25,,Icelandic,S22.2,1700-1730,1690-1750,Assistant Teachers Quarters
408,6255,930,8,56.4,Flake,Sedimentary Rock,Flint,,"Whitish gray to dark gray, mottled, dotted and lined, edges sharp to irregular/dull, one fragment shows irregular subrounded outer edge of nodule, two fragments show chalky white thin outer layer of nodule",12-51,10-32,2-17,,Non-Icelandic,S22.2,1700-1730,1690-1750,Assistant Teachers Quarters
409,6256,931,2,1.1,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, mottled, sharp to irregular edges, seem unused",12-16,8-11,2-5,,Non-Icelandic,S21.2,1690-1750,1690-1750,School Room
410,6257,933,1,6,Gunflint,Sedimentary Rock,Flint,,"Broken gunflint, grayish caramel brown, edges very worn, dull/irregular",32,20,7,,Non-Icelandic,S4.1,1720-1760,1720-1780,Lodge/Dining Room & Chambers
411,6258,941,1,0.9,Flake,Sedimentary Rock,Flint,,"Gray, mottled, edges irregular to sharp",22,13,6,,Non-Icelandic,S13.2,1750-1800,1750-1810,Main Corridor
412,6259,945,1,1.8,Flake,Sedimentary Rock,Flint,,"Gray, mottled, edges dull/irregular to sharp",16,14,8,,Non-Icelandic,S21.2,1690-1750,1690-1750,School Room
413,6260,946,1,4.6,Fuel,Sedimentary Rock,Coal,,"Black, greasy to glassy lustre, faint layering, doesn´t stain fingers, low density, edges dull, uneven smooth fracture",36,15,10,,Non-Icelandic,S7.4,1840-1890,1840-1900,Vestibule & Corridor
414,6261,946,2,11.1,Fuel,Sedimentary Rock,Coal,,"Black, greasy to glassy lustre, faint layering, doesn´t stain fingers, low density, edges dull, uneven smooth fracture",29-38,25-26,4-13,,Non-Icelandic,S7.4,1840-1890,1840-1900,Vestibule & Corridor
415,6262,950,2,1.3,Flake,Sedimentary Rock,Flint,,"Whitish gray, mottled, dull/irregular to sharp edges",12-19,11-17,3-4,,Non-Icelandic,S22.4,1750-1780,1750-1780,Assistant Teachers Quarters
416,6263,952,1,24.1,Flake,Sedimentary Rock,Flint,,"Gray, mottled and dotted, edges very worn, dull/irregular",33,29,18,,Non-Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
417,6264,953,1,1,Flake,Sedimentary Rock,Flint,,"Whitish gray, mottled, dull (rare) to sharp edges",22,16,3,,Non-Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
418,6265,954,4,9,Flake,Sedimentary Rock,Flint,,"Light gray to gray, mottled and dotted, edges dull/irregular to sharp, two fragments show whitish irregular subangular outer edge of nodule",12-21,12-16,3-11,,Non-Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
419,6266,956,2,8.7,Flake,Sedimentary Rock,Flint,,"Gray, dotted and mottled, edges irregular/dull to sharp, one fragment shows subangular rough outer surface of nodule",22-33,17-22,7-9,,Non-Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
420,6267,956,2,29,Manuport,Mineral,Calcite,,"Whitish gray to white, transluscent, yield to a knife, none to glassy lustre, smaller fragment possibly honey calcite (sykurberg), larger fragment has clear crystal structure, trigonal, also calcite",14-42,13-35,8-18,,Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
421,6268,957,3,3.7,Flake,Sedimentary Rock,Flint,,"Light gray to brownish gray with a slight pinkish tint, edges sharp to dull/irregular, mottled",13-30,10-15,3-7,,Non-Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
422,6269,958,3,5.2,Flake,Sedimentary Rock,Flint,,"Light gray to gray, mottled, irregular to sharp edges",17-29,13-18,6,,Non-Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
423,6270,958,1,6.3,Manuport,Igneous Rock,Obsidian,,"Black, mild glassy lustre, subangular, smooth fracture, dull edges most likely due to water erosion, transluscent to opaque",32,19,10,,Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
424,6271,958,6,50.1,Flake,Sedimentary Rock,Flint,,"Light caramel brown to grayish black, mottled, dotted and lined, edges sharp to dull/irregular, three fragments show subangular whitish outer edge of nodules",19-44,15-31,6-22,,Non-Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
425,6272,959,1,0.1,Flake,Mineral,Jasper,,"Very small flake of red jasper, no lustre, sharp edges",14,10,2,,Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
426,6273,959,1,1.96,Manuport,Mineral,Quartz,,"One fragment partially subangular, broken manuport, yellowy white, no lustre, scratches glass weakly, most likely quartz amygdale;",20,19,11,,Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
427,6273,959,1,1.04,Manuport,Plutonic rock,Granite,,"other angular, transluscent to opaque, glassy lustre, scratches glass, two very small black glassy fragments are attached to this fragment most likely biotite mica, rest quartz and feldspar, according to Kristján at Náttúrufræðistofnun this is most likel",13,8,7,,Non-Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
