ID1,ID,Finds Number,Unit Number,Material,material group,species,Object,Size,Completeness,Number of fragments,Weight (g),Condition,Notes,GroupNo,Space,Building Phase,Unit type,Sieved,Start Date,End Date,Attribution,Period_30,Duration,calibration per 30 years
106,21,6538,1232,glass,Glass,,sequin/counter,"17mm diam, 0.5mm thick",fragment,1,0.32,good but moderate patina,"half a disc, edge chipped; prob re-worked from window glass; light green",1285,816,S4.1,Drain,FALSE,1720,1760,Lodge/Dining Room & Chambers,1720-1780,40,0.75
154,22,6539,1250,sealing wax,Resin,,seal,22mm,fragment,1,0.9,fragile,legible seal text and motif:,710,1200,S5.3,Floor,FALSE,1760,1780,Dining Room,1750-1780,20,1.5
187,48,8734,1292,sealing wax,Resin,,stick,"8mm diam, 22mm long",complete,1,1.48,good,pink stick - complete but well used,1320,1320,S12.2,Wall,FALSE,1740,1740,Living Quarters,1720-1750,1,30
165,65,8735,1316,sealing wax,Resin,,seal,10mm,fragment,1,0.07,poor,edge of seal - degraded,1335,1335,S18.8,Wall,FALSE,1790,1830,Midden,1780-1840,40,0.75
54,,7201,1319,horn?,Bone,,box,23mm w,fragment,1,,,"strip of ?birch bark (or horn?), rolled up; poss waste/off-cut",546,546,IC.2,Wall,FALSE,1740,1740,Interstice,1720-1750,1,30
131,,8736,1327,plant fibre?,Organic,,unid,,fragment,1,,,"small, thin fibres - cross-laid/woven?",634,1070,MC.2,Wall,TRUE,1700,1750,Midden Zone C,1690-1750,50,0.6
207,64,8737,1329,sealing wax?,Resin,,stick?,10mm,fragment,3,0.57,poor,clay-like - very degraded,1320,1320,S12.1,Floor,TRUE,1690,1740,Living Quarters,1690-1750,50,0.6
3,,7029,1332,bone,Bone,,gaming counter,"50mm diam, 3mm thick,",fragment,2,3,good,"calcined/white, flat chequers type, 2 grooves on edge/side, 3 grooves on top, base flat",1335,1335,S18.8,Slopewash,FALSE,1790,1830,Midden,1780-1840,40,0.75
188,49,8739,1346,sealing wax,Resin,,stick,"5mm diam, 11mm long",fragment,1,0.3,"good, but dried out",narrow stick - rather dried out,1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
128,,6909,1391,organic?,Organic,,unknown,,fragment,1,0.6,poor,wood/plant material with mortar?,1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
161,52,8743,1392,sealing wax,Resin,,seal,5mm,fragment,1,0.01,good,square edged corner of seal - unusual unless cut,1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
206,63,8747,1419,sealing wax?,Resin,,stick?,5mm,fragment,1,0.01,poor,tiny piece - very clay-like; poss degraded wax,775,775,S7.2,Floor,FALSE,1760,1800,Vestibule & Corridor,1750-1810,40,0.75
152,46,8748,1425,sealing wax,Resin,,"1 seal, 1 stick","stick: 7mm diam, 9mm long; seal: 8mm",fragment,2,0.49,good,stick is very cylindrical - nice! Seal as impression,1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
204,43,8749,1426,sealing wax?,Resin,,stick?,10mm,fragment,1,1,poor - surface blackened and whitened (?burnt),possible fragment from wax stick,1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
190,86,19321,1426,sealing wax,Resin,,stick,"23mm long, 15mm wide, 6mm thick",fragment,1,1.74,poor,very dried out; rectangular x-section stick,1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
47,,7331,1428,fish bone,Bone,fish prob,fish bone,,,1,,,eye bone'?,1257,1257,C.4,External area,FALSE,1850,1890,Courtyard,1840-1900,40,0.75
21,,6834,1448,bone,Bone,bone,splinter,,fragment,1,,,pin-shaped bone. No obvious signs of working.,1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
164,61,8751,1448,sealing wax,Resin,,seal,7mm,fragment,2,0.05,good,small frags,1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
195,47,8752,1449,sealing wax,Resin,,uncertain,6mm,fragment,5,0.4,good,"3 good pieces, 2 look more like clay?",1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
158,39,8755,1450,sealing wax,Resin,,seal,11mm,fragment,4,0.2,good,seal with impression - too illegible,1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
22,,6849,1461,bone,Bone,bone,splinter,40mm L,fragment,1,,,pin-shaped - but may be fortuitous. Not nec worked.,1702,1702,S7.1,Floor,TRUE,1720,1760,Vestibule & Corridor,1720-1780,40,0.75
205,62,8756,1461,sealing wax?,Resin,,stick?,6mm,fragment,1,0.14,poor,very degraded - looks like chalk but has the bright vermilion colour,1702,1702,S7.1,Floor,TRUE,1720,1760,Vestibule & Corridor,1720-1780,40,0.75
160,45,8757,1469,sealing wax,Resin,,seal,5mm,fragment,2,0.08,good,"small, edge of seal",1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
196,53,8759,1477,sealing wax,Resin,,uncertain,5mm,fragment,1,0.04,good,small lump; poss from seal,784,751,S13.2,Drain,TRUE,1760,1800,Main Corridor,1750-1810,40,0.75
197,55,8760,1478,sealing wax,Resin,,uncertain,6mm,fragment,3,0.15,good,"small pieces, plus smears/flecks in soil matrix",784,751,S13.2,Drain,TRUE,1760,1800,Main Corridor,1750-1810,40,0.75
194,38,8762,1479,sealing wax,Resin,,uncertain,3mm,fragment,1,0.04,good,small fragment - prob from stick rather than seal,784,751,S13.2,Drain,TRUE,1760,1800,Main Corridor,1750-1810,40,0.75
20,,6824,1502,bone,Bone,bone,splinter,,fragment,1,,,unworked,1484,690,S19.1,Floor,TRUE,1730,1770,School Refectory,1720-1780,40,0.75
43,,6844,1503,bone/horn,Bone,,spoon,"68mm L, 13mm diam",fragment,1,,,carved spoon handle - v. fine work; poss lettering,1484,690,S19.1,Floor,TRUE,1730,1770,School Refectory,1720-1780,40,0.75
209,37,8763,1504,sealing wax?,Resin,,uncertain,8mm,fragment,1,0.16,poor,small lump - very dried; possibly degraded sealing wax but looks more like clay/chalk,1484,690,S19.1,Floor,TRUE,1730,1770,School Refectory,1720-1780,40,0.75
159,40,8764,1506,sealing wax,Resin,,seal,11mm,fragment,1,0.06,good,edge of seal,1484,690,S19.1,Floor,TRUE,1730,1770,School Refectory,1720-1780,40,0.75
221,,7011,1507,stone?,Stone,,unknown,,fragment,2,0.2,good,poss geyserite frags,1484,690,S19.1,Floor,TRUE,1730,1770,School Refectory,1720-1780,40,0.75
27,41,8765,1524,bone,Bone,bone,unidentified,1mm,fragment,1,0.19,good,small bone - green ?paint on one facet;,1493,1335,S18.7,Floor,TRUE,1770,1790,Pantry,1750-1810,20,1.5
183,54,8767,1549,sealing wax,Resin,,seal?,6mm,fragment,2,0.04,good,"small, flat pieces - prob from seal",784,751,S13.2,Drain,TRUE,1760,1800,Main Corridor,1750-1810,40,0.75
63,56,8768,1574,ivory/horn,Bone,unmodified tooth,unidentified,10mm,fragment,1,0.17,good,thin horn/ivory - prob from obejct,1493,1335,S18.7,Floor,TRUE,1770,1790,Pantry,1750-1810,20,1.5
97,51,8770,1617,glass,Glass,,ring/pendant setting,"12mm diam, 10mm deep",complete,1,1.74,good,"dark blue, brilliant-cut shape, symmetrical facets; edge roughly chipped",949,1624,S6.1,Floor,TRUE,1720,1760,Bishops Living Quarters,1720-1780,40,0.75
192,60,8773,1627,sealing wax,Resin,,stick?,12mm,fragment,6,0.97,poor-good,"lumps, some very poor/degraded - like clay. Probably from a stick",1702,1702,S7.1,Floor,TRUE,1720,1760,Vestibule & Corridor,1720-1780,40,0.75
163,59,8775,1630,sealing wax,Resin,,seal,11mm,fragment,3,0.15,good,impressions,,,,,FALSE,,,,,,
44,50,8779,1666,bone/horn,Bone,fish,unidentified,19mm,fragment,1,0.9,good,polished brown surface - but may not be worked.,1656,1335,S18.6,Floor,TRUE,1760,1770,Pantry,1750-1780,10,3
162,58,8780,1679,sealing wax,Resin,,seal,8mm,fragment,2,0.16,good,seal frags with impression,1702,1702,S7.1,Floor,TRUE,1720,1760,Vestibule & Corridor,1720-1780,40,0.75
31,,9777,1972,bone/horn,Bone,,wedge pin?,42x9mm,near complete,1,,,"poorly preserved, tapered sides but blunt end; prob dowel pin",1958,1680,S17.7,Floor,TRUE,1770,1790,Meat Store,1750-1810,20,1.5
173,,9743,1982,sealing wax,Resin,,seal,,fragment,1,,,fragment of seal,1958,1680,S17.7,Floor,TRUE,1770,1790,Meat Store,1750-1810,20,1.5
174,,9744,1986,sealing wax,Resin,,seal,,fragment,12,,,several fragments of a wax seal with impressions onm,1958,1680,S17.7,Floor,TRUE,1770,1790,Meat Store,1750-1810,20,1.5
98,75,12346,1986,glass,Glass,,ring/pendant setting,9mm diam,complete,1,0.79,good,"brilliant cut; surface scratched, edges roughly chipped; blue",1958,1680,S17.7,Floor,TRUE,1770,1790,Meat Store,1750-1810,20,1.5
38,,9776,2121,bone/horn,Bone,,handle,47x6x6mm,fragment,1,,,"splinetered thin handle with copper alloy collar/bolster (7mm W, 2 grooves); small implement - not cutlery",2214,1624,S6.2,Floor,TRUE,1760,1800,Bishops Living Quarters,1750-1810,40,0.75
202,72,12348,2185,sealing wax?,Resin,,stick?,13mm,fragment,1,0.74,poor,clay-like - could ber very degraded sealing wax; has cylindrical diameter like a stick - or a bung?,1211,1200,S5.2,Floor,FALSE,1740,1760,Dining Room,1720-1780,20,1.5
220,b,9741,2215,stone,Stone,,unid,,fragment,1,,,small chip of grenish blue stone,1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
25,,9912,2255,bone,Bone,,splinter,,fragment,1,,,unworked,2249,1680,S17.6,Floor,TRUE,1750,1770,Meat Store,1750-1780,20,1.5
141,70,12350,2267,leather?,Leather,,uncertain,"35mm thick, 30mm",fragment,1,1.07,dried out,dark grey/black scrap; possibly synthetic/rubber - or leather?,1257,1257,C.3,External area,FALSE,1830,1850,Courtyard,1810-1870,20,1.5
84,124,10883,2296,porcelain,Ceramic,,insulator,,fragment,3,19.8,good - but ?burnt,"glazed white electrical insulator, internal screw thread; 20 c.",2295,744,T1.3,Post setting,FALSE,2002,2007,FSÍ Excavation,1990-2020,5,6
217,74,12352,2337,snail shell,Shell,,snail shell,7mm,near complete,1,0.17,good,natural?,2292,1884,S18.3,Floor,FALSE,1700,1710,Pantry,1690-1720,10,3
166,71,12353,2341,sealing wax,Resin,,seal,9mm,fragment,1,0.05,very good,legible text: …R . EIVL… around symbol,2520,2520,S25.3,Wall,FALSE,1720,1720,Boys Lodge (servants?),1720-1750,1,30
208,73,12357,2425,sealing wax?,Resin,,stick?,"10mm diam, 18mm long",fragment,1,0.6,poor and burnt at one end,pointed tip of wax stick? Very degraded,2551,2551,S23.2,Floor,TRUE,1720,1720,Bishops Living Quarters,1720-1750,1,30
15,90,18317,2471,bone,Bone,ivory,sheath/case?,"37mm long,",complete,1,3.63,good,polished bone shaft with hollowed middle; ?hair stuffed inside at one end; needle/pin case? Also could be off-cut from a flute. From sample no. 295,2453,2344,S8.1,Floor,FALSE,1720,1750,Children's Quarters,1720-1750,30,1
93,,9898,2521,fruitstone,Fruitstone,,fruitstone,"8mm L, 5mm thick",complete,1,,,complete - small,2520,2520,S25.2,Floor,FALSE,1710,1720,Boys Lodge (servants?),1690-1720,10,3
,,14252,2576,plastics?,Plastic,,fitting,,fragment,1,1,good,"rim of fitting, internal screw thread; olive green marbled colour - bakelite?",2574,1680,S17.5,Floor,TRUE,1720,1750,Meat Store,1720-1750,,
142,,13879,2643,leather?,Leather,,unidentified,41x20x17mm,fragment,1,,,block - poss off-cut; curving slightly - warped?,2521,2520,S25.2,Floor,FALSE,1710,1720,Boys Lodge (servants?),1690-1720,10,3
153,,13654,2686,sealing wax,Resin,,crumbs,,fragment,1,,,several small crumbs of sealing wax,2658,2551,S23.1,Floor,TRUE,1700,1720,Bishops Living Quarters,1690-1720,20,1.5
56,,18196,2692,horn?,Bone,fish prob,unidentified,33x30x7mm,fragment,1,,,"flat, thick piece, worked into some object; broken in 2",2658,2551,S23.1,Floor,TRUE,1700,1720,Bishops Living Quarters,1690-1720,20,1.5
172,125,19271,2708,sealing wax,Resin,,seal,5mm,fragment,1,0.04,good,tiny frag; sample 325,2521,2520,S25.2,Floor,FALSE,1710,1720,Boys Lodge (servants?),1690-1720,10,3
94,,18201,2789,fruitstone,Fruitstone,,fruitstone,,fragment,1,,,not looked at by HH,2520,2520,S25.2,Floor,FALSE,1710,1720,Boys Lodge (servants?),1690-1720,10,3
226,,16373,2817,Hair?,Hair,,bristles?,,fragment,1,,,"multiple unidentified fibres - thin, black/dark fibres, like brush bristles. Very thick hair?",2800,2520,S25.1,Floor,TRUE,1670,1710,Boys Lodge (servants?),1660-1720,40,0.75
125,,13657,2872,Intestine?,Organic,,window?,,fragment,1,,,thin skin-like - mushroom? Skin? Bark? Possibly intestine used as window?,2863,2551,S23.1,Floor,TRUE,1700,1720,Bishops Living Quarters,1690-1720,20,1.5
13,,13670,2872,bone,Bone,ivory?,handle,"50mm thick, 12mm diam",complete,1,,,polished bone handle for small tanged implement; groove around butt; wedge-shaped.,2863,2551,S23.1,Floor,TRUE,1700,1720,Bishops Living Quarters,1690-1720,20,1.5
69,12,13805,2872,metal/bone,Bone,,handle,,Fragment,,,Good,Scale bone handle with inserted iron blade fragment. Three pins on each side. There are no decoration on the handle but a lot of scratches on both sides.,2863,2551,S23.1,Floor,TRUE,1700,1720,Bishops Living Quarters,1690-1720,20,1.5
37,,16105,2872,bone/horn,Bone,prob haddock cleithrum,gaming figure,"26mm diam, 15mm thick",complete,1,,,chess piece - prob pawn. Hand carved,2863,2551,S23.1,Floor,TRUE,1700,1720,Bishops Living Quarters,1690-1720,20,1.5
51,,16397,2872,horn,Bone,,unidentified,,fragment,1,,,small splinter,2863,2551,S23.1,Floor,TRUE,1700,1720,Bishops Living Quarters,1690-1720,20,1.5
181,,13878,2973,sealing wax,Resin,,stick,"27mmL, 11mm thick",fragment,1,,,tip of seal stick with butt end pinched - prob end of use,2999,1680,S17.1,Drain,FALSE,1670,1690,Meat Store,1660-1690,20,1.5
126,,16372,3015,Intestine?,Organic,,window?,,fragment,1,,,small thin skin-like; intestine used as window?,2953,1680,S17.1,Floor,FALSE,1670,1690,Meat Store,1660-1690,20,1.5
82,,699,95,ceramic?,Ceramic,,?nib,"28mmL, 5mm w",fragment,1,0.5,good,"re-used clay pipe stem (or bone), cut and polished to a tapered point with groove on one side and tip blackened. Poss used as a stylus or else a pin/awl",80,80,S20.4,Floor,FALSE,1760,1770,School Dormitory,1750-1780,10,3
30,,4158,1278,bone & textile,Bone,ungulate carpal or tarsal - poss sheep,unidentified,,fragment,1,,,fused lump,1117,751,S13.2,Drain,FALSE,1760,1800,Main Corridor,1750-1810,40,0.75
12,,4356,1276,bone,Wood,,handle,"58mm L, 12mm w, 8mm th",complete,1,,,"carved handle with start of prob knife blade - small knife, poss for sharpening quills? Figure at terminal - bird/owl?",1117,751,S13.2,Drain,FALSE,1760,1800,Main Corridor,1750-1810,40,0.75
1,,4653,1276,bone,Bone,,bobbin,75mm L,complete,1,4.4,poor,small unworked ?sheep bone used as thread reel/bobbin; wool thread/yarn  still in situ wound around it; Michele needs to see,1117,751,S13.2,Drain,FALSE,1760,1800,Main Corridor,1750-1810,40,0.75
40,,6876,1527,bone/horn,Bone,,screw lid,"14 diam, 5 thick",fragment,1,1.1,good,screw-thread lid/cap - 3 dot&circles inscribed on top; underside broken. Presumably for flask or small container though lacking a grip to unscrew - poss decorated end is underside,1528,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
33,,6888,1349,bone/horn,Bone,,finial,,complete,1,,,"circular, flattened dome-shaped disc with threaded perforation on back/flat side; looks like a decorative finial/cap for a screw; button?",1211,1200,S5.2,Floor,TRUE,1740,1760,Dining Room,1720-1780,20,1.5
23,,7133,1630,bone,Bone,bone,splinter,,fragment,1,,,not necessarily worked,,,,,FALSE,,,,,,
67,,7152,1568,ivory?,Bone,haddock cleithrum,gaming figure,"21mm L, 13mm diam",almost complete,1,,,prob chess pawn,2758,2758,S11.1,Floor,TRUE,1690,1720,Living Quarters,1690-1720,30,1
130,a,9652,5021,plant fibre,Organic,,?twine,"60mm L, 1mm thick",fragment,1,0.1,good,"roughly twisted, plant fibre",0,,X,,FALSE,,,,,,
223,b,9652,5021,stone?,Stone,,unknown,,fragment,1,5,good,lump of either basalt or slag,0,,X,,FALSE,,,,,,
184,,9742,1960,sealing wax,Resin,,seal?,,fragment,1,,,several small crumbs of sealing wax,1887,1884,S18.5,Floor,FALSE,1740,1760,Pantry,1720-1780,20,1.5
120,,9749,1954,iron pan,Natural,,natural,,fragment,1,,,poss just iron panning but recorded as fruitstone,1916,1916,IA.1,Floor,FALSE,1720,1760,Interstice,1720-1780,40,0.75
24,a,9798,2346,bone,Bone,,splinter,,fragment,1,,,sliver,546,546,IC.1,External area,FALSE,1720,1740,Interstice,1720-1750,20,1.5
10,,13570,2641,bone,Bone,prob haddock cleithrum,gaming figure,"29mm diam, 13mm th",complete,1,,,chess piece - pawn; skittle shaped with disc head and concentric grooves on top face,2521,2520,S25.2,Floor,FALSE,1710,1720,Boys Lodge (servants?),1690-1720,10,3
5,,13574,2638,bone,Bone,whale,gaming counter,"20mm diam, 3mm th",complete,1,,,"disc shaped, with concentric grooves on upper face",2521,2520,S25.2,Floor,FALSE,1710,1720,Boys Lodge (servants?),1690-1720,10,3
9,,13577,2676,bone,Bone,,gaming counter?,30x28x7mm,complete,1,,,"polished, roughly cut oval disc, flat both sides; hand made",2521,2520,S25.2,Floor,FALSE,1710,1720,Boys Lodge (servants?),1690-1720,10,3
6,,13587,2796,bone,Bone,whale,gaming counter,"42mm diam, 5mm th",complete,1,,,disc-shaped gaming piece with multiple concentic grooves on upper face - lathe-turned; made from bone,2520,2520,S25.1,Wall,FALSE,1670,1710,Boys Lodge (servants?),1660-1720,40,0.75
7,,13588,2799,bone,Bone,whale,gaming counter,"40mm diam, 5mm th",complete,1,,,"disc, with concentric grooves on upper face",2800,2520,S25.1,Floor,FALSE,1670,1710,Boys Lodge (servants?),1660-1720,40,0.75
8,,13614,2521,bone,Bone,whale,gaming counter,"35mm diam, 7mm th",near complete,1,,,"disc, with concentric grooves on upper face; about one third missing",2520,2520,S25.2,Floor,FALSE,1710,1720,Boys Lodge (servants?),1690-1720,10,3
60,,15616,1276,iron/bone,Bone,,handle plate,67 long,complete,1,14.2,good,"wedge shaped, scale tang and bone scales, 3 rivets; tang 2mm tick; scales 15-10mm wide, 3mm thick",1117,751,S13.2,Drain,FALSE,1760,1800,Main Corridor,1750-1810,40,0.75
57,,16176,2912,horn?,Bone,,unidentified,,fragment,1,,,poss spoon bowl?,2892,1680,S17.2,Floor,TRUE,1690,1700,Meat Store,1690-1720,10,3
42,20,,,bone/horn,Bone,,splinter,"35mmL, 6mm W, 2mm th",fragment,1,,,Tapered on two sides. Possibly fishbone??,,,,,FALSE,,,,,,
