ID2,ID1,Finds No,ID,Unit No,Object,Category,material,Corrosion,Completeness,Size (mm),Fragment,Weight (g),Notes,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
469,718,5993,,892,U-staple,Structural_Fastener,iron,heavy,fragment,29x18,1,4.1,"long armed, both end brokem",S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
470,708,5781,,913,clench bolt?,Structural_Fastener,iron,heavy,complete,48L,1,21.3,too encrusted to ID further,S21.1,1650,1690,1650-1690,1630-1690,School Room
471,703,3655,,988,L-staple,Structural_Fastener,iron,moderate,complete,34L,1,3.7,"rect sect 7x2,5",S30.1,1670,1720,1670-1720,1660-1720,School Master's House
472,705,3736,,988,U-staple,Structural_Fastener,iron,moderate,complete,64x17,1,8.9,tips bent in opposed directions; long armed,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
473,709,5823,,1004,clench bolt,Structural_Fastener,iron,heavy,fragment,,1,10.1,"diamond shaped rove, sq sect shaft, too frag to measure",MA.1,1870,1910,1870-1910,1870-1930,Midden Zone A
474,582,3721,a,1011,U-staple?,Structural_Fastener,iron,heavy,fragment,19W,1,2.4,"arms broken, long-armed, sq sect 4x5",S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
475,627,3721,b,1011,U-staple?,Structural_Fastener,iron,heavy,fragment,62x23,1,4.1,"one arm broken, sq sect 4x4",S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
476,719,6040,,1040,U-staple,Structural_Fastener,iron,heavy,near complete,33x11,1,2.9,"long armed, 1 arm broken",S21.1,1650,1690,1650-1690,1630-1690,School Room
477,720,6045,,1049,U-staple,Structural_Fastener,iron,heavy,complete,60x24,1,22.2,long armed,S22.2,1700,1730,1700-1730,1690-1750,Assistant Teachers Quarters
478,721,6046,,1050,clench bolt,Structural_Fastener,iron,heavy,complete,40L,1,15.8,"sq rove (18x22), irreg circ head rivet, sq shaft (6x8), gap: 20",MB.2,1830,1850,1830-1850,1810-1870,Midden Zone B
479,722,6054,,1056,anchor bolt,Structural_Fastener,iron,heavy,complete,57L,1,32,bolt with square nut (20x20); modern,S2.1,1902,1930,1902-1930,1900-1930,Haybarn
480,584,6066,a,1071,clench bolt,Structural_Fastener,iron,heavy,complete,40L,1,21.1,"diamond rove (23x23), irreg circular rivet head; gap: 29",MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
481,629,6066,b,1071,rove?,Structural_Fastener,iron,heavy,complete,30 diam,1,10.8,irreg circular disc with small perf (5 diam) - poss rivet head or rove,MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
482,723,6085,,1085,R-staple,Structural_Fastener,iron,heavy,near complete,43x37,1,9.2,"short armed, 1 arm shorter than other",S2.1,1902,1930,1902-1930,1900-1930,Haybarn
483,585,6089,a,1090,clench bolt,Structural_Fastener,iron,heavy,complete,30L,1,5.3,"diamond rove one end, head broken other; gap: 20",MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
484,630,6089,b,1090,clench bolt,Structural_Fastener,iron,heavy,complete,37L,1,11.3,"diamond shaped rove one end, circualr nail head other, gap: 27",MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
485,631,6090,b,1090,R-staple,Structural_Fastener,iron,heavy,complete,83x30,1,11.1,"broken in 2, short-armed",MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
486,704,3670,,1090,R-staple?,Structural_Fastener,iron,heavy,fragment,?x16,1,1.2,short armed,MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
487,586,6090,a,1090,U-staple,Structural_Fastener,iron,heavy,complete,53x24,1,9.5,"long armed, tip of one arm bent up",MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
488,724,6092,,1091,clench bolt,Structural_Fastener,iron,moderate,complete,38L,1,11.7,"diamond rove one end, irreg circular nail head, sq sect, gap: 29",S15.1,1650,1760,1650-1760,1630-1780,Wheystore
489,725,6099,,1134,U-staple,Structural_Fastener,iron,heavy,complete,40x17,1,4.4,long armed,MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
490,726,6121,,1208,R-staple,Structural_Fastener,iron,heavy,near complete,57x51,1,16.1,"stout staple, 1 arm broken, long armed",S3.1,1760,1890,1760-1890,1750-1900,Pantry/Stores
491,727,6123,,1208,U-staple,Structural_Fastener,iron,heavy,near complete,50x20,1,9.5,"long armed, both arms broken",S3.1,1760,1890,1760-1890,1750-1900,Pantry/Stores
492,710,5900,,1217,clench bolt,Structural_Fastener,iron,heavy,complete,72L,1,27,"irreg diamond roves each end, sq shaft, gap: 60",MC.2,1700,1750,1700-1750,1690-1750,Midden Zone C
493,734,8565,,1309,rove,Structural_Fastener,iron,heavy,near complete,22x18,1,1.3,diamond rove - prob,MC.2,1700,1750,1700-1750,1690-1750,Midden Zone C
494,730,8508,,1317,clench bolt,Structural_Fastener,iron,heavy,near complete,27L,1,8.9,"elongated diamond rove (34x12), ends turned down; rivey sq sec 7x5; head missing; gap: c19",T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
495,797,18299,,1329,clench bolt?,Structural_Fastener,iron,heavy,fragment,,5,20.7,split and shattered,S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
496,645,18299,b,1329,rivet/nail,Structural_Fastener,iron,heavy,fragment,,1,1.3,"small, irreg circular flat head from nail or rivet",S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
497,633,8513,b,1329,R-staple,Structural_Fastener,iron,heavy,complete,35x22,1,4.3,"short-armed, rect sec",S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
498,591,8572,a,1329,U-staple,Structural_Fastener,iron,heavy,complete,45x21,1,7.9,"long armed, sq sect 5x5",S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
499,735,8575,,1344,clench bolt,Structural_Fastener,iron,heavy,complete,70L,1,63.4,"heavily encrusted; diamond rove (31x20) with long nail, tip bent over rove; head and shaft too uncrusted to ID; gap: c43; large bolt",S6.4,,1890,1890,1870-1900,Millers Workshop
500,592,8581,a,1351,R-staple,Structural_Fastener,iron,heavy,complete,55x30,1,10.7,"short-armed, sq sect 6x6, 1 arm curved out, other bent irreg; poss used as latch catch",S18.8,1790,1830,1790-1830,1780-1840,Midden
501,634,8581,b,1351,U-staple,Structural_Fastener,iron,heavy,near complete,43x25,1,8.8,"long-armed, one arm tim broken, sq sect 5x7",S18.8,1790,1830,1790-1830,1780-1840,Midden
502,731,8523,,1351,U-staple?,Structural_Fastener,iron,heavy,fragment,,1,15.1,shattered into frags,S18.8,1790,1830,1790-1830,1780-1840,Midden
503,732,8528,,1362,clench bolt?,Structural_Fastener,iron,heavy,fragment,,1,15.5,shattered into several pieces,S18.8,1790,1830,1790-1830,1780-1840,Midden
504,736,8588,,1395,U-staple,Structural_Fastener,iron,heavy,complete,35x15,1,5.1,"long armed, tips bent out, sq sec 5x5",S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
505,728,8379,,1412,clench bolt,Structural_Fastener,iron,heavy,complete,40L,1,17.1,"diamond rove (27x25), irreg oval rivet head, sq shaft (7x8); gap: c30",S18.8,1790,1830,1790-1830,1780-1840,Midden
506,593,8596,a,1423,rove?,Structural_Fastener,iron,moderate,complete,"20x19x1,5",1,4.1,"square rove with rivet shaft broken in hole - or end of strap; one end looks rounded, other flat, so could have snapped off",S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
507,671,8597,e,1426,rove?,Structural_Fastener,iron,heavy,complete,18x15x2,1,1.3,oval shaped rove or washer with central hole,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
508,635,8600,b,1443,clench bolt?,Structural_Fastener,iron,heavy,complete,88L,1,45.6,"prob clench bolt, iny gap: c52; heavy concretion",S10.4,1800,1880,1800-1880,1780-1900,Kitchen
509,738,8603,,1446,staple,Structural_Fastener,iron,heavy,near complete,38L,1,6.4,"sq sect 3x3, L or U staple; long armed, one arm broken, other bent out",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
510,739,8604,,1447,U-staple,Structural_Fastener,iron,heavy,complete,35x15,1,5.8,"U-shaped staple, sq sec 5x5, long arms",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
511,737,8599,,1453,R-staple,Structural_Fastener,iron,heavy,near complete,63x51,1,24.5,"rect-sec 8x6, short-armed",S8.2,1750,1800,1750-1800,1750-1810,Nursery/Private Chambers
512,632,8401,b,1479,U-staple,Structural_Fastener,iron,heavy,near complete,31x18,1,4.4,"tips broken, long armed",S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
513,740,8612,,1490,staple?,Structural_Fastener,iron,heavy,fragment,62L,1,15.2,"long armed L or U-staple?sq sec9x7, 1 arm sraight and tip broken, other bent at 90 deg and broken;",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
514,588,8410,a,1506,clench bolt,Structural_Fastener,iron,heavy,complete,48L,1,30.7,"oval head, prob diamond rove, gap: 31",S19.1,1730,1770,1730-1770,1720-1780,School Refectory
515,741,8618,,1506,U-staple,Structural_Fastener,iron,moderate,near complete,40x24,1,10.7,"sq sec 5x5, long arm, tips broken?",S19.1,1730,1770,1730-1770,1720-1780,School Refectory
516,748,8706,,1509,clench bolt,Structural_Fastener,iron,heavy,complete,30L,1,17.4,"?sq shaped rove, circular head, gap: 10",S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
517,742,8632,,1550,R-staple,Structural_Fastener,iron,heavy,near complete,41x32,1,18.5,"short armed, rect section, heavily encusted",S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
518,594,8634,a,1562,R-staple,Structural_Fastener,iron,heavy,near complete,73x18,1,4.7,"short armed, rec sec 5x5, tip of both arms broken",S18.7,1770,1790,1770-1790,1750-1810,Pantry
519,636,8634,b,1562,R-staple,Structural_Fastener,iron,heavy,near complete,43x21,1,4,"short armed, rect sec 7x6, one arm broken",S18.7,1770,1790,1770-1790,1750-1810,Pantry
520,743,8635,,1563,U-staple,Structural_Fastener,iron,heavy,near complete,38x22,1,8,"long armed, broken in 2",S18.7,1770,1790,1770-1790,1750-1810,Pantry
521,744,8641,,1578,rove?,Structural_Fastener,iron,heavy,near complete,29x16x5,1,7.6,thick strap rove?,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
522,729,8445,,1580,clench bolt,Structural_Fastener,iron,heavy,complete,38L,1,9.9,"circular head, broken diamond rove, gap: 29",S19.1,1730,1770,1730-1770,1720-1780,School Refectory
523,745,8642,,1581,clench bolt,Structural_Fastener,iron,moderate,complete,37L,1,15.9,"diamond shaped rove one end (28x22), irreg circle head other (23x20) with sq sectioned rivet shaft (6x5,5); inner gap: 27; for large vessel or planking",S19.1,1730,1770,1730-1770,1720-1780,School Refectory
524,746,8653,,1604,R-staple,Structural_Fastener,iron,heavy,near complete,47x24,1,5,"short armed, rec sec 6x4, tip of one arm broken",S18.7,1770,1790,1770-1790,1750-1810,Pantry
525,589,8464,a,1627,clench bolt?,Structural_Fastener,iron,heavy,complete,50l,1,16.8,poss clench bolt - very encrusted,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
526,637,8666,b,1638,rivet/nail,Structural_Fastener,iron,heavy,fragment,42x4x4,1,15.3,"sq sect, large headed nail or rivet",C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
527,595,8668,a,1643,U-staple,Structural_Fastener,iron,heavy,complete,45x18,1,7.5,"long armed, both tips bent; sq sec 5x3",S19.1,1730,1770,1730-1770,1720-1780,School Refectory
528,638,8668,b,1643,U-staple,Structural_Fastener,iron,heavy,near complete,69x23,1,13.4,"long armed, one arm bent at tip, other broken half way down, rect sec 6x3",S19.1,1730,1770,1730-1770,1720-1780,School Refectory
529,596,8677,a,1665,R-staple,Structural_Fastener,iron,heavy,complete,78x52,1,54.1,"long armed, rect sec 8x7",S18.6,1760,1770,1760-1770,1750-1780,Pantry
530,747,8679,,1672,U-staple,Structural_Fastener,iron,heavy,near complete,48x25,1,5,rect sect 7x2; 1 arm missing; long-armed,C.3,1830,1850,1830-1850,1810-1870,Courtyard
531,599,11872,a,1713,clench bolt,Structural_Fastener,iron,heavy,complete,41L,1,12.4,"diamond roves each end, 21x19, sq shaft rivet 6x5, gap: 29",MB.2,1830,1850,1830-1850,1810-1870,Midden Zone B
532,763,11884,,1788,clench bolt,Structural_Fastener,iron,heavy,complete,66L,1,29.6,heavy concreted - est gap: 43,C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
533,764,11893,,1840,clench bolt?,Structural_Fastener,iron,heavy,fragment,,1,4.9,prob rivet head with wood around,C.4,1850,1890,1850-1890,1840-1900,Courtyard
534,752,11591,,1860,L-staple?,Structural_Fastener,iron,heavy,complete,82L,1,21.8,"encased in wood - but poss L-staple; if not, then a large nail",S17.8,1790,1830,1790-1830,1780-1840,Midden
535,749,9697,,1861,clench bolt,Structural_Fastener,iron,heavy,complete,43L,1,28.8,"irreg round roves on each end; gap: 25; leather remains in half the gap, - presumably wood orginally in other; upholstered furniture?",S31.2,1700,1720,1700-1720,1690-1720,Bishops Dining Room
536,765,11898,,1861,U-staple?,Structural_Fastener,iron,heavy,fragment,,1,6.7,"poss long-armed staple, very encrusted; rect sect.",S31.2,1700,1720,1700-1720,1690-1720,Bishops Dining Room
537,753,11606,,1901,R-staple?,Structural_Fastener,iron,heavy,near complete,54x17,1,6.7,"poss short-armed staple, 1 arm broken",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
538,766,11907,,1901,U-staple,Structural_Fastener,iron,heavy,complete,37x21,1,5.1,"long armed, one arm bent; sq sec 3x3",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
539,600,11912,a,1913,bolt?,Structural_Fastener,iron,heavy,fragment,,1,8.8,stout nail-like object - large head (22diam) and thick shaft (12 diam) with poss screw thread - or else wood remains; broken shaft,S18.5,1740,1760,1740-1760,1720-1780,Pantry
540,767,11914,,1927,R-staple,Structural_Fastener,iron,heavy,near complete,56x33,1,24.4,"long armed, tips broken, sq sec 7x5",S18.5,1740,1760,1740-1760,1720-1780,Pantry
541,639,11630,b,1977,rove,Structural_Fastener,iron,heavy,complete,,1,5.7,"diamond shaped, broken rove and shaft from  a clench bolt",S17.7,1770,1790,1770-1790,1750-1810,Meat Store
542,597,11630,a,1977,U-staple,Structural_Fastener,iron,heavy,complete,57x20,1,15.3,long armed,S17.7,1770,1790,1770-1790,1750-1810,Meat Store
543,754,11642,,2016,clench bolt,Structural_Fastener,iron,heavy,complete,43L,1,9,"broken in 2, irreg circ head and rove; gap c30",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
544,601,11926,a,2016,R-staple,Structural_Fastener,iron,heavy,complete,63x17,1,6.1,"rect sect 7x4, 1 tip turned in, other turned out; short-armed",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
545,641,11926,b,2016,U-staple,Structural_Fastener,iron,heavy,near complete,21x19,1,1.8,long-armed - just! 3x3 sq sec,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
546,755,11655,,2049,R-staple,Structural_Fastener,iron,heavy,complete,32x15,1,6.1,short armed,C.2,1720,1830,1720-1830,1720-1840,Courtyard
547,756,11661,,2060,clench bolt,Structural_Fastener,iron,heavy,near complete,,1,10.5,"diamond rove, head missing, min gap: 28",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
548,598,11663,a,2069,clench bolt,Structural_Fastener,iron,heavy,complete,46L,1,17.7,"broken in 2, bent, prob diamond rove and circ head, gap: c25",S18.4,1700,1740,1700-1740,1690-1750,Pantry
549,757,11666,,2090,clench bolt,Structural_Fastener,iron,heavy,near complete,,1,6.5,"circular ?head, rove broken off, gap: c23",C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
550,796,18146,,2101,angle tie?,Structural_Fastener,iron,heavy,complete,42x17,1,6.5,"sq sect, 8x5",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
551,603,11935,a,2119,clench bolt?,Structural_Fastener,iron,heavy,fragment,,1,11.3,head of prob rivet/clench bolt,S18.4,1700,1740,1700-1740,1690-1750,Pantry
552,642,11927,b,2121,angle tie?,Structural_Fastener,iron,heavy,near complete,"78L, 16H",1,3.6,"complete? Long shaft with small 90 deg bend at one end, rect sect 4x4",S6.2,1760,1800,1760-1800,1750-1810,Bishops Living Quarters
553,602,11927,a,2121,L-staple,Structural_Fastener,iron,heavy,near complete,47L,1,7,"one arm broken off, other bent out; rect sect 5x4",S6.2,1760,1800,1760-1800,1750-1810,Bishops Living Quarters
554,658,11927,c,2121,U-staple?,Structural_Fastener,iron,heavy,fragment,20W,1,4.9,"head of prob U-staple, sq sect 7x7",S6.2,1760,1800,1760-1800,1750-1810,Bishops Living Quarters
555,604,11937,a,2129,U-staple,Structural_Fastener,iron,heavy,complete,47x23,1,16.6,"long armed, sq sect 5x4",S18.4,1700,1740,1700-1740,1690-1750,Pantry
556,643,11937,b,2129,U-staple?,Structural_Fastener,iron,heavy,fragment,75x28,1,22.6,"prob long-armed staple, rect sec 7x6, both arms broken",S18.4,1700,1740,1700-1740,1690-1750,Pantry
557,768,11939,,2135,rove,Structural_Fastener,iron,heavy,complete,21x18,1,4.8,sq rove with rivet hole in centre,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
558,769,11940,,2139,U-staple,Structural_Fastener,iron,moderate,near complete,30x20,1,4.5,"long armed, rect sec 5x7, 1 tip broken, both bent",S18.4,1700,1740,1700-1740,1690-1750,Pantry
559,758,11704,,2196,clench bolt,Structural_Fastener,iron,heavy,complete,40L,1,28.2,"too encrusted but poss circular head and diamond rove, gap c.20",S17.7,1770,1790,1770-1790,1750-1810,Meat Store
560,605,11951,a,2200,L-staple?,Structural_Fastener,iron,heavy,fragment,57L,1,12.5,very corroded,S18.4,1700,1740,1700-1740,1690-1750,Pantry
561,751,10132,,2213,L-brace,Structural_Fastener,iron,moderate,complete,140x120,1,37.5,"face brace with ornate terminals and 3 rivet holes on longer arm, 2 on shorter; presumably for window or door",S17.6,1750,1770,1750-1770,1750-1780,Meat Store
562,680,11954,l,2215,R-staple?,Structural_Fastener,iron,moderate,fragment,42x22,1,5.3,"poss R-staple, short arms, rect sect 7x3; 1 arm missing",S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
563,682,11954,m,2215,R-staple?,Structural_Fastener,iron,moderate,fragment,44x15,1,2.5,"prob R-staple, shrt armed, rect set 5x3",S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
564,677,11954,i,2215,staple?,Structural_Fastener,iron,heavy,near complete,,1,8.9,"8x4 rect section, prob staple folded over",S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
565,679,11954,j,2215,U-staple?,Structural_Fastener,iron,heavy,complete,53x18,1,6.8,"U-shaped, tips missing; prob staple",S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
566,750,9935,,2220,clench bolt,Structural_Fastener,iron,heavy,near complete,52L,1,24.5,"rove and head?, stout sq sec shaft (10x10), min gap: 42",S18.4,1700,1740,1700-1740,1690-1750,Pantry
567,770,11955,,2223,rove,Structural_Fastener,iron,heavy,near complete,32x25,1,6.9,"diamond shaped,",MC.2,1700,1750,1700-1750,1690-1750,Midden Zone C
568,775,12479,,2239,U-staple,Structural_Fastener,iron,heavy,near complete,22W,1,5.1,"top of staple, both arms broken - prob long-armed; sq sectioned 5x4",S18.4,1700,1740,1700-1740,1690-1750,Pantry
569,759,11719,,2240,clench bolt,Structural_Fastener,iron,heavy,near complete,34L,1,5.6,"diamond rove, head broken off, gap: 24",S18.4,1700,1740,1700-1740,1690-1750,Pantry
570,776,12481,,2251,R-staple,Structural_Fastener,iron,moderate,fragment,19H,1,5,"short-armed, wide rect sect 10x3; one arm and part of back broken, arm tip inturned",S18.4,1700,1740,1700-1740,1690-1750,Pantry
571,659,11958,c,2251,U-staple,Structural_Fastener,iron,heavy,fragment,25x18,1,5.3,"long armed, tips broken",S18.4,1700,1740,1700-1740,1690-1750,Pantry
572,760,11729,,2257,clench bolt,Structural_Fastener,iron,heavy,complete,40L,1,17.1,"circular head and rove, gap: 30",S17.6,1750,1770,1750-1770,1750-1780,Meat Store
573,640,11732,b,2261,R-staple,Structural_Fastener,iron,heavy,near complete,26x21,1,2.1,v. Regular - wire cut staple?,S17.6,1750,1770,1750-1770,1750-1780,Meat Store
574,606,11964,a,2284,R-staple,Structural_Fastener,iron,heavy,fragment,84x46,1,19.9,"short armed, broken at arm and back; rect sect 9x8",S6.4,,1890,1890,1870-1900,Millers Workshop
575,565,10296,115,2304,looped shaft,Structural_Fastener,iron,moderate corrosion,near complete,"93 length, diameter 2; head 16x12x3",1,3.61,"round sectioned wire shaft, looped over at one end; bent",S17.6,1750,1770,1750-1770,1750-1780,Meat Store
576,761,11751,,2311,clench bolt,Structural_Fastener,iron,heavy,complete,38L,1,21.4,"trapezoidal rove, circular flat head, gap: 26",MR.1,1700,1900,1700-1900,,Main Road
577,789,15556,,2337,U-staple?,Structural_Fastener,iron,moderate,near complete,15x17,1,2.3,short armed!,S18.3,1690,1700,1690-1700,1690-1720,Pantry
578,771,11965,,2338,clench bolt,Structural_Fastener,iron,heavy,complete,"39L,",1,29.1,"sq rove one end (17x18), round head other; gap: c22",S18.3,1690,1700,1690-1700,1690-1720,Pantry
579,788,15548,,2395,rove?,Structural_Fastener,iron,heavy,complete,29x22x3,1,3.6,irregular rect plate with central rivet hole - makeshift rove from strapwork?,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
580,762,11790,,2409,clench bolt,Structural_Fastener,iron,moderate,complete,43L,1,17.3,"diamond rove, circular head, gap: 29",S18.2,1680,1690,1680-1690,1660-1690,Pantry
581,772,11973,,2419,U-staple,Structural_Fastener,iron,heavy,near complete,52x29,1,14.6,"long armed, 1 arm broken, other tip missing, 7x6 rect sec",S18.2,1680,1690,1680-1690,1660-1690,Pantry
582,644,11981,b,2464,hooked spike,Structural_Fastener,iron,moderate,complete,103x7x3,1,8.7,open hook with short tang/shank either for hafting or inserting into a wall,S8.1,1720,1750,1720-1750,1720-1750,Nursery
583,607,11981,a,2464,U-staple,Structural_Fastener,iron,heavy,fragment,23x19,1,4.6,"long armed, both arms broken, 6x5 rect sect",S8.1,1720,1750,1720-1750,1720-1750,Nursery
584,608,11983,a,2470,U-staple,Structural_Fastener,iron,heavy,near complete,52x21,1,10.2,"long armed, tips broken, sq sec 7x5",S8.1,1720,1750,1720-1750,1720-1750,Nursery
585,773,11988,,2496,rove,Structural_Fastener,iron,heavy,complete,48x13x5,1,16.3,thick plate with large central rivet and 2 smaller rivets; poss repair strap for stout object,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
586,774,11989,,2499,rove,Structural_Fastener,iron,heavy,complete,19x17,1,4.4,rivet in situ but broken off; 2 edges of rove jagged - like off-cut from a strap,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
587,660,14878,c,2594,R-staple/timber dog,Structural_Fastener,iron,heavy,near complete,120+x26,1,19.5,wide back  and tapered arms- poss used as window bar or bolt slider catch? Broken end starts to go down so original length prob c. 150mm,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
588,781,14881,,2665,R-staple,Structural_Fastener,iron,moderate,complete,95/80x55,1,37.3,"long armed, but one arm shorter than the other; nice example; trapezoidal area",S17.4,1710,1720,1710-1720,1690-1720,Meat Store
589,793,16710,,2668,U-staple,Structural_Fastener,iron,heavy,near complete,33x22,1,4.3,"long armed, both arms broken, rect sec 6x6",S17.4,1710,1720,1710-1720,1690-1720,Meat Store
590,782,14948,,2672,rivet/nail,Structural_Fastener,iron,heavy,fragment,,1,3.5,domed nail head in fragment of strapwork,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
591,690,326,,2684,rivet/nail,Structural_Fastener,iron,heavy,fragment,,1,2.9,irreg flat head of nail or rivet,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
592,790,16676,,2690,U-staple,Structural_Fastener,iron,moderate,complete,55x18,1,10.4,"long armed, tips out-turned - prob used as catch or suspension loop",S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
593,564,14996,87,2703,looped shaft,Structural_Fastener,iron,light corrosion,near complete,length 42; diameter 2,2,2.41,"wire pin with one end broken and bent, other folded over to make loop; fastening of some sort",S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
594,787,15004,,2739,clench bolt?,Structural_Fastener,iron,heavy,fragment,,1,12.6,"poss rivet and rove - head missing; , rect sec rivet",S17.4,1710,1720,1710-1720,1690-1720,Meat Store
595,799,19153,,2748,U-staple,Structural_Fastener,iron,moderate,complete,42x18,1,6.5,"fine example, long-armed",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
596,795,16748,,2751,U-staple,Structural_Fastener,iron,moderate,complete,37x14,1,3.5,"long armed, tip of one broken",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
597,779,14730,,2755,U-staple?,Structural_Fastener,iron,heavy,near complete,32x11,1,1.5,"U end broken - posslong armed  U-staple, esp as profile is wider in a way not usual on buckle pin",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
598,785,14986,,2827,U-staple,Structural_Fastener,iron,moderate,complete,55x18,1,10.9,long armed,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
599,784,14983,,2835,U-staple,Structural_Fastener,iron,moderate,complete,72X22,1,18.1,"nice example, long armed",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
600,783,14972,,2860,U-staple,Structural_Fastener,iron,moderate,near complete,75x38,1,34.6,"nice example, long armed, but tips broken - poss turned out",S17.3,1700,1710,1700-1710,1690-1720,Meat Store
601,563,14932,86,2872,hook/staple,Structural_Fastener,iron,light corrosion,fragment,22 length; diameter 4,1,3.05,only a small part of shaft present; square sectioned; thickens at the hook; latch hook?,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
602,786,15001,,2872,U-staple,Structural_Fastener,iron,moderate,complete,35x12,1,4.1,"long armed, 1 tip missing",S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
603,792,16684,,2890,R-staple,Structural_Fastener,iron,heavy,near complete,55x29,1,8.5,"pointed ends, long mid-shaft; one tip broken; rectangular",S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
604,791,16682,,2890,U-staple,Structural_Fastener,iron,heavy,complete,44x18,1,5.1,"long armed, tips bent slightly, sq sec 5x5",S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
605,800,19160,,2904,tack,Structural_Fastener,iron,heavy,complete,18L,1,0.9,"flat oval head, conical shaft",S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
606,794,16729,,2914,angle tie?,Structural_Fastener,iron,heavy,complete,55x18,1,7.1,"sq sect shaft, pointed both end - distorted angle tie or more likely a short-armed R-staple",S17.2,1690,1700,1690-1700,1690-1720,Meat Store
607,778,14653,,2944,U-staple,Structural_Fastener,iron,moderate,near complete,21x16,1,3.1,"long armed, tips broken",S17.2,1690,1700,1690-1700,1690-1720,Meat Store
608,780,14806,,3003,clench bolt,Structural_Fastener,iron,heavy,complete,33L,1,12.6,"diamond shaped roves both ends?, gap: 20",S17.1,1670,1690,1670-1690,1660-1690,Meat Store
609,777,14603,,3003,rove,Structural_Fastener,iron,moderate,complete,25x15,1,2.3,diamond shaped rove with rivet hole - broken where rivet has torn out,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
610,808,1433,c,1,barbed wire,Structural_Fencing,iron,heavy,fragment,2 diam,1,6,single strand wire with double looped 4 point barbs; late 19/20 c,LH,,1958,1958,1930-1960,Levelling Horizon
