Sherd group,Finds_No,Context,Group,Refits,Similar to,Vessel ID,Same as VID,Fabric code,ICP,Fabric Group,Broad fabric,Vessel type,Vessel group,Food type,Number of sherds,evrep,batch,Weight,eve (%rim),eve (%base),size (mm),Rim form,Decorated,colour,Decorative method,Pattern class,Pattern type,Matching set,Moulding method,Moulding type,Repair hole,Residue,Sooting,Burnt,Use-wear,Makers mark,Date,Notes,Photo,Building Phases_Building Phase,Real Date,Start date,End date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved,,
1146,4695,30,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,1.6,,,,,,,Sponged,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,green & brown - floral; prob bowl,FALSE,S13.3,1800-1830,1800,1830,1780-1840,Main Corridor,756,30,Room,disturbed,FALSE,,
1147,4695,30,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,0.1,,,,,,,Stencilled,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue & green - floral?,FALSE,S13.3,1800-1830,1800,1830,1780-1840,Main Corridor,756,30,Room,disturbed,FALSE,,
1148,4695,30,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,2,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,platter?,FALSE,S13.3,1800-1830,1800,1830,1780-1840,Main Corridor,756,30,Room,disturbed,FALSE,,
1149,4709,691,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,0.2,,,,,,,Tissue-printed,View,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,19 c. - early?,black print - house; very thin vessel,FALSE,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,163,691,Building,in situ,FALSE,,
1150,4784,898,,,,,,whiteware,,Refined earthenware,REW,cup/bowl,tableware,hot drink/wet food,4,1,FALSE,6.1,,,,,,,Tissue-printed,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,purple print - prob cup,FALSE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,External area,disturbed,FALSE,,
1151,4784,898,,,,,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,1.1,,,,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue print,FALSE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,External area,disturbed,FALSE,,
1152,4784,898,,,1155,,582,whiteware,,Refined earthenware,REW,cup (handled),tableware,hot drink,1,1,FALSE,0.8,,,,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,green - sheet pattern? Coral?,FALSE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,External area,disturbed,FALSE,,
1153,4784,898,,,,,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,1,1,FALSE,4.5,3,,,,,,Undecorated,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,rolled/beaded rim bowl,FALSE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,External area,disturbed,FALSE,,
1154,4784,898,,,,,,whiteware,,Refined earthenware,REW,,,,7,,TRUE,11.2,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,undecorated body,FALSE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,External area,disturbed,FALSE,,
1155,4783,896,,,1152,582,,whiteware,,Refined earthenware,REW,cup (handled),tableware,hot drink,3,1,FALSE,3.5,,,,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,TRUE,,FALSE,,?green - coral sheet?,FALSE,S5.6,1830-1890,1830,1890,1810-1900,Workshop/Flour Mill,329,329,Wall,disorganized,FALSE,,
1156,4783,896,,,,609,,whiteware,,Refined earthenware,REW,cup/bowl,tableware,hot drink/wet food,1,1,FALSE,3,5,,90,,,,Sponged,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue spatter sponge; prob cup,FALSE,S5.6,1830-1890,1830,1890,1810-1900,Workshop/Flour Mill,329,329,Wall,disorganized,FALSE,,
1157,4783,896,,,1137,,491,white-bodied lustreware,,Refined earthenware,REW,,,,2,1,FALSE,2,,,,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,c.1840+,black print - floral with purple lustre,FALSE,S5.6,1830-1890,1830,1890,1810-1900,Workshop/Flour Mill,329,329,Wall,disorganized,FALSE,,
1158,4783,896,,,,,,whiteware,,Refined earthenware,REW,,,,2,1,FALSE,3,,,,,,,Tissue-printed,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"blue print, large flowers - prob plate/saucer",FALSE,S5.6,1830-1890,1830,1890,1810-1900,Workshop/Flour Mill,329,329,Wall,disorganized,FALSE,,
1159,4783,896,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,10.3,,,,,,,Tissue-printed,View,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"purple, floral border - same pattern as #371; prob plate/platter",FALSE,S5.6,1830-1890,1830,1890,1810-1900,Workshop/Flour Mill,329,329,Wall,disorganized,FALSE,,
1160,4783,896,,,,1296,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,2,1,FALSE,10.6,7,,,,,,Undecorated,,,FALSE,Press-moulded,faceted,FALSE,FALSE,FALSE,TRUE,,FALSE,,gothic style plate,FALSE,S5.6,1830-1890,1830,1890,1810-1900,Workshop/Flour Mill,329,329,Wall,disorganized,FALSE,,
1161,4783,896,,,,610,,whiteware,,Refined earthenware,REW,dish,tableware,dry food,1,1,FALSE,6.6,4,,180,,,,Undecorated,,,FALSE,,,TRUE,FALSE,FALSE,TRUE,,FALSE,,flanged/everted rim shallow bowl/dish,FALSE,S5.6,1830-1890,1830,1890,1810-1900,Workshop/Flour Mill,329,329,Wall,disorganized,FALSE,,
1162,4783,896,,,,886,,yellow ware,,Refined earthenware,REW,bowl,tableware,wet food,1,1,FALSE,1.3,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,simple rim - undecorated,FALSE,S5.6,1830-1890,1830,1890,1810-1900,Workshop/Flour Mill,329,329,Wall,disorganized,FALSE,,
1163,4783,896,,,,,,whiteware,,Refined earthenware,REW,,,,3,,TRUE,4.7,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,TRUE,,FALSE,,,FALSE,S5.6,1830-1890,1830,1890,1810-1900,Workshop/Flour Mill,329,329,Wall,disorganized,FALSE,,
1164,4783,896,,,,,,whiteware,,Refined earthenware,REW,,,,8,,TRUE,13.1,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,undecorated body,FALSE,S5.6,1830-1890,1830,1890,1810-1900,Workshop/Flour Mill,329,329,Wall,disorganized,FALSE,,
1165,4837,992,,,1262,509,,whiteware,,Refined earthenware,REW,bowl,tableware,wet food,3,1,FALSE,15.9,,,,,,,Slipped,Geometric,Worming,FALSE,,,TRUE,FALSE,FALSE,FALSE,,FALSE,early-mid 19 c.,brown worming on grey-green background with blue bands; 2 repair holes,FALSE,S7.3,1800-1840,1800,1840,1780-1840,Vestibule & Corridor,775,775,Floor,disturbed,FALSE,,
1166,4837,992,,,,,509,whiteware,,Refined earthenware,REW,bowl,tableware,wet food,2,1,FALSE,1.7,,,,,,,Slipped,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,brown band with yellow-brown area beneath - poss same vessel as #1165,FALSE,S7.3,1800-1840,1800,1840,1780-1840,Vestibule & Corridor,775,775,Floor,disturbed,FALSE,,
1167,4837,992,,,,695,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,1,1,FALSE,2.9,,,,,,,Hand painted,Geometric,Edge banded,FALSE,Press-moulded,shell edge (scallop),FALSE,FALSE,FALSE,FALSE,,FALSE,1800-1840,"blue shell-edge, slight scallop",FALSE,S7.3,1800-1840,1800,1840,1780-1840,Vestibule & Corridor,775,775,Floor,disturbed,FALSE,,
1168,4837,992,,,,,,white-bodied lustreware,,Refined earthenware,REW,cup/bowl,tableware,hot drink/wet food,1,1,FALSE,0.9,9,,80,,,,Hand painted,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"floral decoration, purple lustre, with red & blue paint",FALSE,S7.3,1800-1840,1800,1840,1780-1840,Vestibule & Corridor,775,775,Floor,disturbed,FALSE,,
1169,4837,992,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,0.5,6,,90,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,green print - cup?,FALSE,S7.3,1800-1840,1800,1840,1780-1840,Vestibule & Corridor,775,775,Floor,disturbed,FALSE,,
1170,4837,992,,,1215,403,,Rockingham ware,,Refined earthenware,REW,bowl,tableware,wet food,2,1,FALSE,1.6,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"handled vessel - cup? Brown-glazed - NOT usual 'teapot' ware, unless burnt?",FALSE,S7.3,1800-1840,1800,1840,1780-1840,Vestibule & Corridor,775,775,Floor,disturbed,FALSE,,
1171,4837,992,,,,853,,whiteware,,Refined earthenware,REW,small bowl,tableware,hot drink/wet food,4,1,FALSE,9.5,7,10,100,,,,Tissue-printed,View,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,pale blue - chinese? 1 piece burnt,FALSE,S7.3,1800-1840,1800,1840,1780-1840,Vestibule & Corridor,775,775,Floor,disturbed,FALSE,,
1172,4837,992,,,,,,whiteware,,Refined earthenware,REW,bowl,tableware,wet food,1,1,FALSE,0.9,6,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,undecorated rim,FALSE,S7.3,1800-1840,1800,1840,1780-1840,Vestibule & Corridor,775,775,Floor,disturbed,FALSE,,
1173,4837,992,,,,,,whiteware,,Refined earthenware,REW,bowl,tableware,wet food,1,1,FALSE,1.4,5,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,undecorated rim,FALSE,S7.3,1800-1840,1800,1840,1780-1840,Vestibule & Corridor,775,775,Floor,disturbed,FALSE,,
1174,4837,992,,,,,,creamware,,Refined earthenware,REW,plate,tableware,dry food,4,1,FALSE,10,2,5,,,,,Undecorated,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,early 19 c.,late creamware,FALSE,S7.3,1800-1840,1800,1840,1780-1840,Vestibule & Corridor,775,775,Floor,disturbed,FALSE,,
1175,4837,992,,,,,,whiteware,,Refined earthenware,REW,,,,8,,TRUE,8.2,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,misc undecorated,FALSE,S7.3,1800-1840,1800,1840,1780-1840,Vestibule & Corridor,775,775,Floor,disturbed,FALSE,,
1176,4837,992,,,,,,whiteware,,Refined earthenware,REW,,,,2,,TRUE,3.7,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,TRUE,,FALSE,,misc,FALSE,S7.3,1800-1840,1800,1840,1780-1840,Vestibule & Corridor,775,775,Floor,disturbed,FALSE,,
1177,4701,164,,,,,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,3,1,FALSE,18.7,,,,,,,Undecorated,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"rim, base",FALSE,MA.2,1910-1930,1910,1930,1900-1930,Midden Zone A,3026,3026,Midden,in situ,FALSE,,
1178,4701,164,,,1091,752,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,5.5,10,,130,,,,Undecorated,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,rim; semi-vitrified,FALSE,MA.2,1910-1930,1910,1930,1900-1930,Midden Zone A,3026,3026,Midden,in situ,FALSE,,
1179,4701,164,,,1059,642,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,2,1,FALSE,29.1,,,,,,,Sponged,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,body - same vessel as #1059,FALSE,MA.2,1910-1930,1910,1930,1900-1930,Midden Zone A,3026,3026,Midden,in situ,FALSE,,
1180,4701,164,,,1094,,753,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,4,1,FALSE,10.8,5,,,,,,Undecorated,,,FALSE,Press-moulded,faceted,FALSE,FALSE,FALSE,FALSE,,FALSE,,gothic style,FALSE,MA.2,1910-1930,1910,1930,1900-1930,Midden Zone A,3026,3026,Midden,in situ,FALSE,,
1181,4701,164,,,1061,645,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,1,1,FALSE,1.6,,,,,,,Sponged,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,green sponged,FALSE,MA.2,1910-1930,1910,1930,1900-1930,Midden Zone A,3026,3026,Midden,in situ,FALSE,,
1182,4701,164,,,1048,712,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,15,1,FALSE,,24,25,200,,,,Tissue-printed,Floral,Mussel,FALSE,Press-moulded,reeded,TRUE,FALSE,FALSE,FALSE,,FALSE,,blue;  Furnivals..,FALSE,MA.2,1910-1930,1910,1930,1900-1930,Midden Zone A,3026,3026,Midden,in situ,FALSE,,
1183,4701,164,,,,,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,7,1,FALSE,48.4,,35,,,,,Tissue-printed,Floral,Mussel,FALSE,Press-moulded,reeded,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue; prob Furnivals ...,FALSE,MA.2,1910-1930,1910,1930,1900-1930,Midden Zone A,3026,3026,Midden,in situ,FALSE,,
1184,4701,164,,,,,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,3,1,FALSE,15.5,8,,210,,,,Tissue-printed,Floral,Mussel,FALSE,Press-moulded,reeded,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue,FALSE,MA.2,1910-1930,1910,1930,1900-1930,Midden Zone A,3026,3026,Midden,in situ,FALSE,,
1185,4701,164,,,,,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,5,,TRUE,18.9,11,10,,,,,Tissue-printed,Floral,Mussel,FALSE,Press-moulded,reeded,FALSE,FALSE,FALSE,TRUE,,FALSE,,blue,FALSE,MA.2,1910-1930,1910,1930,1900-1930,Midden Zone A,3026,3026,Midden,in situ,FALSE,,
1186,4701,164,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,2,,,,,,,Tissue-printed,Floral,Mussel,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue; prob cup/bowl,FALSE,MA.2,1910-1930,1910,1930,1900-1930,Midden Zone A,3026,3026,Midden,in situ,FALSE,,
1187,4701,164,,,,882,,whiteware,,Refined earthenware,REW,tureen,tableware,wet food,2,1,FALSE,8.1,,,,,,,Stencilled,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"blue floral; sub-rectangular lidded bowl, prob tureen",TRUE,MA.2,1910-1930,1910,1930,1900-1930,Midden Zone A,3026,3026,Midden,in situ,FALSE,,
1188,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,73,,TRUE,131.4,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,misc undecorated frags,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1189,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,7,,TRUE,15.5,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,TRUE,,FALSE,,misc undecorated,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1190,4746,829,,,,,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,1,1,FALSE,7.2,,6,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,TRUE,,FALSE,,base,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1191,4746,829,,,,636,,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,8,1,FALSE,72.6,8,,260,,,,Hand painted,Geometric,Edge banded,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"red banded; everted, curved rim",FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1192,4746,829,,,,,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,10,1,FALSE,22.1,2,15,,,,,Hand painted,Geometric,Edge banded,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue band,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1193,4746,829,,,,,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,15,1,FALSE,11.4,13,,,,,,Undecorated,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1194,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,2,1,FALSE,0.5,,,,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"red floral print, thin vessel",FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1195,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,7,1,FALSE,11.8,,,,,,,Tissue-printed,View,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"purple print; saucer/small plate; floral border, trees in centre",FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1196,4746,829,,,,,,whiteware,,Refined earthenware,REW,cup/bowl,tableware,hot drink/wet food,1,1,FALSE,1.3,,,,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"purple floral print, rim",FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1197,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,2,1,FALSE,2.1,,,,,,,Sponged,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"light blue, spatter - saucer/plate",FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1198,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,5,1,FALSE,15.2,,,,,,,Tissue-printed,Chinese,Willow,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,base & body - dish?,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1199,4746,829,,,1217,,,whiteware,,Refined earthenware,REW,cup/bowl,tableware,hot drink/wet food,1,1,FALSE,0.7,5,,,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue - fleur-de-lys/crowns over circles,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1200,4746,829,,,1141,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,0.4,,,,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,black print - figure - with blue wash,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1201,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,2,1,FALSE,4.8,,,,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue - large flowers?,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1202,4746,829,,,,707,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,1,1,FALSE,3.7,,,,,,,Sponged,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue zig-zag border with snowflakes/florets border,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1203,4746,829,,,,550,,whiteware,,Refined earthenware,REW,cup (handled),tableware,hot drink,1,1,FALSE,2.2,11,,70,,,,Hand painted,Floral,Mussel,FALSE,,,FALSE,FALSE,FALSE,TRUE,,FALSE,,blue,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1204,4746,829,,,1155,,582,whiteware,,Refined earthenware,REW,cup (handled),tableware,hot drink,1,1,FALSE,2.1,,,,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,green - coral?,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1205,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,2,,TRUE,1.5,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue decoration,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1206,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,3,1,FALSE,3.7,,,,,,,Sponged,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"green & red, floral",FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1207,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,1.3,,,,,,,Stencilled,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"green, floral, poss plate",FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1208,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,0.7,,,,,,,Slipped,Geometric,Trailed,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,white trail over brown base,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1209,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,2,1,FALSE,1.9,,,,,,,Hand painted,Floral,Peasant,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,red & blue,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1210,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,1.2,,,,,,,Hand painted,,,FALSE,,,FALSE,FALSE,FALSE,TRUE,,FALSE,,red & blue,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1211,4746,829,,,,,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,13,,TRUE,50.3,22,15,,,,,Undecorated,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,misc vessels,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1212,4746,829,,,,838,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,5.7,10,,150,,,,Enamelled,Geometric,Edge banded,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,silver band,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1213,4746,829,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,4.3,,,,,,,,,,FALSE,,,TRUE,FALSE,FALSE,TRUE,,FALSE,,undecorated body - prob bowl,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1214,4746,829,,,,,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,2.6,,,,,,,Undecorated,,,FALSE,Press-moulded,faceted,FALSE,FALSE,FALSE,FALSE,,FALSE,,"undecorated rim, gothic style",FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1215,4746,829,,,1170,,403,Rockingham ware,,Refined earthenware,REW,bowl,tableware,wet food,1,1,FALSE,1.1,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,brown glaze; poss burnt?,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1216,4746,829,,,,,403,Rockingham ware,,Refined earthenware,REW,bowl,tableware,wet food,1,1,FALSE,26.8,14,150,,,,,Undecorated,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,19 c.,brown glaze; rim prob rolled/beaded -  a storage jar/crock?,FALSE,C.4,1850-1890,1850,1890,1840-1900,Courtyard,1257,1257,External area,disturbed,FALSE,,
1217,4733,794,,,1199,,,whiteware,,Refined earthenware,REW,cup/bowl,tableware,hot drink/wet food,1,1,FALSE,6.4,20,,90,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,blue sheet - 'fleur-de-lys' pattern,TRUE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,Wall,disorganized,FALSE,,
1218,4733,794,,,1231,,654,whiteware,,Refined earthenware,REW,large bowl,storage/utility,wet food/preparation,1,1,FALSE,19.1,,,,,,,Tissue-printed,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"blue, large flowers. Large bowl or chamber pot",TRUE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,Wall,disorganized,FALSE,,
1219,4733,794,,,,709,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,1,1,FALSE,2.8,,,,,,,Sponged,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,red paisley motif border,FALSE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,Wall,disorganized,FALSE,,
1220,4733,794,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,2.6,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,TRUE,,FALSE,,body,FALSE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,Wall,disorganized,FALSE,,
1221,4733,794,,,,,,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,1.2,3,,,,,,Hand painted,Floral,Peasant,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"blue rim ban, green leaf",FALSE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,Wall,disorganized,FALSE,,
1222,4733,794,,,,,,whiteware,,Refined earthenware,REW,bowl,tableware,wet food,1,1,FALSE,3.8,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,base,FALSE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,Wall,disorganized,FALSE,,
1223,4733,794,,,822,,790,whiteware,,Refined earthenware,REW,saucer,tableware,hot drink,1,1,FALSE,1.1,5,,140,,,,Hand painted,Geometric,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"flow blue, vertical stripes, poss same as #822",FALSE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,Wall,disorganized,FALSE,,
1224,4733,794,,,,,,whiteware,,Refined earthenware,REW,,,,1,1,FALSE,2.4,,,,,,,Tissue-printed,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"edge of ?tissue print, purple",FALSE,S7.5,1890,1890,1890,1870-1900,Vestibule & Corridor,775,775,Wall,disorganized,FALSE,,
