Finds No,ID,Unit No,Object,Category,material,Corrosion,Completeness,Size (mm),Fragment,Weight (g),Type,Notes,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
1996,,384,keyhole,Structural_Security,copper alloy,heavy,fragment,,1,1.6,,very decayed - now unrecognisable,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
1330,,237,lace chape,Dress,copper alloy,heavy,complete,"41L, 4 diam",1,1.9,,rolled sheet; textile still embedded inside,S8.3,1800,1850,1800-1850,1780-1870,Nursery/Private Chambers
1158,,174,lace chape,Dress,copper alloy,moderate,near complete,"82L, 7diam",1,2.4,,"rolled sheet into tube, both ends broken",T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
1436,,237,lace chape,Dress,copper alloy,heavy,near complete,"85L, 8 diam",1,6.6,,"copper tube made from rolling sheet, both ends slighly flanged; prob ferrule or lace chape; same type as <1531>",S8.3,1800,1850,1800-1850,1780-1870,Nursery/Private Chambers
1531,70,302,lace chape,Dress,copper alloy,light corrosion,fragment,85x5,3,5.54,,"large, cylindrical tubing made from rolled copper sheet; probably large lace chape",S11.3,1730,1740,1730-1740,1720-1750,Priests Living Quarters
10197,54,1949,lamp bowl?,Tool_Lighting,copper alloy,light corrosion,near complete,"42x32, depth 6mm",2,11.3,,"small square shallow bowl like object with a protrudance at one side that is possibly the handle of a lamp (kola); looks like 2012-23-66 in Sarpur only half the size; as mentioned on sarpur the ""handle"" could also have been jammed into a turf wall to keep",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
1138,44,174,lid,Vessel,copper alloy,light corrosion,near complete,"116x80; 0,5mm thick",2,32.9,,hole in middle probably for some sort of handle - lid that lifts off completely,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
3643,,1002,lid,Vessel,pewter,moderate,near complete,115 diam,1,87.2,,domed lid with globular knop and 2 opposed strap handles; for jar/container rather than jug or tankard,S15.2,1760,1800,1760-1800,1750-1810,Wheystore
3710,124,964,linch pin/clip,Structural_Fastener,copper alloy,light corrosion,complete,43 length; 2-4 shaft diameter,1,3.06,,"copper clip smallest diameter at folding end widest at loose ends; overall shape narrowest at folding end and then widens out, narrows again at the loose end before it splits to both sides (looks a bit like a penguin); possibly a dress clip but since the",S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
16711,98,2784,loop,Dress,copper alloy,light corrosion,fragment,diameter 3,1,0.28,,flattened loop; possibly a shank; gilt,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
541,,37,mount,Dress,copper alloy,moderate,near complete,28x22x1,2,3.2,rectangular,"decorative sheet mount, rectangular with scroll design",S20.6,,1790,1790,1780-1810,School Dormitory
555,,77,mount,Dress,copper alloy,light,complete,"17 diam, 4Th",1,3.6,sexafoil,"sexafoil, circular mount with central raised boss; rivet attachment broken",S8.3,1800,1850,1800-1850,1780-1870,Nursery/Private Chambers
563,,91,mount,Dress,copper alloy,moderate,near complete,30x21,1,2.3,rectangular,rectangular with 3 rivet holes each end (6 total); no visible decoration but raised boss in middle; book mount? See Egan & Pritchard,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
1155,,174,mount,Dress,copper alloy,heavy,near complete,13x13,1,0.7,square,"square, flat mount with cental rivet, attached to coarse textile",T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
2006,,405,mount,Dress,copper alloy,light,complete,"30 diam, 7High",1,4.7,octofoil,octofoil mount with raised boss in centre,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
2302,,457,mount,Dress,copper alloy,moderate,complete,12x12,1,1.6,square,"square mount, leaf pattern with rivet on back",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
2928,,459,mount,Dress,copper alloy,heavy,near complete,,1,0.7,square,very corroded mount; rivet and part of head with leather under; poss square shaped mount,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
2714,164,612,mount,Dress,copper alloy,heavy corrosion,fragment,22mm diam,2,3.6,circular,"Egan & Pritchard, no.912; 1 frag with textile attached; circular central hole for rivet (missing) with concentric ring",S29.1,1780,1800,1780-1800,1780-1810,Infirmary
3587,,827,mount,Dress,copper alloy,moderate,fragment,,2,0.2,circular,circular mount with raised dot decoration,S4.2,1760,1780,1760-1780,1750-1780,Lodge/Dining Room & Chambers
3701,,1045,mount,Dress,copper alloy,heavy,near complete,15 diam,1,0.4,circular,circular mount with leather attached; poor condition,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
3669,,1134,mount,Dress,copper alloy,heavy,fragment,,2,0.5,,rivet and part of head; poor condition,MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
7365,166,1506,mount,Dress,copper alloy,moderate corrosion,fragment,20x8,1,0.9,bar,segmented  bar mount; rivets/nails missing,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
10224,,2101,mount,Dress,copper alloy,moderate,complete,13 x13,1,1,square,square mount with stamped flower decoration,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10286,,2251,mount,Dress,copper alloy,moderate,complete,26x6,1,1.9,,band folded at each end and a central rivet; some textile associated but now unattached,S18.4,1700,1740,1700-1740,1690-1750,Pantry
18897,,2467,mount,Dress,copper alloy,moderate,complete,27x17x0.5,1,1.3,rectangular,rectangular with 3 rivet holes each end (6 total); no decoration,S8.1,1720,1750,1720-1750,1720-1750,Nursery
16740,,2639,mount,Dress,copper alloy,moderate,complete,33x10x1,1,2.9,rectangular,"flat, rectangular strip with dot decoration nd 2 rivet holes",S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
13859,,2649,mount,Dress,copper alloy,moderate,complete,32x10,1,3,rectangular,"flat, rectangular strip with dot decoration nd 2 rivet holes; similar to <16740>",S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
17028,61,2811,mount,Dress,copper alloy,light corrosion,near complete,"24x20 , 4 depth",1,1.04,circular,"circular sheet that has 2mm long concentric cuts every 2 mm creating a crimped edge (like a crown cap). The top of the 'cap' has five perforations, the middle one being larger than the other four",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
16796,,2815,mount,Dress,copper alloy,moderate,complete,13,1,0.7,square,"square mount, flat but central motif raised; spiral star; no rivet hole - must have been sowed into a housing",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
14916,,2904,mount,Dress,copper alloy,moderate,near complete,40x25,1,7.5,rectangular,"rectangular plate mount with 4 rivet holes along one edge, other edge 4 holes and backing/reinforcing plate - poss repair; decoration: 2  raised bosses in centre panel with 3 pairs of overlapping circles",S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
3665,122,1090,mount,Dress,copper alloy,light corrosion,fragment,25x12,1,0.78,oval,fragment of a lozenge/oval or shield shaped copper sheet with bevelled edges; one rivet is attached to the sheet; three circular holes in a line along the centre of the piece; possibly  a mount rather than keyhole,MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
3723,,1054,mount,Dress,copper alloy,heavy,fragment,,1,1.9,rectangular,thin iron sheet with copper alloy surface? Poss mount - square/rect with central dome boss?,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
4276,,1164,mount,dress,?silver,good,fragment,"32x10x0,1",1,0.43,letter,"thin sheet in S-shape with 2 rivet holes at one terminal, 1 rivet hole at each bend of the S; other terminal broken. Possible letter mount",S10.3,1760,1800,1760-1800,1750-1810,Kitchen
2863,621,612,mount,dress,copper alloy,good,complete,1,1,,circular,undecorated,S29.1,1780,1800,1780-1800,1780-1810,Infirmary
2863,622,612,mount,dress,copper alloy,good,complete,1,1,,circular,undecorated,S29.1,1780,1800,1780-1800,1780-1810,Infirmary
2863,623,612,mount,dress,copper alloy,good,incomplete,1.1,1,,circular,undecorated; missing shaft,S29.1,1780,1800,1780-1800,1780-1810,Infirmary
3581,615,809,mount,dress,copper alloy,good,complete,1.3,1,,circular,undecorated,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
7464,624,1679,mount,dress,copper alloy,good,complete,1,1,,circular,undecorated; in 2 pieces,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
10211,321,2039,mount,dress,copper alloy,good,complete,1.2,1,,circular,central boss with flower around; gilt; moulded,S13.1,1690,1750,1690-1750,1690-1750,Main Corridor
14930,511,2813,mount,dress,copper alloy,good,complete,1.5,1,,circular,large central boss with five decorated arms; gilt; moulded,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
19357,,459,mount,Dress,?pewter,moderate,near complete,12x12,1,0.5,rectangular,"square, sheet mount with stamped ?floral decoration; poss cut on one side, making it originally rectangular",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
2863,,612,mount,Dress,pewter,moderate,fragment,"17L, 9W",1,1.2,bar?,?segmented mount,S29.1,1780,1800,1780-1800,1780-1810,Infirmary
3718,,1011,mount,Dress,pewter,light,near complete,19x10x3,1,2.2,lozenge,"oval/lozenge, domed mount with concentric groove; rivet attachment on back",S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
13777,,2695,mount,Dress,?pewter,light,complete,18x12,1,3.4,rectangular,"rectangular with one end pointed, bevelled edges; leather strap still attached; belt/strap mount?",S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
13832,,2844,mount,dress,?silver,light,fragment,8,1,0.5,,faceted mount/setting,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
13875,,2573,mount,Dress,pewter?,,complete,22x21x1.5mm,1,,,"square mount with 4 holes at each corner, trellis border, wheel motif at centre and other motifs around - stamped decoration",S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
19372,,1,mount/button jacket,Dress,copper alloy,heavy,near complete,20 diam,1,0.6,circular,"sheet copper, stamped into circular, slightly domed disc with centrl nipple and concentric groove",LH,,1958,1958,1930-1960,Levelling Horizon
2939,,460,mount/button jacket,Dress,copper alloy,moderate,fragment,,1,0.1,circular,sheet boss on a mount or button,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
3767,,1157,mount/button jacket,Dress,copper alloy,moderate,fragment,,2,0.3,circular,small fragments of circular mount or button jacket,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
3763,,1177,mount/button jacket,Dress,copper alloy,moderate,complete,13 diam,1,0.4,circular,decorated; no sign of rivet on back so probably button jacket,MC.2,1700,1750,1700-1750,1690-1750,Midden Zone C
2476,,454,mount/button jacket,Dress,?pewter,moderate,fragment,,1,0.5,circular,dome/nipple top of a mount or button,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
1005,,29,mount/button jacket?,Dress,copper alloy,heavy,fragment,,1,0.3,,part of rivet/shank and head; poor condition,S20.6,,1790,1790,1780-1810,School Dormitory
7269,120,1329,mount/button jacket?,Dress,copper alloy,moderate corrosion,fragment,,5,1.01,circular,small fragments of copper sheet forming a button jacket or mount; possibly once similar to ID 117.,S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
3640,,850,mount/button jacket?,Dress,copper alloy,heavy,fragment,12 diam,2,0.3,circular,ring/base of mount and nipple/top of same; poor condition,S35.2,,1958,1958,1930-1960,Western Farmhouse
1274,,,mount/pendant,dress,copper alloy,good,complete,60x37x3,1,21.6,leaf,leaf-shaped mount or pendant; flat backed with bevelled upper edges and incised lines; 4 small holes on 'leaf' and larger one on ring terminal; poss catch for hook?,,,,,,
18770,,1627,mount/tack,Dress,copper alloy,heavy,fragment,,1,0.9,circular,"head of domed mount/tack, shaft broken at tip",S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
18397,,29,mount?,Dress,?pewter,light,fragment,,2,0.4,,2 pieces from same square/rect strip with diamond and dot impressions (punched),S20.6,,1790,1790,1780-1810,School Dormitory
3661,,1134,mount?,Dress,copper alloy,moderate,fragment,,1,0.1,,"decorative sheet, raised dots, prob mount",MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
7302,,1362,mount?,Dress,copper alloy,moderate,fragment,,4,1.1,,"several small fragments of gilt, sheet copper with stamped decoration",S18.8,1790,1830,1790-1830,1780-1840,Midden
10195,,1935,mount?,Dress,copper alloy,moderate,fragment,15,3,0.7,rectangular/square,"decorative sheet mount, rectangular/square; scrolls - poss same type as <541>",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
844,142,19,nut,Structural_Fastener,copper alloy,light corrosion,complete,10x10; thickness 5,1,1.64,,"collared, cylindrical nut with internal screw thread; 20th c?",MA.2,1910,1930,1910-1930,1900-1930,Midden Zone A
2145,,,oil lamp bowl,tool_lighting,copper alloy,good,complete,,1,,,"100mm long, 26mm deep, bowl c.57 diam, spout 41mm long; 2 holes at butt end, one large and 1 small, off-set from each other",,,,,,
2715,126,590,oil lamp burner,Tool_Lighting,copper alloy,light corrosion,near complete,39x40,6,14.11,,"Oil lamp burner without burner cap.
Fragment 1 : circular 'adjusting knob' head 19x19
Fragment 2: 'adjusting knob' shaft 14x2
Fragment 3: Circular oil lamp 'burner enclosure' part with 10 big holes and 2 small ones that the control knob shaft goes into. (",S2.1,1902,1930,1902-1930,1900-1930,Haybarn
289,62,1,pedestal base,Vessel,pewter,light corrosion,near complete,length 82 width 36-65,2,178.01,,"probably pedestal base with a perforated top; square sectioned, decorated with acanthus leaves; prob candle base - or else chalice; could be a bell but unlikely",LH,,1958,1958,1930-1960,Levelling Horizon
3594,154,853,pen/stylus,Tool_Writing,copper alloy,light corrosion,near complete,38x4,1,1.67,,Decorated/knobbled pen shaft with tip missing_ cf Egan & Pritchard no.898,S22.3,1730,1750,1730-1750,1720-1750,Assistant Teachers Quarters
15614,,2638,pendant,Dress,copper alloy,light,complete,18L,1,0.7,triangular,triangular shaped spangle with multiple holes; could be strap end mount but spangle seems more likely - larger hole a apex of triangle,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
16792,,2832,pendant,Dress,copper alloy,light,complete,18L,3,2.6,lozenge,"3 matching lozenge shaped spangles with rounded top ends, dots arranged in a cross; gilt",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
7272,,1329,pendant,dress,gold,none,near complete,24x17x0.5,1,1.5,leaf,"flat sheet; central lozenge with loop on top, three-leaf at bottom and pair of scrolls either side (right scroll missing lower one); CJD engraved in lozenge; gold or brass",S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
10250,137,2170,pendant mount,Dress,copper alloy,light corrosion,fragment,42x16; diam 2,1,1.34,,Circular strip that curves a few times like a snake; poss acted as purse hanger liked arched mounts in Egan  & Pritchard,C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
8710,,1,pendant weight,Weight,lead,light,complete,"11 long, 10 diam",1,7,,cylindrical with domed head and groove; iron pin at other end (broken off); looks modern; copper alloy plated?,LH,,1958,1958,1930-1960,Levelling Horizon
526,,1,pendant?,Dress,copper alloy,light,complete,57L,1,6.2,leaf,"leaf design, flat one side but no sign of any attachment rivets; recessed hole for ?gem;",LH,,1958,1958,1930-1960,Levelling Horizon
2303,618,457,pendant?,dress,copper alloy,good,incomplete,1.4,1,,leaf,lake a leaf in shape; moulded,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
7389,,1581,perforated disc,Structural_fastener,lead,heavy,complete,"21 diam, 3 thick",1,4.8,,perforated disc - prob a nail plate,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
7437,,1630,perforated disc,Structural_fastener,lead,light,fragment,"20 diam, 3 thick",1,5.8,,half a disc - looks slightly elliptical or bent; poss nail plate,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
7457,,1644,perforated disc,Structural_fastener,lead,light,fragment,"15 diam, 2 thick",1,2,,same as 7467; circular disc with central perforation; weight? Nail plate?,S18.6,1760,1770,1760-1770,1750-1780,Pantry
7467,,1690,perforated disc,Structural_fastener,lead,light,near complete,"13 diam, 3 thick",1,3.1,,circular disc with central perforation and attachment at top (broken off); weight? Similar discs interpreted as nail plates at Winchester but these had no attachment; could be thumbpiece from vessel lid - Egan 529,S7.2,1760,1800,1760-1800,1750-1810,Vestibule & Corridor
5992,,889,perforated disc,Structural_fastener,lead,light,fragment,"c40 diam, 6x3",1,2.9,,"flat, disc with wide perforation/ring?",S15.2,1760,1800,1760-1800,1750-1810,Wheystore
14966,,2823,perforated disc,Structural_fastener,lead,moderate,fragment,,1,1.1,,similar to 5992; frag od-f ring from flattened bar,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1415,,288,pipe,UNID,copper alloy,moderate,fragment,"42L, 6diam",1,4.4,,copper tube/piping - not a lace chape,C.4,1850,1890,1850-1890,1840-1900,Courtyard
16809,163,2749,pistol stock?,Tool,copper alloy,light corrosion,near complete,118x13,1,48.44,,looks like the stock from a small travelling pistol - but there is no aperture at butt end for lighting powder; breech end only is open,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
2003,45,404,plate,plate,copper alloy,light corrosion,fragment,29x16; 1-4mm thick,1,5.07,,looks like 1/4 of a circle with a hole in the middle or just a strap that bends to the side; differential thickness; poss from a vessel,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
7394,41,1590,plate,plate,copper alloy,light corrosion,near complete,"24 length, 14 width, 1 thick",1,2.69,,looks like an oval plate with 2 notches; poss a lock ward,S18.7,1770,1790,1770-1790,1750-1810,Pantry
10190,,1927,plate,plate,copper alloy,heavy,fragment,10W,1,2.4,,"double ended rivet plate with ?bark attached to one end, other broken off; lid?",S18.5,1740,1760,1740-1760,1720-1780,Pantry
16758,,2655,plate,UNID,?pewter,moderate,fragment,25,1,1.4,,"thin ring plate, curving - off-cut? Mount?",S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
14909,,2836,plate,UNID,?lead alloy,moderate,fragment,28w,1,12.7,,"thick plate, torn/broken; very heavy - poss lead",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
6062,21,1060,plied electrical wire,Structural_Piping,copper alloy,light corrosion,fragment,"each separate wire ca 0,5mm, plied: 2mm diameter",2,9.19,,triple plied wires; electrical? Circular sectioned,S35.2,,1958,1958,1930-1960,Western Farmhouse
6083,25,1084,plied electrical wire,Structural_Piping,copper alloy,light corrosion,fragment,"single wire 0,5mm diameter; plied 2mm diameter",1,1.31,,triple plied circular section wire; one iron nail attached 22mm long handmade and one machine made copper screw with some sort of small fastening mechanism surrounding it that the wire goes through; electrical wiring probably,S35.1,1898,1958,1898-1958,1870-1960,Western Farmhouse
6088,22,1089,plied electrical wire,Structural_Piping,copper alloy,moderate corrosion,fragment,"each separate wire ca 0,5 mm, plied wires 2mm diameter",3,8.5,,triple plied wire; circular sectioned; electrical wire?,MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
2185,,407,plug/rivet,Vessel,lead,moderate,complete,7 L,1,1.7,,prob plug/rivet for mending ceramic/glass,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
3756,,965,plug/rivet,Vessel,lead,light,complete,"23x20, 3-6 thick",1,10.5,,2 irregular plates/1 split plate - repair rivet/plug,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
2077,,380,print type,Print,lead,moderate,complete,18x10x5,1,7.2,,capital I or 1?,S11.4,,1740,1740,1720-1750,Priests Living Quarters
7403,,1612,print type,Print,lead,moderate,complete,16x9x5,1,7.3,,printing type - capital I or Z?,S11.2,1720,1730,1720-1730,1720-1750,Priests Living Quarters
14989,,2685,print type,Print,lead,moderate,complete,18x5x5,1,3.8,,U letter? Groove on one side and 2 oblique dashes on ther face,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
16701,,2689,print type,Print,lead,moderate,complete,23x5x3,1,4.1,,letter R; groove on side,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
16701,,2689,print type,Print,lead,moderate,complete,23x4x1,1,1.3,,comma/apostrophe - or small 6/9,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
3664,,,print type,Print,lead,moderate,complete,23x12x6/3,1,8.9,,probable print type: oblique lines on face - border/decoration?,,,,,,
7246,38,1,repair sheet/mount,Dress,copper alloy,light corrosion,near complete,"79 length (closer to 120 unfolded), 32 width, 1 thick",1,24.37,,half-moon shaped fitting with three holes for fastening to something else,LH,,1958,1958,1930-1960,Levelling Horizon
3778,,1248,ring/loop,Structural_fastener,lead,light,complete,20/15x3,1,2.4,,wire loop/ring similar to 10366 but smaller,S10.2,1740,1760,1740-1760,1720-1780,Kitchen
10214,,2048,ring/loop,Structural_fastener,lead,light,near complete,,1,2.9,,"half a loop, flattened",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10366,,2465,ring/loop,Structural_fastener,lead,light,complete,"22 diam, 3-5 thick",1,5.1,,irregular wire loop/ring,S8.1,1720,1750,1720-1750,1720-1750,Nursery
16735,,2819,ring/loop,Structural_fastener,lead,moderate,complete,3 thick,1,4.5,,irregular wire loop/ring - flattened,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
16688,,2838,ring/loop,Structural_fastener,lead,moderate,complete,"14/18 diam, 2 thick",1,1.7,,"wire loop, oval shape (poss squashed)",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
2863,,612,rivet,Structural_Fastener,copper alloy,moderate,near complete,12L,1,0.4,,head and most of shaft of rolled sheet rivet,S29.1,1780,1800,1780-1800,1780-1810,Infirmary
14925,,2576,rivet,Structural_Fastener,copper alloy,heavy,fragment,,1,0.5,,head and part of shaft of rivet,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
11742,,2284,rivet,Structural_Fastener,copper alloy,heavy,fragment,15L,1,0.6,,conical shaft - prob nail/rivet,S6.4,,1890,1890,1870-1900,Millers Workshop
8718,,1329,rivet plate,Structural_strapwork,pewter/copper alloy?,heavy,fragment,26,1,1.5,,plates with rivets around ?wood; very degraded,S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
11905,,1897,rivet?,Vessel,?lead,heavy,fragment,30x28,1,11.9,,rect shaped rove with rivet head,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
6015,,957,rod,UNID,pewter,moderate,fragment,"23L, 5Th",1,4.7,,rod - poss foot or handle section from a pewter vessel,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
3713,114,1035,rolled shaft,shaft,copper alloy,light corrosion,fragment,4x1,1,0.01,,"possibly a nail end, lace-tag end or pointy end of something",S7.3,1800,1840,1800-1840,1780-1840,Vestibule & Corridor
10165,59,1807,rolled shaft,shaft,copper alloy,moderate corrosion,fragment,58x2,1,1.17,,"rather thick wire fragment that bends, made from a rolled up thin copper sheet",S10.2,1740,1760,1740-1760,1720-1780,Kitchen
19346,57,1963,rolled shaft,shaft,copper alloy,light corrosion,fragment,12x1,1,0.05,,small shaft made from rolled sheet;,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
18234,,933,rolled shaft,sheet,copper alloy,heavy,fragment,9x5,1,0.7,,small section of rolled sheet tubing,S4.1,1720,1760,1720-1760,1720-1780,Lodge/Dining Room & Chambers
18772,144,1010,rove?,Structural_Fastener,copper alloy,moderate corrosion,fragment,9x6,1,0.5,,poss rove,S15.1,1650,1760,1650-1760,1630-1780,Wheystore
3696,118,1064,salt lid?,Vessel,pewter?,light corrosion,near complete,24x9,1,2.1,,"Small hat-shaped (or Þ-shaped) sheet; most likely a lift-off lid where the flat side was attached to the vessel; from a small vessel, prob a salt; cf. Egan",S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1020,66,1,scale gauge plate,Tool,copper alloy,light corrosion,fragment,28x29,2,2.41,,"Gauge plate from handheld spring scale. Reads ""REGISTERED"" at base on front. Two perforations",LH,,1958,1958,1930-1960,Levelling Horizon
962,,1,seal matix,Tool_Writing,copper alloy,light,complete,"17 diam, 23 L",1,8.5,,hand held matrix with rectang grip and circular seal stamp; lettering hard to decipher,LH,,1958,1958,1930-1960,Levelling Horizon
701,140,112,seal matrix,Tool_Writing,copper alloy,light corrosion,complete,28x18; headstamp15x15,1,8.63,,"Headstamp is clear and readable, decorations and ""II""; perforation for suspending on a chain",S4.6,,1890,1890,1870-1900,Pantry/Kitchen
7283,141,1346,seal matrix?,Tool_Writing,copper alloy,light corrosion,fragment,,5,0.88,,Fragments of what seems to be a seal similar to ID 140; headstamp not visible,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
18194,,2415,seal rivet?,Cloth Seal,lead,moderate,complete,"L15, head 10 diam",1,2,,poss rivet from cloth seal,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
7410,,1627,shaft,Dress,copper alloy,moderate,fragment,"14L, 3diam",1,0.7,,fragment of pin shaft - from dress pin or nail,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
19356,132,182,shaft,shaft,copper alloy,moderate corrosion,fragment,34x4,1,1.16,,Flat strip that takes a sharp upwards bend as it suddenly slims down to form a sort of hooklike form; possibly a stylus - parchment scratcher with a missing shaft but thats unlikely.,S32.1,1850,1890,1850-1890,1840-1900,Forge
1981,,374,shaft,shaft,copper alloy,heavy,fragment,,1,0.8,,rivet/shank with sheet and textile - prob button or mount,S8.2,1750,1800,1750-1800,1750-1810,Nursery/Private Chambers
2927,,459,shaft,shaft,copper alloy,moderate,complete,32L,1,3.9,,pin' with perforated head - poss from some mechanism;  stylus?,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
7339,145,1450,shaft,shaft,copper alloy,light corrosion,fragment,12x7; thickness 2,1,1.14,,Butt end with a perforation; could be from a small tool or dress item or even balance arm,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
7342,88,1460,shaft,shaft,copper alloy,light corrosion,fragment,diameter 1mm,1,0.2,,a bending shaft with a sharp end and broken other end; bent brooch pin?,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10329,95,2389,shaft,shaft,copper alloy,light corrosion,fragment,17 length; 1 diameter,1,0.26,,loop with a shaft attached that then seems to bend outward; part of a hook fastener?,S18.2,1680,1690,1680-1690,1660-1690,Pantry
0,89,2983,shaft,shaft,copper alloy,moderate corrosion,fragment,diameter 2,1,0.29,,bent shaft with a pointed end; probably a shaftless hook; finds no missing; same as 88; bent brooch pin?,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
11903,,1880,shaft,UNID,?lead,heavy,fragment,,1,8.6,,"nail like object, tip bent up",S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
10152,,1713,sheet,sheet,copper alloy,moderate,fragment,23L,1,1.2,,flat sheet - off-cut or repair sheet?,MB.2,1830,1850,1830-1850,1810-1870,Midden Zone B
19373,,1,sheet,sheet,copper alloy,moderate,fragment,,3,13.3,,"thin sheet copper, folded over/scrunched up, with textile attached; two seem to go together; poss a container?",LH,,1958,1958,1930-1960,Levelling Horizon
556,,77,sheet,sheet,copper alloy,moderate,fragment,20,1,0.4,,thin sheet frag with 2 rivet? Holes - part of a mount prob,S8.3,1800,1850,1800-1850,1780-1870,Nursery/Private Chambers
1574,,325,sheet,sheet,copper alloy,moderate,fragment,,1,0.2,,"thin, sheet frag",S8.3,1800,1850,1800-1850,1780-1870,Nursery/Private Chambers
1979,,354,sheet,sheet,copper alloy,heavy,fragment,,5,0.4,,thin sheet frag; prob from button or mount,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
2924,,459,sheet,sheet,copper alloy,heavy,fragment,,4,0.5,,thin sheet with ?textile attached; poss mount; very bad condition,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
3256,111,461,sheet,sheet,copper alloy,light corrosion,near complete,"30 length, 2mm diameter",1,0.83,,"Sheet flattened at the tip with a hole for a fastener such as a rivet, rolls up to a circular section bending into a hook-like shape at the other end. Probably from  repair sheet or vessel",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
