ID1,ID,Dbase,Finds Number,Unit Number,Bark,Conversion/method,Wood species,Completeness,Discard,Photo/drawing,Length (mm),Width (mm),Thickness (mm),Diameter,profile,shape/sides,condition,burnt,Object,Object Group,Object category,Vessel type,vessel ID,Off-cut,Count,General Notes,Notes (continued),Field26,Building Phases_Building Phase,Real Date,Start Date,End Date,Period_Date,Attribution,No,GroupNo,Space,Unit type,Unit entropy,Sieved,
4431,90,ST,13174,2648,No,box quartered,conifer,fragment,n,n,67,42,26,,,,,,plank,structural,plank,,,off-cut,1,Off-cut from small batten/beam. A 7 mm nail hole at one end,,EC/SÞ/GL,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2648,2521,2520,Floor,in situ,FALSE,
4432,92,ST,13174,2648,No,,conifer,fragment,y,n,91,41,4,,,,,,plank,structural,plank,,,,1,Fragment. Four worked sides out of six. Maybe from a wedge.,,EC/SÞ/GL,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2648,2521,2520,Floor,in situ,FALSE,
5175,,SF2,13491,2672,No,,quercus,complete,n,n,155,46,9,,,,,,plank,structural,plank,,,,1,"thin panel/plank with inverted V at one end, other end with wavy line border; prob furntiture part.",,,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2672,2521,2520,Floor,in situ,FALSE,
4453,93,ST,13177,2594,No,,conifer,fragment,y,n,328,142,24,,,,,,plank,structural,plank,,,,1,Looks like the fragment of a plank or a board. No worked edges. Very fragile.,,EC/SÞ/GL,S17.5,1720-1750,1720,1750,1720-1750,Meat Store,2594,1680,1680,Floor,in situ,FALSE,
1705,766,SF,6825,1577,No,,conifer,fragment,n,n,285,23,21,,square,,,,plank,structural,plank,,,,1,"splinter from a plank, tapers in from the top down to a point, top end is cut flat. Several worm holes.",,JÞ,S19.1,1730-1770,1730,1770,1720-1780,School Refectory,1577,1484,690,Floor,in situ,TRUE,
2354,2986,ST,7114,1643,No,tangential,conifer,complete,y,n,134,90,16,,,,,,plank,structural,plank,,,,1,"All sides worked, both ends cut. Plank.",,EC/SÞ/GL,S19.1,1730-1770,1730,1770,1720-1780,School Refectory,1643,690,690,Floor,in situ,FALSE,
2355,2989,ST,7114,1643,No,box quartered,conifer,complete,y,n,62,80,25,,,,,,plank,structural,plank,,,,1,"All sides worked, both ends cut. One end ending in a protrusion similar to reverse dove-tail. One side moulded into step-like rills. Interesting piece.",,EC/SÞ/GL,S19.1,1730-1770,1730,1770,1720-1780,School Refectory,1643,690,690,Floor,in situ,FALSE,
2809,,SF2,9933,2242,No,,Picea,fragment,n,n,340,95,10,,,,,,plank,structural,plank,,,,1,very denuded plank fragment - poss floor board or wall/chest panel; recored in field as barrel base along with next item,,GML,S17.6,1750-1770,1750,1770,1750-1780,Meat Store,2242,1680,2764,Floor,in situ,TRUE,
5593,,ST,18425,1277,No,,Pinus silvestris (Scotch Pine),fragment,y,y,690,90,30,,rectangular,straight,poor,,plank,structural,plank,,,,1,"broken both ends, split thickness; vivianite at one end; 1034D",,GML,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,1034,1117,751,Drain,in situ,FALSE,
5595,,ST,18427,1277,No,,Picea/Larix,fragment,y,y,2215,100,45,,rectangular,straight,poor,,plank,structural,plank,,,,1,"1 end cut - chamfered, other broken; 1034D",,GML,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,1034,1117,751,Drain,in situ,FALSE,
105,,ST2,1675,348,No,,conifer,fragment,y,n,,,9,,,,,,plank,structural,plank,,,,1,very decayed plank frag - poss stave or panel,,GL,S8.2,1750-1800,1750,1800,1750-1810,Nursery/Private Chambers,348,39,39,Floor,in situ,FALSE,
106,,ST2,1988,374,No,,conifer,fragment,y,n,,110,25,,,,,,plank,structural,plank,,,,1,very decayed frag of prob plank,,GL,S8.2,1750-1800,1750,1800,1750-1810,Nursery/Private Chambers,374,1298,39,Floor,in situ,FALSE,
233,a,ST2,3079,712,No,,conifer,fragment,n,n,42,,10,,,,,,plank,structural,plank,,,off-cut,1,"split longitudinally, cut both ends so poss offcut; pron small panel or plank from furniture or stave vessel",,GL,S4.2,1760-1780,1760,1780,1750-1780,Lodge/Dining Room & Chambers,712,797,989,Floor,in situ,FALSE,
301,,SF2,4312,970,No,,conifer,fragment,n,n,150,102,33,,,,,,plank,structural,plank,,,off-cut,1,"wedge-shaped planking, poss off-cut - split longitduinally so width is only min; multiple nails (9 in total, 2 visible appear to be machine-cut)",,,S15.2,1760-1800,1760,1800,1750-1810,Wheystore,970,887,887,Wall,disorganized,FALSE,
5594,,ST,18426,821,No,tangential,Pinus sp. (Pine),fragment,y,y,1095,145,35,,rectangular,straight,good,,plank,structural,plank,,,,1,"broken edges and ends - only thickness is complete; possibly charred on one side, with clay residue?",,GML,S15.2,1760-1800,1760,1800,1750-1810,Wheystore,821,583,583,Wall,in situ,FALSE,
171,2911,ST,2885,446,No,,conifer,fragment,n,n,323,60,27,,,,,,plank,structural,plank,,,,1,"Two sides worked, two splintered. One end cut, other broken. Plank fragment. Splint longitudinally, both sides - poss wall or floor board",,EC/SÞ/GL,S13.3,1800-1830,1800,1830,1780-1840,Main Corridor,446,30,751,Wall,disorganized,FALSE,
172,2933,ST,2885,446,No,,conifer,fragment,y,n,265,95,19,,,,,burnt?,plank,structural,plank,,,,1,"Two to three sides worked, both ends broken. Plank fragment.",,EC/SÞ/GL,S13.3,1800-1830,1800,1830,1780-1840,Main Corridor,446,30,751,Wall,disorganized,FALSE,
173,2935,ST,2885,446,No,,conifer,fragment,y,n,168,57,8,,,,,,plank,structural,plank,,,,1,"One side worked, both ends broken. Plank splinter.",,EC/SÞ/GL,S13.3,1800-1830,1800,1830,1780-1840,Main Corridor,446,30,751,Wall,disorganized,FALSE,
174,2939,ST,2885,446,No,,conifer,fragment,y,n,142,83,13,,,,,,plank,structural,plank,,,,1,"Three to four sides worked, both ends cut. Plank.",,EC/SÞ/GL,S13.3,1800-1830,1800,1830,1780-1840,Main Corridor,446,30,751,Wall,disorganized,FALSE,
175,2940,ST,2885,446,No,,conifer,fragment,y,n,151,71,20,,,,,,plank,structural,plank,,,off-cut,1,"One side worked. One end cut, other partially cut, partially broken. Plank splinter.",,EC/SÞ/GL,S13.3,1800-1830,1800,1830,1780-1840,Main Corridor,446,30,751,Wall,disorganized,FALSE,
20,515,SF,889,65,No,,conifer,fragment,n,n,177,51,15,,,,,,plank,structural,plank,,,,1,"A piece of a plank with a broken iron nail embedded in it, and a hole made by another nail close a broken end. The nail has a round 1,1 cm in diameter and a shaft 0,6 cm in diameter. Might be a piece of the same plank as 890, or from a similar plank.",,JÞ,S4.5,1840-1890,1840,1890,1840-1900,Pantry/Kitchen,65,300,300,Floor,in situ,TRUE,
21,514,SF,890,65,No,,conifer,fragment,n,n,340,95.5,17.5,,,,,,plank,structural,plank,,,,1,"A plank with five broken iron nails irregularly grouped on one side,  the stem of the nails is 0,5 - 0,6 cm in diameter, and three have head ca. 2 cm in diameter, one 1,5 cm, and the fifth seems to have it's head broken off.",,JÞ,S4.5,1840-1890,1840,1890,1840-1900,Pantry/Kitchen,65,300,300,Floor,in situ,TRUE,
54,,ST2,1017,55,No,tangential,conifer (larix?),fragment,n,n,143,99,15,,,,,,plank,structural,plank,,,off-cut,1,"nice, thin planl - prob wall panel; cut obquely both ends - prob off-cut",,GL,,,,,,,55,163,55,Building,in situ,FALSE,
2663,a,SF2,9759,2518,No,,Conifer (larix?),fragment,n,y,104,53,16,,,,,,plank/stave,structural,plank,,,,1,"same as <9760>, but better surviving; prob from same furniture item - eg. Chair/bench?",,GML,S18.1,1670-1680,1670,1680,1660-1690,Pantry,2518,2447,1884,Barrel Pit,in situ,FALSE,
2664,b,SF2,9759,2518,No,,Conifer (larix?),fragment,n,y,137,62,8,,,,,,plank/stave,structural,plank,,,,1,"thin plank/stave; joined by a clench bolt to a more fragmentary piece of c. same thickness (7-8mm). Not from a vessel, but more likely panelling",clench bolt has large rreg head but nice diamond shaped rove (30x26mm),GML,S18.1,1670-1680,1670,1680,1660-1690,Pantry,2518,2447,1884,Barrel Pit,in situ,FALSE,
2665,c,SF2,9759,2518,No,,Conifer (larix?),fragment,n,y,300,75,13,,,,,,plank/stave,structural,plank,,,,1,"2 planks held together by 2 clench bolts; larger/back plank in incomplete - 300+mm L, 75mm W (but poss tapering), 13mm Th, slightly concave (warped?); smaller/fron plank is poss complete - 270mm L, 56mm W, 11m th; on end poss tapered/rounded, other with c","clench bolt 1: elongated diamond rove, clenched around sides of top plank; clench bolt 2: diamond rove (24x20mm).",GML,S18.1,1670-1680,1670,1680,1660-1690,Pantry,2518,2447,1884,Barrel Pit,in situ,FALSE,
2667,,SF2,9760,2519,No,,Conifer (larix?),fragment,n,y,88,63,17,,,,,,plank/stave,structural,plank,,,,1,"narrow 'plank' - like a batten or thick stave, sawn one end with chamfered corners and decorative lozenge-shaped notch cut at each side; other end broken; fastened with copper alloy clench bolt to another piece of wood - very frag but 10mm thick. Not from","clench bolt has irreg flattened head on one side and elongated diamond rove on other, with ends clemched over the sides of the larger plank",GML,S18.1,1670-1680,1670,1680,1660-1690,Pantry,2519,2447,1884,Barrel Pit,in situ,FALSE,
128,a,ST2,2447,444,No,,conifer,fragment,n,n,57,27,24,,,,,,plank?,structural,plank,,,off-cut,1,"section of plank off-cut prob, but split longitudinally",,GL,S20.2,1670-1700,1670,1700,1660-1720,School Dormitory,444,435,733,Floor,in situ,TRUE,
4817,b,ST2,13272,2689,No,radial,conifer,fragment,n,n,67,30,34,,,,,,plank?,structural,plank,,,off-cut,1,"poss end of a half plank, cut off - 1 edge rounded, other straight",,GL,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2689,2658,2551,Floor,in situ,TRUE,
5025,a,ST2,13394,2528,No,,conifer,complete,n,n,52,45,26,,,,,,plank?,structural,plank,,,off-cut,1,prob off-cut of a plank,,GL,S10.1,1700-1730,1700,1730,1690-1750,Kitchen,2528,2235,2294,Floor,in situ,FALSE,
5026,b,ST2,13394,2528,No,,conifer,complete,n,n,14,31,22,,,,,,plank?,structural,plank,,,off-cut,1,"prob off-cut of a plank, but one edge broken",,GL,S10.1,1700-1730,1700,1730,1690-1750,Kitchen,2528,2235,2294,Floor,in situ,FALSE,
2805,362,SF,9930,2241,No,,larix,fragment,n,n,215,65,26,,,,,,plank?,structural,plank,,,,2,"Context no. Missing? A decayed and broken piece of wood, perhaps a plank, along with lots of dirt.",check,JÞ,S18.4,1700-1740,1700,1740,1690-1750,Pantry,2241,2067,1884,Floor,in situ,TRUE,
2807,363,SF,9931,2270,No,,larix,fragment,n,y,620,118,35,,,,,,plank?,structural,plank,,,,3,"A large plank, broken at both ends, with four large almost evenly spaced (8-10 cm) holes bored through it. The hole are 2,4 - 2,6 cm in diameter, too large for all but the largest of nails or pins, perhaps the holes are for ropes, which may explain why so",check,JÞ,S5.1,1720-1740,1720,1740,1720-1750,Bishops Dining Room,2270,1200,1200,Floor,in situ,FALSE,
2356,b,ST2,7114,1643,No,,unid,complete,n,n,115,20,16,,,,,,plank?,structural,plank,,,,1,"sq sec, tapered splinter; small hole (5mm diam) just off centre; poss this is a nail hole and the whole piece is just a splinter from a plank",,GL,S19.1,1730-1770,1730,1770,1720-1780,School Refectory,1643,690,690,Floor,in situ,FALSE,
176,2934,ST,2885,446,No,,conifer,fragment,y,n,360,76,19,,,,,,plank?,structural,plank,,,off-cut,1,"All sides worked, both ends cut. Oblique cut hafway along with2  saw marks on same angle running up over surface. The whole piece is slightly curved. Off-cut from a plank?",,EC/SÞ/GL,S13.3,1800-1830,1800,1830,1780-1840,Main Corridor,446,30,751,Wall,disorganized,FALSE,
177,2936,ST,2885,446,No,,conifer,fragment,y,n,170,68,18,,,,,,plank?,structural,plank,,,,1,"One side worked. One end cut, other broken. Plank splinter.",,EC/SÞ/GL,S13.3,1800-1830,1800,1830,1780-1840,Main Corridor,446,30,751,Wall,disorganized,FALSE,
178,2937,ST,2885,446,No,,broadleaf,fragment,y,n,162,62,30,,,,,,plank?,structural,plank,,,,1,Knot with two sides worked. Poss from a plank,,EC/SÞ/GL,S13.3,1800-1830,1800,1830,1780-1840,Main Corridor,446,30,751,Wall,disorganized,FALSE,
1759,,ST2,6829,1391,No,,conifer (larix?),fragment,n,y,160,,12,160,,,,,plate,Turned vessel,vessel,plate,,,1,half of a face-turned plate or chopping board - lost f cut marks on both faces; flat disc 160mm diam eith groove along outer rim on both faces,,GL,S5.2,1740-1760,1740,1760,1720-1780,Bishops Dining Room,1391,1211,1200,Floor,in situ,TRUE,
356,268,SF,4361,859,No,radial,fagus,fragment,n,y,128,75,6,160,,,,,plate,Turned vessel,vessel,plate,,,1,"Part of a round lid or plate, 16 cm in diameter. Slightly concave, main body is very thin, about 2 mm thick, but widens out at the brims. Somewhat roughly worked, tool marks or cuts still visible, smoother on the inside. Face-turned.",check,JÞ,S5.3,1760-1780,1760,1780,1750-1780,Bishops Dining Room,958,932,1200,Floor,in situ,TRUE,
2746,834,SF,9795,2346,No,,fagus,fragment,n,y,97,60,3,180,,,,,plate/lid,Turned vessel,vessel,plate/lid,,,1,"Part of a thin disc shaped object, slightly curved, the convex side is decorated by at least two concentric circular grooves going around the centre, the outer 1,9 cm from the edge and the inner 3,6 cm from the edge, traces of a rounded rim around the edg",,JÞ,S31.1,1650-1700,1650,1700,1660-1690,Bishops Former Living Quarters,2346,546,546,External area,in situ,FALSE,
2797,72,SV,9923,2251,No,,conifer,90,n,n,103,42,7,150,,,,,plate/lid,Turned vessel,vessel,plate/lid,,,1,"Face-turned, lid or plate. Groove on underside and lip on top. The  thickness of the piece is 7 mm., but the thickness of the edge is 5 mm.",,CW/GL,S18.4,1700-1740,1700,1740,1690-1750,Pantry,2251,2067,1884,Floor,in situ,TRUE,
4247,988,ST,13098,2820,No,,betula,complete,n,n,39,24,23,,,,,,plug,Stave vessel,vessel,,,,1,Plug- for stave vessel?,,EC/SÞ/GL,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2820,2800,2520,Floor,in situ,TRUE,
4852,c,SF2,13288,2686,No,,conifer,complete,n,y,128,12,11,,recrangular,,,,post,structural,post,,,,1,"small batten/spindle, rect x-section with pointed tenon (17mm L)  at one end, and squared tenon at other (12mmL); honeycombed impression (from textile/leather?) along half of one side with double groove at mid section; small furniture part",,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2686,2658,2551,Floor,in situ,TRUE,
893,3227,ST,4525,1250,No,,unid,fragment,n,n,103,30,24,,Square,tapered,,,post,structural,post,,,,1,All side worked and both end cut. All sides chamfered into a pointed end. Poss off-cut or small post section?,,EC/SÞ/GL,S5.3,1760-1780,1760,1780,1750-1780,Bishops Dining Room,1250,710,1200,Floor,in situ,FALSE,
322,,SF2,4325,1024,No,,conifer,fragment,n,n,147,30,25,,,,,,post,structural,post,,,,1,post - or poss plank frag; thickness only min and poss all dim incomplete; wad of dark brown wool adhering to one face - used as padding?,,,S15.2,1760-1800,1760,1800,1750-1810,Wheystore,1024,887,887,Clay Lining,disorganized,FALSE,
5182,,SF2,13558,2813,No,,broadleaf (betula?),fragment,n,y,50,35,31,,,,,,post finial,structural,post,,,,1,"?lathe-turned finial, rounded knop in 3 sections (31-35,, diam) atop a narrow pole (14mm) diam; broken pole. Rail terminal?",,GML,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2813,2800,2520,Floor,in situ,TRUE,
5195,a,SF2,13573,2799,No,radial,Fagus,fragment,n,y,105,34,25,,,,,,post finial,structural,post,,,,1,"post with rounded terminal (60mm diam) and carved floral motif; poss chair post; back is uncarved; split longitudinally, missing one edge",,GML,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2799,2800,2520,Floor,in situ,FALSE,
2090,2046,ST,7063,1393,No,tangential,conifer,fragment,n,y,66,45,41,,,,,,post finial,structural,post,,,,1,"The other end broken. Looks like the ""head"" of a large pin/pole The upper part has a square cross-section, while th lower part has a round/circular cross-section. Interesting piece.",,EC/SÞ/GL,S5.2,1740-1760,1740,1760,1720-1780,Bishops Dining Room,1393,1211,1200,Floor,in situ,TRUE,
825,3237,ST,4512,1065,No,whole,broadleaf,fragment,n,n,49,17,14,,,,,,post finial,structural,post,,,,1,"All sides worked. One end cut(?), other partially broken. One side is rounded ending in a slightly wider conical (though fragmented) cap. Looks like and ending of a furniture piece.",,EC/SÞ/GL,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,1065,669,751,Floor,in situ,FALSE,
623,2449,ST,4492,662,No,,quercus,fragment,n,y,97,28,22,,,,,,post finial,structural,post,,,,1,faceted block. All sides worked. Both ends cut. Interesting piece.,,EC/SÞ/GL,S15.3,1800-1850,1800,1850,1780-1810,Wheystore,662,583,583,Roof,disorganized,FALSE,
4359,33,ST,13165,2768,No,,see OE notes,fragment,y,n,114,15,12,,,,,,rod,structural,post,,,,1,Fragment. Could be from a triangular-shaped stick.,,EC/SÞ/GL,S25.3,1720,,1720,1690-1720,Boys Lodge (servants?),2768,2723,2520,Drain,in situ,FALSE,
4360,37,ST,13165,2768,No,tangential,see OE notes,fragment,y,n,59,29,23,,,,,,rod,structural,post,,,,1,Fragment. Maybe from stake. One end sawn off.,,EC/SÞ/GL,S25.3,1720,,1720,1690-1720,Boys Lodge (servants?),2768,2723,2520,Drain,in situ,FALSE,
4449,100,ST,13176,2770,No,tangential,conifer,fragment,n,n,470,34,30,,,,,,rod,structural,post,,,,1,"small beam, with chamfered end",,EC/SÞ/GL,S25.3,1720,,1720,1690-1720,Boys Lodge (servants?),2770,2723,2520,Drain,in situ,FALSE,
165,,ST2,2790,571,No,,conifer,fragment,y,n,37,29,23,,square,,,,rod,structural,post,,,,1,"sub-sq section, cut both ends - prob off-cut from spindle or post",,GL,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,571,436,733,Floor,in situ,TRUE,
4145,757,ST,13076,2814,No,box quartered,conifer,fragment,y,n,158,76,67,,,,,,rod,structural,post,,,off-cut,1,"Both ends are cut. Two sides worked. Could have been used just as a block, or it could be a surplus of a larger piece.",,EC/SÞ/GL,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2814,2800,2520,Floor,in situ,TRUE,
4146,758,ST,13076,2814,No,tangential,conifer,fragment,y,n,262,49,26,,oval,,,,rod,structural,post,,,,1,"One ene cut, the other end broken. Oval cross-section. Fragment of rod.",,EC/SÞ/GL,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2814,2800,2520,Floor,in situ,TRUE,
4365,41,ST,13166,2752,No,,conifer,fragment,y,n,94,36,26,,,,,,rod,structural,post,,,,1,Fragment. Could be from the end of a fence pole.,,EC/SÞ/GL,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2752,2733,2520,Drain,in situ,TRUE,
4366,42,ST,13166,2752,No,tangential,conifer,complete,y,n,31,17,14,,rectangular,,,,rod,structural,post,,,,1,A small rectangular cube with a deep risp on one side.,,EC/SÞ/GL,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2752,2733,2520,Drain,in situ,TRUE,
4367,46,ST,13166,2752,No,tangential,conifer,fragment,y,n,85,30,21,,,,,,rod,structural,post,,,,1,Fragment. Maybe from a split stick or plank..,,EC/SÞ/GL,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2752,2733,2520,Drain,in situ,TRUE,
4516,114,ST,13186,2845,No,tangential,conifer,fragment,y,n,288,39,35,,,,,,rod,structural,post,,,,1,"Maybe two sides out of six are worked. One grube on an unworked side, probably from a nail. Diam. 7 mm. The end has been in contact with iron. Fragment.",,EC/SÞ/GL,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2845,2848,2520,Wall,in situ,FALSE,
4517,115,ST,13186,2845,No,tangential,conifer,fragment,y,n,180,24,19,,,,,,rod,structural,post,,,,1,Three sides out of six worked. Fragment,,EC/SÞ/GL,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2845,2848,2520,Wall,in situ,FALSE,
4961,,ST2,13353,2831,No,,conifer (larix?),fragment,n,n,47,15,11,,square,,,,rod,structural,post,,,,1,"square section, 1 end cut, other broken - 1 side poss splintered; batten/post for small furniture item",,GL,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2831,2800,2520,Floor,in situ,TRUE,
4894,,ST2,13313,2623,No,,conifer,complete,n,n,33,16,15,,,,,,rod,structural,post,,,off-cut,1,"tapered end of a post/batten, cut off",,GL,S17.3,1700-1710,1700,1710,1690-1720,Meat Store,2623,1680,2763,Floor,in situ,TRUE,
4979,a,ST2,13367,2872,No,,conifer,fragment,n,n,24,19,17,,square,,,,rod,structural,post,,,,1,"sq sec, terminal of rod/batten - poss broken offcut",,GL,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2872,2863,2551,Floor,in situ,TRUE,
547,a,ST2,4453,1217,No,,conifer,fragment,n,n,,32,23,,,,,charcoaled,rod,structural,post,,,,1,"terminal of a rod/spindle from some furniture item; squared end, other ned broken",,GL,MC.2,1700-1750,1700,1750,1690-1750,Midden Zone C,1217,634,1070,Midden,in situ,FALSE,
4352,22,ST,13164,2754,No,tangential,unid,fragment,y,n,69,31,24,,,,,,rod,structural,post,,,,1,Both ends cut with a saw. Fragment. Seems to have been from something flat.,,EC/SÞ/GL,S17.4,1710-1720,1710,1720,1690-1720,Meat Store,2745,2659,1680,Floor,in situ,FALSE,
4467,122,ST,13181,2678,No,tangential,conifer,fragment,y,n,125,29,21,,,,,,rod,structural,post,,,,1,The end and maybe two sides worked. Fragment. Maybe from a stick.,,EC/SÞ/GL,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2678,2521,2520,Floor,in situ,FALSE,
798,3165,ST,4506,1175,No,tangential,conifer,fragment,n,y,145,35,34,,square,tapered,,,rod,structural,post,,,,1,"Wooden peg/wedge from wooden lining of drain. One side worked, others splintered. One end cut, other partially broken. The broken end is pointed. Large square sectioned rod, tapering on 2 sides.",One pointed end.,EC/SÞ/GL,S4.1,1720-1760,1720,1760,1720-1780,Lodge/Dining Room & Chambers,1175,1285,816,Drain,in situ,FALSE,
3271,1581,ST,10040,1905,No,,conifer,fragment,n,n,217,27,23,,,,,,rod,structural,post,,,,1,"One end cut, the other end broken. One, maybe two sides worked. Fragment.",,EC/SÞ/GL,S4.1,1720-1760,1720,1760,1720-1780,Lodge/Dining Room & Chambers,1905,1916,1916,Drain,in situ,FALSE,
2332,3030,ST,7112,1679,No,,conifer,complete,y,n,67,15,10,,,,,,rod,structural,post,,,,1,"All sides worked. One end cut, other pointed. A badly corroded iron nail(?) attached on one side.",,EC/SÞ/GL,S7.1,1720-1760,1720,1760,1720-1780,Vestibule & Corridor,1679,1702,1702,Floor,in situ,TRUE,
2399,2950,ST,7123,1646,No,,conifer,complete,n,n,57,18,8,,triangular,,,,rod,structural,post,,,,1,"All sides worked, both ends cut. Triangular cross-section. Window-frame wedge?",,EC/SÞ/GL,C.2-3,1720-1850,1720,1850,1720-1870,Courtyard,1646,1257,1257,External area,in situ,FALSE,
2349,a,ST2,7114,1634,No,,unid,complete,n,n,74,15,16,,square,,,,rod,structural,post,,,,1,"sq section, both ends cur flat but splintered at one end; poss batte/post for small furniture item - or offcut",,GL,S19.1,1730-1770,1730,1770,1720-1780,School Refectory,1643,690,690,Floor,in situ,FALSE,
2357,2992,ST,7114,1643,No,,conifer,complete,y,n,72,23,13,,,,,,rod,structural,post,,,,1,"All sides worked, both ends cut. One side chamfered.",,EC/SÞ/GL,S19.1,1730-1770,1730,1770,1720-1780,School Refectory,1643,690,690,Floor,in situ,FALSE,
2358,2997,ST,7114,1643,No,,conifer,complete,y,n,270,27,17,,,,,,rod,structural,post,,,,1,"All sides worked, both ends cut. The wider end is chamfered and slightly rounded, the narrower and cut diagonally. One large and small pin hole on oposing sides close to the wider end. Splinter from a batten",,EC/SÞ/GL,S19.1,1730-1770,1730,1770,1720-1780,School Refectory,1643,690,690,Floor,in situ,FALSE,
2373,2985,ST,7117,1630,No,,quercus,complete,y,n,53,19,12,,,,,,rod,structural,post,,,,1,"All sides worked, both ends cut. Interesting piece.",,EC/SÞ/GL,S5.2,1740-1760,1740,1760,1720-1780,Bishops Dining Room,1630,1629,1200,Floor,in situ,TRUE,
568,a,ST2,4467,999,No,,conifer,fragment,n,n,90,17,15,,square,,,,rod,structural,post,,,,1,"sq sec rod - prob spindle or post for small furnture item; 1 end squared, other broken but tapering",,GL,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,999,669,751,Floor,in situ,FALSE,
1527,2589,ST,4611,1034,No,,conifer,fragment,n,n,,10,10,,square,,,,rod,structural,post,,,,1,"All sides worked, both ends broken. Fragment. Nice, square sectioned rod",,EC/SÞ/GL,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,1034,1117,751,Drain,in situ,FALSE,
1208,2138,ST,4575,1006,No,,conifer,fragment,y,n,250,32,25,,,,,,rod,structural,post,,,,1,"Bot ends broken. One, maybe three sides worked. Long fragment.",,EC/SÞ/GL,S5.3,1760-1780,1760,1780,1750-1780,Bishops Dining Room,1006,710,1200,Floor,in situ,FALSE,
1150,2722,ST,4561,1002,No,,conifer,complete,y,n,217,39,35,,,,,,rod,structural,post,,,,1,"All sides worked. Both ends cut. Narrowing towards one end. Beam/post frag, split long, with transvers cut/chop marks",,EC/SÞ/GL,S15.2,1760-1800,1760,1800,1750-1810,Wheystore,1002,887,887,Wall,disorganized,FALSE,
1570,2632,ST,4615,1033,No,,conifer,fragment,n,n,46,11,11,,square,,,,rod,structural,post,,,,1,"All sides worked, one end cut, other broken. Fragment. Sq sectioned rod",,EC/SÞ/GL,S5.4,1780-1800,1780,1800,1780-1810,Pantry/Study & Library,1033,443,443,Sill plate,disorganized,FALSE,
209,,ST2,3004,646,No,,conifer,fragment,n,n,135,12,11,,square,,,,rod,structural,post,,,,1,"small, sq sec rod - poss spindle or post for small furniture item; one end broken, other poss square cut.",,GL,S13.3,1800-1830,1800,1830,1780-1840,Main Corridor,646,315,751,Roof,disorganized,FALSE,
114,c,ST2,2107,110,No,,conifer,fragment,n,n,105,60,25,,rectangular,,,,rod,structural,post,,,,1,"rect sec plank/rod, one ed cut, other broken split in 2",,GL,S13.4,1830-1850,1830,1850,1810-1870,Silo/Midden,110,30,30,Wall,in situ,FALSE,
3865,472,ST,13032,2676,No,,conifer,fragment,y,n,123,26,21,,,,,,rod?,structural,post,,,,3,"3 splinters. 1 large piece,  splinter from a post/rod?",,EC/SÞ/GL,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2676,2521,2520,Floor,in situ,FALSE,
5416,989,SF,16208,2718,No,,broadleaf,fragment,n,y,43,23,20,,round,,,,rolling pin?,tool,kitchen,,,,1,"finial, round and ca. 2,4 cm long, narrows in to a shaft 1,3 cm in diameter, however the shaft then seems to turn sharply out - but is broken. Poss handle of rolling pin (cf Olso p. 65).",,JÞ,S17.4,1710-1720,1710,1720,1690-1720,Meat Store,2718,2659,1680,Floor,in situ,FALSE,
4548,167,ST,13191,2844,No,,betula,fragment,n,n,185,76,63,,,,,,root,unworked,Unworked,,,,1,Piece of root.,,EC/SÞ/GL,S25.3,1720,,1720,1690-1720,Boys Lodge (servants?),2844,2520,2520,Wall,disorganized,FALSE,
3770,885,ST,13024,2638,Yes,,betula,fragment,n,n,78,60,40,,,,,burnt,root,unworked,Unworked,,,,1,Root with bark. Burnt to charcoal,,EC/SÞ/GL,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2638,2521,2520,Floor,in situ,FALSE,
